tag,band,idx,song,jitter_local,shimmer_local,hnr_mean,f0_median_st,f0_range_st,f0_std_st,vocal_centroid,n_voiced_frames
afterglow__000,afterglow,0,ON YOUR MARK,0.014391947539734867,0.09665600405951645,11.347738642288109,66.08682057635244,20.599999999999994,6.257304498561388,3407.835200988037,6706
afterglow__001,afterglow,1,That Is How I Roll!,0.012445486524981503,0.08010150538214535,13.698562795397411,64.68682057635243,16.525,5.071303661272472,2998.72593508829,7136
afterglow__002,afterglow,2,SENSENFUKOKU,0.011753584995525914,0.0893486298933178,12.828642489050557,67.08682057635244,14.200000000000003,4.729568702839014,3176.704219543475,7320
afterglow__003,afterglow,3,I knew it!,0.017596111303813874,0.10177472447069207,12.496270558854945,63.98682057635243,16.200000000000003,5.767684927782452,2720.34160604231,8792
afterglow__004,afterglow,4,ツナグ、ソラモヨウ,0.017525219280770412,0.12037405079304801,10.95254636758657,65.58682057635244,21.135000000000005,6.889876201734537,2684.8449590581113,7894
afterglow__005,afterglow,5,Hey-day狂騒曲(カプリチオ),0.016795737675535164,0.09961500409807224,10.772073815230629,65.38682057635243,21.400000000000006,6.171626472731642,3191.7861649171473,6382
afterglow__006,afterglow,6,"Easy come, Easy go!",0.01788181670886413,0.11874890501287406,10.511287066490658,62.28682057635243,24.0,6.497519646573219,2823.4420343672778,6522
afterglow__007,afterglow,7,Sasanqua,0.013598666874078118,0.08846716089537764,13.46755610124952,64.58682057635244,16.909999999999947,5.188818619586635,2587.6650401720517,8259
afterglow__008,afterglow,8,RED RED RED,0.010619486156047925,0.0716700809782019,15.636768020331443,66.08682057635244,22.000000000000007,6.185434353293729,2813.1590653921357,7459
afterglow__009,afterglow,9,ONE OF US,0.014772934149607996,0.12144202136862677,11.353105845730884,67.18682057635243,13.599999999999994,4.721158493603795,3005.9293797973246,7960
afterglow__010,afterglow,10,Y.O.L.O!!!!!,0.013124515302082777,0.101319014498257,11.425180849395709,66.68682057635243,14.500000000000007,5.064124936805595,3372.417034295833,8132
afterglow__011,afterglow,11,Scarlet Sky,0.013626180642741322,0.08453781750841093,13.52482187495258,63.88682057635243,18.475,6.355835204705015,3112.1243853041883,6566
afterglow__012,afterglow,12,Off we go.,0.01269701922455163,0.09473112687723204,13.357356305336484,62.08682057635243,10.5,4.324016033463338,2869.877854166735,8079
afterglow__013,afterglow,13,いつも通りのBrand new days,0.014825875253121666,0.1120174457107307,11.90521261029948,66.08682057635244,14.799999999999997,4.905556778565435,2886.900655708219,6648
afterglow__014,afterglow,14,SWITCH ON NOW,0.012695819143471159,0.09566609996747032,13.907909208226497,67.88682057635243,15.200000000000003,5.380016754766828,2925.9426585808874,6286
afterglow__015,afterglow,15,ランブリングメモリー,0.008323800995125738,0.062084522667878825,15.465365355182096,66.18682057635243,14.979999999999997,5.45646843816646,3284.621974138921,9925
afterglow__016,afterglow,16,COMIC PANIC!!!,0.012962431306907619,0.09806010738528705,11.015447954289323,66.88682057635243,12.100000000000001,4.016369466124575,3296.56497845867,7986
afterglow__017,afterglow,17,Trouble Joyful!!,0.014818154475128655,0.10752349287116435,12.061891522261478,66.38682057635243,21.200000000000003,5.783158291574899,3076.579011184493,7191
afterglow__018,afterglow,18,Jamboree!Journey!,0.013499230795534611,0.10077354282740882,11.874437219712592,65.98682057635243,17.000000000000007,5.740591076523603,3245.826982836457,7817
afterglow__019,afterglow,19,カナユメ,0.01055239384692835,0.08228288469923212,14.885261934288929,63.98682057635243,15.800000000000004,5.365296896096418,2934.8403225053844,10538
afterglow__020,afterglow,20,独創収差,0.016066833293018095,0.11267149458634518,12.25065278873834,66.78682057635243,19.70000000000001,5.597833368182189,2968.5432756243454,8600
afterglow__021,afterglow,21,極彩色,0.014899911078357548,0.09642080066662191,12.763171824816997,66.08682057635244,15.099999999999994,4.812020374342141,3461.9884688898023,6311
afterglow__022,afterglow,22,サクラゼンセン,0.010770392225863441,0.07433097422251736,16.004831261956213,67.38682057635243,15.699999999999996,4.7829154561724145,3148.533251202266,7468
afterglow__023,afterglow,23,True color,0.012746568760444442,0.08118658493189995,13.717647875112618,65.08682057635244,23.099999999999994,6.599203090008417,3055.830997367387,7833
afterglow__024,afterglow,24,Crow Song,0.012965012846320156,0.12584425728503024,11.98503861836185,65.08682057635244,23.10000000000001,7.37601286301342,2766.7591420272097,6702
afterglow__025,afterglow,25,カサブタ,0.012994579308176966,0.08319004262533948,15.066954224284428,69.28682057635243,17.5,5.359173510780297,2947.3098269582606,5212
afterglow__026,afterglow,26,アイのシナリオ,0.014164679381060905,0.09993452886885004,12.460865668050696,65.38682057635243,22.10000000000001,5.849123343598363,3171.2528390895413,6399
afterglow__027,afterglow,27,Northern lights,0.011423256030877483,0.07817457490249412,14.568168996639944,68.28682057635243,17.099999999999994,5.820352636714371,3100.2681588079736,6484
afterglow__028,afterglow,28,トーキョーワンダー。,0.015617017288919776,0.11068228965348352,12.514182742778914,66.88682057635243,14.100000000000009,5.060567517177354,3028.3721087170184,4157
afterglow__029,afterglow,29,Reach Out To The Truth,0.015281615473845957,0.13032124766952025,9.384308805617298,63.486820576352436,12.5,4.60960770622705,3316.8719242220823,3420
afterglow__030,afterglow,30,Listen!!,0.014147621388684362,0.10423201680607735,11.720449301120464,67.78682057635244,15.594999999999978,5.677149135825224,3319.1209421762987,5902
afterglow__031,afterglow,31,青い栞,0.008811801128700327,0.06873759849953795,16.7513351988215,64.08682057635244,15.500000000000007,6.2539513771055395,2731.4052198602117,10250
afterglow__032,afterglow,32,イマジネーション,0.01446465081807365,0.1038565324594045,12.31459255212127,67.98682057635243,15.799999999999997,5.517163894590241,3480.8337749620305,5604
afterglow__033,afterglow,33,Butter-Fly,0.014292978725100084,0.11508453440854248,11.158281687258262,63.28682057635243,27.20000000000001,7.336575089290581,2995.4724923907797,6288
afterglow__034,afterglow,34,燦々,0.021318884665790447,0.13751842896998073,8.072428787323835,64.98682057635243,16.10000000000001,5.2387773866851965,3272.01603882815,4679
afterglow__035,afterglow,35,That's why I'm here.,0.015248273776959672,0.09912285163456236,13.231756259507716,63.386820576352434,16.39,5.654833518581414,2702.643916548761,8903
afterglow__036,afterglow,36,IGNITE GLOW,0.018301981124418817,0.12973473559862153,10.88299299053068,67.28682057635244,16.900000000000006,5.499720461732378,2931.4481024468346,7493
afterglow__037,afterglow,37,ペトリコール・オベーション,0.01629372265950753,0.11068129219991843,13.166941973091946,66.88682057635243,14.899999999999999,4.491393178089486,2839.622581563649,6466
afterglow__038,afterglow,38,Made My Day,0.011768500525658403,0.09219632820260053,14.395856910888517,68.88682057635243,11.000000000000007,4.430111740113732,3247.325835849074,7581
afterglow__039,afterglow,39,Glowing After,0.013807668051821227,0.10589132942696287,12.280886912542655,66.08682057635244,15.295000000000002,4.985962010597821,3345.033414414375,8582
afterglow__040,afterglow,40,A Sunset So Bright,0.021809835368959817,0.1442612998054258,8.42243511097752,67.98682057635243,25.39999999999999,7.212716980577309,3396.8090718493067,5148
afterglow__041,afterglow,41,Start as Usual,0.01634958997964128,0.10486002860428309,12.76325451014239,64.08682057635244,13.800000000000004,5.508080137536236,3049.5602183854717,8763
afterglow__042,afterglow,42,“Say cheese!!!!!”,0.014903228050196417,0.10496400031156182,11.903065733860398,68.98682057635243,15.599999999999994,5.721969563861676,3344.404560664802,7712
afterglow__043,afterglow,43,花笑みのデュオ,0.014399311454913303,0.09482694437805989,13.038111207789186,67.18682057635243,12.399999999999999,4.067190977496029,3192.8528485974703,7824
afterglow__044,afterglow,44,READY STEADY GO (Cover),0.01111899833331788,0.08806414827142799,12.70004052740761,68.08682057635244,14.199999999999996,5.855580737789901,3365.0915401428156,5945
afterglow__045,afterglow,45,abnormalize (Cover),0.013192961636064609,0.0847648822233799,12.542057098308717,68.38682057635243,20.1,6.487099621593832,3351.484931697844,6407
afterglow__046,afterglow,46,メンタルチェンソー (Cover),0.015105692596728264,0.09720389672966862,12.11118865101252,67.18682057635243,15.200000000000003,5.400847334037154,2942.8014830066772,4614
afterglow__047,afterglow,47,Bunny Girl (Cover),0.0146659968264072,0.10028848799078544,11.801208049433336,64.18682057635243,12.399999999999991,4.382757457245961,3151.527618219028,6237
afterglow__048,afterglow,48,オレンジ (Cover),0.012469908057481388,0.09204918159425507,13.109383587392587,67.18682057635243,20.1,7.081770796839157,3315.3090554613805,6306
afterglow__049,afterglow,49,カゲロウデイズ (Cover),0.016068234262445587,0.09334956332039933,14.598644913301682,65.28682057635243,17.200000000000003,5.842076971038908,2835.0136399821417,6831
afterglow__050,afterglow,50,DAY×DAY (Cover),0.015858060481513447,0.10119939848921759,12.943602331365947,67.48682057635243,14.0,5.25806986734874,3088.3081124815617,6410
afterglow__051,afterglow,51,ロキ (Cover),0.016187346140622946,0.1256389119793001,10.66457811197175,64.78682057635243,12.5,4.413784676647704,2854.860752965335,5862
afterglow__052,afterglow,52,CHAINSAW BLOOD (Cover),0.014190996118014674,0.09236186946794872,12.871281012352073,70.38682057635243,18.68999999999999,5.800575013887056,2962.0053742058067,6043
afterglow__053,afterglow,53,チルドレンレコード (Re:boot) (Cover),0.017347788617872673,0.11886947780645996,12.157466161170142,65.08682057635244,19.099999999999994,5.828873645064907,3023.3638871375265,6091
