tag,pct_major,chord_change_rate,borrowed_chord_rate,est_key
hello_happy_world__146,0.48269581056466304,121.49197938012296,0.668488160291439,Emaj
hello_happy_world__128,0.6761904761904762,64.16015625,0.9650793650793651,D#maj
hello_happy_world__123,0.5870206489675516,61.487140486725664,0.8377581120943953,Gmaj
hello_happy_world__161,0.7295285359801489,85.4916253101737,0.9553349875930521,Amaj
poppin_party__376,0.7058823529411765,62.55346790158371,0.5352941176470588,Fmaj
pastel_palettes__332,0.6327014218009479,80.40009079435401,0.6800947867298578,Gmaj
poppin_party__445,0.5996978851963746,98.27130909010128,0.5604229607250756,Fmaj
afterglow__038,0.6027397260273972,66.07448630136986,0.7205479452054795,Gmaj
ave_mujica__084,0.5239130434782608,76.93337222353497,0.5869565217391305,Fmin
ave_mujica__082,0.5947867298578199,67.35504295023698,0.9218009478672986,A#min
ave_mujica__096,0.6389830508474577,95.53077827065678,0.5932203389830508,G#min
ave_mujica__095,0.6123076923076923,60.547799556213015,0.6123076923076923,C#min
roselia__601,0.5367875647668394,98.40562257124353,0.783419689119171,G#min
roselia__648,0.572,66.95889945652173,0.888,Amin
mygo__277,0.49390243902439024,79.73492066241685,0.5345528455284553,Bmin
afterglow__045,0.5456730769230769,81.87887551901224,0.8076923076923077,A#min
poppin_party__375,0.6009693053311793,74.94131159127625,0.8336025848142165,C#maj
hello_happy_world__111,0.5482093663911846,70.1295626721763,0.42699724517906334,F#min
hello_happy_world__109,0.6998368678629691,88.27352821226368,0.965742251223491,G#maj
