query_id,tag,band,lyric_cosine,rank_in_pool
Q3,pastel_palettes__337,pastel_palettes,0.5515,91
Q3,afterglow__044,afterglow,0.5513,92
Q3,pastel_palettes__317,pastel_palettes,0.5508,93
Q3,pastel_palettes__354,pastel_palettes,0.5507,94
Q3,raise_a_suilen__533,raise_a_suilen,0.5503,95
Q3,poppin_party__448,poppin_party,0.5494,96
Q3,raise_a_suilen__514,raise_a_suilen,0.5484,97
Q3,pastel_palettes__363,pastel_palettes,0.5481,98
Q3,poppin_party__440,poppin_party,0.5481,99
Q3,raise_a_suilen__518,raise_a_suilen,0.5472,100
Q3,roselia__586,roselia,0.5471,101
Q3,roselia__606,roselia,0.5471,102
Q3,ave_mujica__093,ave_mujica,0.5467,103
Q3,pastel_palettes__342,pastel_palettes,0.5464,104
Q3,roselia__580,roselia,0.5463,105
Q3,poppin_party__445,poppin_party,0.5463,106
Q3,poppin_party__479,poppin_party,0.546,107
Q3,morfonica__182,morfonica,0.5456,108
Q3,afterglow__017,afterglow,0.5452,109
Q3,hello_happy_world__149,hello_happy_world,0.545,110
Q3,roselia__653,roselia,0.545,111
Q3,afterglow__070,afterglow,0.5446,112
Q3,poppin_party__389,poppin_party,0.5444,113
Q3,afterglow__039,afterglow,0.5431,114
Q3,pastel_palettes__362,pastel_palettes,0.5431,115
Q3,raise_a_suilen__567,raise_a_suilen,0.5429,116
Q3,raise_a_suilen__542,raise_a_suilen,0.5428,117
Q3,ave_mujica__086,ave_mujica,0.5425,118
Q3,poppin_party__420,poppin_party,0.5423,119
Q3,poppin_party__457,poppin_party,0.5419,120
Q3,ave_mujica__083,ave_mujica,0.5415,121
Q3,roselia__658,roselia,0.5411,122
Q3,afterglow__029,afterglow,0.5411,123
Q3,poppin_party__381,poppin_party,0.5409,124
Q3,roselia__585,roselia,0.5408,125
Q3,poppin_party__407,poppin_party,0.5408,126
Q3,roselia__622,roselia,0.5406,127
Q3,mygo__660,mygo,0.5404,128
Q3,pastel_palettes__339,pastel_palettes,0.5401,129
Q3,afterglow__068,afterglow,0.54,130
Q3,roselia__595,roselia,0.5396,131
Q3,hello_happy_world__114,hello_happy_world,0.5395,132
Q3,mygo__284,mygo,0.5394,133
Q4,hello_happy_world__109,hello_happy_world,0.6244,1
Q4,hello_happy_world__115,hello_happy_world,0.6165,2
Q4,pastel_palettes__371,pastel_palettes,0.6103,3
Q4,raise_a_suilen__491,raise_a_suilen,0.61,4
Q4,raise_a_suilen__526,raise_a_suilen,0.6081,5
Q4,poppin_party__383,poppin_party,0.6044,6
Q4,poppin_party__375,poppin_party,0.6018,7
Q4,raise_a_suilen__504,raise_a_suilen,0.6012,8
Q4,raise_a_suilen__498,raise_a_suilen,0.6004,9
Q4,various_artists__104,various_artists,0.6,10
Q4,hello_happy_world__123,hello_happy_world,0.5981,11
Q4,pastel_palettes__332,pastel_palettes,0.598,12
Q4,ave_mujica__088,ave_mujica,0.5974,13
Q4,hello_happy_world__107,hello_happy_world,0.5949,14
Q4,poppin_party__413,poppin_party,0.5936,15
Q4,hello_happy_world__120,hello_happy_world,0.5921,16
Q4,pastel_palettes__331,pastel_palettes,0.5891,17
Q4,hello_happy_world__119,hello_happy_world,0.5889,18
Q4,hello_happy_world__111,hello_happy_world,0.5876,19
Q4,afterglow__036,afterglow,0.5838,20
Q4,afterglow__042,afterglow,0.5831,21
Q4,poppin_party__423,poppin_party,0.5812,22
Q4,hello_happy_world__116,hello_happy_world,0.5811,23
Q4,raise_a_suilen__522,raise_a_suilen,0.5796,24
Q4,poppin_party__443,poppin_party,0.5766,25
Q4,raise_a_suilen__568,raise_a_suilen,0.5742,26
Q4,poppin_party__379,poppin_party,0.5714,27
Q4,morfonica__189,morfonica,0.57,28
Q4,hello_happy_world__140,hello_happy_world,0.5697,29
Q4,raise_a_suilen__517,raise_a_suilen,0.5693,30
Q4,poppin_party__448,poppin_party,0.5681,31
Q4,raise_a_suilen__524,raise_a_suilen,0.5663,32
Q4,hello_happy_world__114,hello_happy_world,0.566,33
Q4,poppin_party__410,poppin_party,0.5647,34
Q4,roselia__611,roselia,0.5641,35
Q4,raise_a_suilen__533,raise_a_suilen,0.5636,36
