idx,band,song,duration_sec,key_ks,mode_ks,key_ks_confidence,modulation_flag,key_essentia,mode_essentia,key_mismatch,mode_only_mismatch,error
63,afterglow,ドラマツルギー (Cover),238.6,F#,minor,0.58,True,F#,minor,False,False,
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),190.63,G,major,0.879,False,G,major,False,False,
67,afterglow,ベノム (Cover),198.5,F,minor,0.466,True,F,minor,False,False,
70,afterglow,Punchline Halloween!!!,234.17,C,major,0.489,True,C,minor,False,True,
68,afterglow,Don't say “lazy” (Cover),275.67,E,major,0.388,True,E,minor,False,True,
72,ave_mujica,KiLLKiSS,208.77,E,minor,0.889,False,E,minor,False,False,
74,ave_mujica,Imprisoned XII,192.17,C,major,0.437,True,C,major,False,False,
73,ave_mujica,"Georgette Me, Georgette You",234.68,C#,minor,0.358,True,C#,minor,False,False,
71,afterglow,I love your way！,263.7,F#,minor,0.462,False,D,major,True,False,
76,ave_mujica,八芒星ダンス,231.55,C#,major,0.467,True,C#,minor,False,True,
75,ave_mujica,Crucifix X,299.0,D,minor,0.231,False,D,minor,False,False,
77,ave_mujica,顔,242.17,F#,minor,0.558,True,B,minor,True,False,
78,ave_mujica,天球のMúsica,280.33,F,major,0.544,False,F,major,False,False,
79,ave_mujica,黒のバースデイ,234.26,D#,minor,0.783,False,Eb,minor,True,False,
82,ave_mujica,神さま、バカ,223.98,D,minor,0.621,False,F,major,False,False,
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,304.92,E,minor,0.877,False,E,minor,False,False,
81,ave_mujica,Choir ‘S’ Choir,288.14,G,minor,0.927,False,G,minor,False,False,
83,ave_mujica,Mas?uerade Rhapsody Re?uest,249.79,G#,minor,0.428,False,C#,minor,True,False,
84,ave_mujica,Ave Mujica,277.99,G,minor,0.465,True,G,minor,False,False,
86,ave_mujica,Symbol II : Air,212.81,F#,minor,0.423,True,B,minor,True,False,
87,ave_mujica,Symbol III : ▽,256.93,G,major,0.584,True,G,major,False,False,
