idx,band,song,duration_sec,dfa_alpha,danceability_norm,dfa_alpha_native,danceability_clf_prob,error
59,afterglow,プライド革命 (Cover),238.53,0.9288273453712463,0.383,,1.0766263008117676,
61,afterglow,Redo (Cover),261.57,1.017801284790039,0.0988,,0.9825100302696228,
60,afterglow,命に嫌われている。 (Cover),274.1,0.8825079202651978,0.6368,,1.133134365081787,
64,afterglow,COLORS (Cover),218.8,0.8454462885856628,0.804,,1.182807445526123,
63,afterglow,ドラマツルギー (Cover),238.6,0.8779433965682983,0.6565,,1.1390255689620972,
65,afterglow,午夜の待ち合わせ (Cover),171.53,0.9094620943069458,0.4894,,1.0995509624481201,
69,afterglow,Part of the Life,88.66,0.8887994885444641,0.6033,,1.1251132488250732,
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),190.63,0.7844589352607727,0.9362,,1.274764060974121,
67,afterglow,ベノム (Cover),198.5,0.7996723055839539,0.9073,,1.2505121231079102,
68,afterglow,Don't say “lazy” (Cover),275.67,0.7923898696899414,0.921,,1.2620049715042114,
70,afterglow,Punchline Halloween!!!,234.17,0.9073548913002014,0.5015,,1.1021045446395874,
72,ave_mujica,KiLLKiSS,208.77,1.0980859994888306,0.0137,,0.910675585269928,
74,ave_mujica,Imprisoned XII,192.17,1.15644371509552,0.0046,,0.8647199869155884,
73,ave_mujica,"Georgette Me, Georgette You",234.68,1.1538317203521729,0.0076,,0.8666774034500122,
71,afterglow,I love your way！,263.7,0.84827721118927,0.7903,,1.1788599491119385,
76,ave_mujica,八芒星ダンス,231.55,1.0279356241226196,0.0866,,0.9728235602378845,
75,ave_mujica,Crucifix X,299.0,1.0409959554672241,0.0669,,0.9606184959411621,
77,ave_mujica,顔,242.17,0.895248293876648,0.5653,,1.1170086860656738,
79,ave_mujica,黒のバースデイ,234.26,1.1040058135986328,0.0122,,0.9057923555374146,
78,ave_mujica,天球のMúsica,280.33,1.0685644149780273,0.0304,,0.9358350038528442,
82,ave_mujica,神さま、バカ,223.98,1.2027044296264648,0.0,,0.8314594030380249,
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,304.92,1.092786431312561,0.0152,,0.9150918126106262,
81,ave_mujica,Choir ‘S’ Choir,288.14,1.0494581460952759,0.0562,,0.9528726935386658,
83,ave_mujica,Mas?uerade Rhapsody Re?uest,249.79,1.0699362754821777,0.0274,,0.9346351027488708,
84,ave_mujica,Ave Mujica,277.99,1.0132789611816406,0.1094,,0.9868950843811035,
86,ave_mujica,Symbol II : Air,212.81,1.034448504447937,0.0729,,0.9666987657546997,
85,ave_mujica,Symbol I : △,312.18,1.0511527061462402,0.0486,,0.9513368010520935,
87,ave_mujica,Symbol III : ▽,256.93,1.0290217399597168,0.0851,,0.9717968702316284,
88,ave_mujica,Symbol IV : Earth,239.14,1.1589934825897217,0.003,,0.8628174662590027,
90,ave_mujica,The Whole Blue World,257.3,1.0305380821228027,0.0821,,0.9703667163848877,
91,ave_mujica,in your blue eyes,222.77,1.1722573041915894,0.0015,,0.8530550599098206,
89,ave_mujica,Ether,285.69,1.1541733741760254,0.0061,,0.8664209842681885,
95,ave_mujica,Sophie,197.01,1.014586329460144,0.1049,,0.9856233596801758,
92,ave_mujica,素晴らしき世界 でも どこにもない場所,269.5,1.0320484638214111,0.0775,,0.9689467549324036,
93,ave_mujica,Angles,275.08,1.072394609451294,0.0258,,0.9324924349784851,
96,ave_mujica,‘S/’ The Way,227.45,1.0727747678756714,0.0243,,0.9321622252464294,
94,ave_mujica,DIVINE,257.63,1.0197447538375854,0.0912,,0.9806374311447144,
98,ave_mujica,堕天 (Cover),183.79,0.9349231123924255,0.3632,,1.0696066617965698,
97,ave_mujica,碧い瞳の中に,223.96,1.1433403491973877,0.0091,,0.8746302723884583,
103,various_artists,"Be shine, shining!",96.33,0.9250130653381348,0.4058,,1.0810658931732178,
99,ave_mujica,KINGS (Cover),317.63,0.8935638070106506,0.576,,1.1191142797470093,
102,various_artists,Glee! Glee! Glee!,211.83,0.9010303616523743,0.5319,,1.1098405122756958,
101,various_artists,Don't be afraid!,238.8,0.9197461605072021,0.4438,,1.0872563123703003,
100,ave_mujica,暗黒天国 (Cover),265.32,0.9413487315177917,0.3359,,1.0623055696487427,
104,various_artists,"Here, the world",263.24,0.8216759562492371,0.8708,,1.217024803161621,
106,hello_happy_world,キミがいなくちゃっ！,243.77,0.8822367787361145,0.6383,,1.133482575416565,
105,various_artists,CiRCLE THANKS MUSiC♪,313.7,0.8761019110679626,0.6687,,1.141419768333435,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.43,0.7816522717475891,0.9392,,1.2793413400650024,
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,235.2,0.8303475975990295,0.8541,,1.204314947128296,
109,hello_happy_world,えがお･シング･あ･ソング,249.2,0.9376434087753296,0.3526,,1.066503643989563,
