idx,band,song,duration_sec,arousal_median,arousal_p10,arousal_p90,arousal_std,n_patches,error
0,afterglow,ON YOUR MARK,241.6333125,7.325271129608154,6.4977922439575195,8.076416015625,0.6909206509590149,161,
1,afterglow,That Is How I Roll!,239.6,7.308801651000977,6.512436866760254,7.94495964050293,0.6132108569145203,160,
2,afterglow,SENSENFUKOKU,246.5333125,7.046791076660156,6.1222920417785645,7.738588809967041,0.6915765404701233,164,
3,afterglow,I knew it!,291.3,7.406019687652588,6.443349838256836,8.165283203125,0.6970048546791077,194,
4,afterglow,ツナグ、ソラモヨウ,248.9333125,7.201624870300293,6.266544818878174,7.936986923217773,0.8949064612388611,166,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.70225,7.102724552154541,6.224211692810059,7.78797721862793,0.6719373464584351,156,
6,afterglow,"Easy come, Easy go!",243.4,7.088780403137207,6.0282883644104,7.887293338775635,0.7742687463760376,162,
7,afterglow,Sasanqua,236.80225,6.81696891784668,5.770893573760986,7.460564136505127,0.7110052108764648,158,
8,afterglow,RED RED RED,224.366625,7.0161213874816895,5.54720401763916,7.715632915496826,0.8447364568710327,149,
9,afterglow,ONE OF US,282.3,7.335694313049316,6.143275737762451,7.98610782623291,0.8535047173500061,188,
10,afterglow,Y.O.L.O!!!!!,270.9305,7.229061126708984,6.510036945343018,7.956342697143555,0.727998673915863,181,
11,afterglow,Scarlet Sky,229.0,7.190240859985352,6.039979934692383,7.968536853790283,0.7007022500038147,152,
12,afterglow,Off we go.,251.8333125,6.71071720123291,5.925046920776367,7.412260055541992,0.6321516633033752,168,
13,afterglow,いつも通りのBrand new days,237.3333125,6.971593856811523,5.90209436416626,7.6168951988220215,0.6636264324188232,158,
14,afterglow,SWITCH ON NOW,207.3333125,7.222578525543213,6.658228397369385,7.932908535003662,0.6258032321929932,138,
15,afterglow,ランブリングメモリー,325.0333125,7.179149150848389,5.745713710784912,7.640794277191162,0.833821177482605,217,
16,afterglow,COMIC PANIC!!!,280.5,7.407463073730469,6.55515193939209,8.120832443237305,0.6253589987754822,187,
17,afterglow,Trouble Joyful!!,237.9333125,7.075883865356445,6.130163192749023,7.796974182128906,0.6816125512123108,158,
18,afterglow,Jamboree!Journey!,259.8,7.314810752868652,6.44894552230835,8.083337783813477,0.7602508664131165,173,
19,afterglow,カナユメ,307.466625,6.886216640472412,5.5931572914123535,7.510343551635742,0.7963249087333679,205,
20,afterglow,独創収差,276.3,6.745689392089844,4.6945624351501465,7.511527061462402,1.0524009466171265,184,
21,afterglow,極彩色,238.6,7.00611686706543,6.289156913757324,7.7564167976379395,0.7265605926513672,159,
22,afterglow,サクラゼンセン,249.3333125,7.159527778625488,6.230849742889404,7.758603572845459,0.6515575647354126,166,
23,afterglow,True color,253.3333125,7.05737829208374,6.0538177490234375,7.6522393226623535,0.7385700941085815,169,
24,afterglow,Crow Song,244.2,6.98244571685791,6.163245677947998,7.789640426635742,0.6392573118209839,163,
25,afterglow,カサブタ,196.666625,7.652812957763672,6.791083335876465,8.166153907775879,0.609244167804718,131,
26,afterglow,アイのシナリオ,259.8333125,7.085435390472412,6.125669002532959,7.598698139190674,0.6627352237701416,173,
27,afterglow,Northern lights,209.1,7.095794677734375,6.075559139251709,7.800177097320557,0.7343118190765381,139,
28,afterglow,トーキョーワンダー。,153.766625,7.055652141571045,5.6011128425598145,7.983900547027588,0.8717530369758606,102,
29,afterglow,Reach Out To The Truth,171.466625,7.1968231201171875,6.619765281677246,7.823343276977539,0.48589396476745605,114,
30,afterglow,Listen!!,227.466625,7.204256534576416,6.548276424407959,8.077770233154297,0.6164554953575134,151,
31,afterglow,青い栞,336.8,6.3585052490234375,4.967586517333984,7.132709980010986,0.8760249614715576,225,
32,afterglow,イマジネーション,177.966625,7.137579917907715,5.806947708129883,7.717939376831055,0.7585042715072632,118,
33,afterglow,Butter-Fly,250.2,6.9673662185668945,6.3985185623168945,7.655381202697754,0.5806037783622742,167,
34,afterglow,燦々,194.9,6.6930832862854,5.897799015045166,7.411642074584961,0.5932053327560425,129,
35,afterglow,That's why I'm here.,261.866625,6.846534729003906,5.64634895324707,7.481852054595947,0.7323170900344849,174,
36,afterglow,IGNITE GLOW,267.366625,6.900792598724365,5.981845855712891,7.540884494781494,0.6550936102867126,178,
37,afterglow,ペトリコール・オベーション,219.1333125,7.153072357177734,5.983415126800537,8.063652038574219,0.9149132370948792,146,
38,afterglow,Made My Day,243.966625,6.833186149597168,6.119282245635986,7.492385387420654,0.5162732601165771,162,
39,afterglow,Glowing After,254.4933125,6.885965824127197,5.541101455688477,7.507885456085205,0.784569501876831,170,
40,afterglow,A Sunset So Bright,231.106625,6.64708137512207,5.813372611999512,7.233846187591553,0.5617335438728333,154,
41,afterglow,Start as Usual,276.266625,6.692793846130371,5.833326816558838,7.320736885070801,0.6473026871681213,184,
42,afterglow,“Say cheese!!!!!”,261.066625,7.090773582458496,6.389397621154785,7.644211769104004,0.5429658889770508,174,
43,afterglow,花笑みのデュオ,250.306625,6.675547122955322,5.58455228805542,7.331472396850586,0.7725667357444763,167,
44,afterglow,READY STEADY GO (Cover),221.3333125,7.210546493530273,6.294865608215332,7.93162727355957,0.73469078540802,147,
45,afterglow,abnormalize (Cover),219.0333125,7.159338474273682,6.111516952514648,7.875424385070801,0.7458539605140686,146,
46,afterglow,メンタルチェンソー (Cover),177.3975625,7.2289533615112305,6.68510103225708,7.658771514892578,0.4571548104286194,118,
47,afterglow,Bunny Girl (Cover),217.226625,6.961411952972412,6.316645622253418,7.626616477966309,0.5396432876586914,144,
48,afterglow,オレンジ (Cover),235.6,6.504333972930908,4.861983299255371,7.209959506988525,0.9454838633537292,157,
49,afterglow,カゲロウデイズ (Cover),233.706625,6.269518852233887,5.276607513427734,7.416271209716797,0.8021324276924133,156,
50,afterglow,DAY×DAY (Cover),219.066625,7.128175735473633,6.261132717132568,7.836445331573486,0.6861692070960999,146,
51,afterglow,ロキ (Cover),230.0333125,7.172277450561523,6.4912919998168945,7.777588844299316,0.5838069319725037,153,
52,afterglow,CHAINSAW BLOOD (Cover),203.12,7.113705635070801,6.355970859527588,7.613489627838135,0.5109006762504578,135,
53,afterglow,チルドレンレコード (Re:boot) (Cover),189.706625,7.009706020355225,5.920229911804199,7.520723342895508,0.6306207180023193,126,
54,afterglow,青のすみか (Cover),197.4,6.595925331115723,5.135636329650879,7.576257228851318,0.9578777551651001,131,
55,afterglow,GO!!! (Cover),239.666625,7.474613189697266,6.650914669036865,8.184037208557129,0.7337479591369629,160,
56,afterglow,天ノ弱 (Cover),187.766625,7.115947246551514,5.856202125549316,7.695520401000977,0.7108752727508545,125,
57,afterglow,アスノヨゾラ哨戒班 (Cover),192.0333125,7.090052604675293,5.891254425048828,7.824629783630371,0.8051310777664185,128,
58,afterglow,瞬間センチメンタル (Cover),230.9333125,7.269939422607422,6.648057460784912,7.92051362991333,0.6805545687675476,154,
59,afterglow,プライド革命 (Cover),238.5333125,7.200177192687988,6.012678623199463,7.937114715576172,0.750511646270752,159,
60,afterglow,命に嫌われている。 (Cover),274.1,5.94578218460083,5.163591384887695,7.342583656311035,0.8822374939918518,183,
61,afterglow,Redo (Cover),261.566625,6.891557693481445,5.759390830993652,7.682368755340576,0.7846507430076599,174,
62,afterglow,インフェルノ (Cover),214.166625,7.359781265258789,6.337876319885254,8.129487991333008,0.7662265300750732,142,
63,afterglow,ドラマツルギー (Cover),238.6,7.028141021728516,5.973104000091553,7.722140789031982,0.6787303686141968,159,
64,afterglow,COLORS (Cover),218.8,6.736730575561523,5.75841760635376,7.078083515167236,0.7100114822387695,146,
65,afterglow,午夜の待ち合わせ (Cover),171.5333125,7.294283866882324,6.3212385177612305,7.954638957977295,0.880280613899231,114,
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),190.6333125,7.209578990936279,6.040152072906494,7.963230609893799,0.7417876720428467,127,
67,afterglow,ベノム (Cover),198.5,7.727442741394043,6.936158657073975,8.282319068908691,0.5764027833938599,132,
68,afterglow,Don't say “lazy” (Cover),275.666625,7.461879730224609,6.6444525718688965,8.0587158203125,0.8418999314308167,184,
69,afterglow,Part of the Life,88.663875,7.015749931335449,6.139400959014893,7.600093364715576,0.5249879956245422,58,
70,afterglow,Punchline Halloween!!!,234.166625,6.747406005859375,6.1433305740356445,7.335608005523682,0.59649658203125,156,
71,afterglow,I love your way！,263.7,7.310246467590332,6.433707237243652,7.979002952575684,0.63422691822052,176,
72,ave_mujica,KiLLKiSS,208.7724375,6.630990982055664,4.228590488433838,7.324847221374512,1.063533902168274,139,
73,ave_mujica,"Georgette Me, Georgette You",234.6790625,5.5088653564453125,3.7958884239196777,7.197881698608398,1.3002464771270752,156,
74,ave_mujica,Imprisoned XII,192.1683125,5.270883560180664,3.7826223373413086,6.8329854011535645,1.2025316953659058,128,
75,ave_mujica,Crucifix X,299.003375,6.470942974090576,3.986438751220703,6.97833251953125,1.0599777698516846,199,
76,ave_mujica,八芒星ダンス,231.549375,6.731789588928223,4.882342338562012,7.591721057891846,0.9837894439697266,154,
77,ave_mujica,顔,242.1725,7.121429443359375,6.324765205383301,7.613382816314697,0.5896893739700317,161,
78,ave_mujica,天球のMúsica,280.3345,6.758284091949463,4.410477638244629,7.399069309234619,1.138784408569336,187,
79,ave_mujica,黒のバースデイ,234.2613125,6.886259078979492,4.268876075744629,7.722164154052734,1.4071732759475708,156,
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,304.9244375,6.02911376953125,4.864478588104248,6.951143741607666,0.816606879234314,203,
81,ave_mujica,Choir ‘S’ Choir,288.1364375,6.7715044021606445,4.937726020812988,7.423851490020752,0.9363752007484436,192,
82,ave_mujica,神さま、バカ,223.978625,6.979496479034424,4.670662879943848,7.745484828948975,1.1215265989303589,149,
83,ave_mujica,Mas?uerade Rhapsody Re?uest,249.792,6.650956153869629,5.26413631439209,7.557967185974121,0.9206990599632263,166,
84,ave_mujica,Ave Mujica,277.9893125,5.897695541381836,4.269099712371826,6.850521087646484,0.9363974332809448,185,
85,ave_mujica,Symbol I : △,312.1806875,6.5234575271606445,5.611764430999756,7.125455379486084,0.603923499584198,208,
86,ave_mujica,Symbol II : Air,212.810875,7.331499099731445,6.561181545257568,7.868865013122559,0.5703535079956055,142,
87,ave_mujica,Symbol III : ▽,256.9288125,4.865678787231445,3.670290946960449,5.63995361328125,0.7492761611938477,171,
88,ave_mujica,Symbol IV : Earth,239.1423125,6.342686176300049,5.3340744972229,7.167140960693359,0.7459592223167419,159,
89,ave_mujica,Ether,285.6866875,6.494139194488525,4.790719032287598,7.119600296020508,0.8878620266914368,191,
90,ave_mujica,The Whole Blue World,257.3013125,6.356808185577393,5.360357284545898,6.986624717712402,0.7308927774429321,171,
91,ave_mujica,in your blue eyes,222.7724375,6.291816711425781,3.942643880844116,7.140738010406494,1.2258726358413696,148,
92,ave_mujica,素晴らしき世界 でも どこにもない場所,269.502375,6.537311553955078,5.420893669128418,7.263540267944336,0.6912043690681458,180,
93,ave_mujica,Angles,275.08,5.693749904632568,3.924980401992798,7.1465044021606445,1.2374006509780884,183,
94,ave_mujica,DIVINE,257.62575,6.800978183746338,5.5373616218566895,7.282938003540039,0.7078282833099365,172,
95,ave_mujica,Sophie,197.0096875,6.449047565460205,5.410820960998535,7.143917083740234,0.7071271538734436,131,
96,ave_mujica,‘S/’ The Way,227.4524375,7.101995944976807,6.28066873550415,7.680693626403809,0.6482478380203247,151,
97,ave_mujica,碧い瞳の中に,223.96,5.985641002655029,3.7765212059020996,6.815374374389648,1.1174226999282837,149,
98,ave_mujica,堕天 (Cover),183.786625,7.17982292175293,6.14882755279541,7.771696090698242,0.697176992893219,122,
99,ave_mujica,KINGS (Cover),317.626625,6.717981815338135,5.857753753662109,7.327720642089844,0.6191521883010864,212,
100,ave_mujica,暗黒天国 (Cover),265.32,7.040952682495117,6.002400875091553,7.892278671264648,0.7635585069656372,177,
101,various_artists,Don't be afraid!,238.8,7.058892250061035,6.032611846923828,7.6212897300720215,0.7633593082427979,159,
102,various_artists,Glee! Glee! Glee!,211.8333125,7.0434160232543945,5.669797420501709,7.7352752685546875,0.9272155165672302,141,
103,various_artists,"Be shine, shining!",96.3333125,6.5449700355529785,5.542564392089844,7.225827693939209,0.7372878193855286,63,
104,various_artists,"Here, the world",263.24,6.297852516174316,5.468578338623047,6.978701114654541,0.6999091506004333,175,
105,various_artists,CiRCLE THANKS MUSiC♪,313.70225,6.5801615715026855,5.767850875854492,7.284887313842773,0.6054498553276062,209,
106,hello_happy_world,キミがいなくちゃっ！,243.7689375,6.517139434814453,5.502075672149658,7.175584316253662,0.7007938623428345,162,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.4333125,6.787994861602783,6.139711856842041,7.730771064758301,0.6656859517097473,182,
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.966625,6.3601531982421875,5.555293560028076,7.225478172302246,0.7185338735580444,181,
109,hello_happy_world,えがお･シング･あ･ソング,249.2,7.042596817016602,5.938446044921875,7.753366947174072,0.8160650134086609,166,
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,235.2,6.551336288452148,5.948052883148193,7.193004608154297,0.5267812609672546,157,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,233.3,6.796095371246338,6.057811737060547,7.385040760040283,0.5316482782363892,155,
112,hello_happy_world,ないすみちゅっ！,257.2,6.484677314758301,5.663136005401611,7.185678958892822,0.6404320001602173,171,
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,219.835625,6.9056901931762695,5.999973297119141,7.630138397216797,0.7015389800071716,146,
114,hello_happy_world,うぃーきゃん☆フレフレっ！,239.635625,6.4077558517456055,5.641617774963379,7.117982864379883,0.5894083976745605,160,
115,hello_happy_world,えがおのオーケストラっ！,230.2,6.611704349517822,5.130794525146484,7.555220603942871,0.9451795220375061,153,
116,hello_happy_world,にこにこねくと！,250.6355625,6.091732978820801,5.095468044281006,6.810808181762695,0.6737850904464722,167,
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,246.3,6.403980255126953,5.404111862182617,7.195766925811768,0.774458110332489,164,
118,hello_happy_world,せかいのっびのびトレジャー！,212.7,6.95409631729126,6.035598278045654,7.50607442855835,0.6032488346099854,141,
119,hello_happy_world,きらっ☆と キミフェス！,231.066625,7.225236892700195,6.108092308044434,7.693233489990234,0.6666948795318604,154,
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,217.766625,6.723336219787598,5.850359916687012,7.1997880935668945,0.5717248320579529,145,
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,256.366625,7.048923015594482,6.168745040893555,7.78903865814209,0.6487185955047607,171,
