status,tag,band,song,lufs,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,tempo_bpm,n_beats,est_key,pct_major,chord_change_rate,borrowed_chord_rate,idx,band_master,song_master,url,video_id,key,camelot,tempo_excerpt,energy_proxy,mode_score,acousticness_proxy,instrumentalness_proxy,bpm,energy,shape,eligible_band,energy_full,i_mean,i_std,i_max,i_min,i_start,i_end,band_audio,song_audio,duration_sec,cen_mean,cen_p90,roll_mean,roll_p90,bw_mean,bw_p90,flat_mean,flat_p90,contrast_mean,contrast_p90,zcr_mean,zcr_p90,perc_mean,perc_p90,perc_p95,onset_mean,onset_p90,onset_rate,rms_mean,rms_p90,extract_sec,error,band_proxies,song_proxies,duration_s,harmonic_ratio,centroid,rolloff,flatness,contrast,flux,zcr,rms,tempo_excerpt_proxies,mode_score_proxies,key_proxies,voiced_frac_mix,acousticness_proxy_proxies,instrumentalness_proxy_proxies,energy_proxy_proxies
success,afterglow__000,afterglow,ON YOUR MARK,-9.61843793250313,14.061362266540527,86.06576538085938,77.81381225585938,20.48539924621582,-15.502639770507812,17.079931259155273,34.19417953491211,14.385340690612793,4.955368995666504,9.58271312713623,8.193562507629395,9.799887657165527,4.402720928192139,7.2065324783325195,2.9565327167510986,7.6502838134765625,6.786248207092285,8.034801483154297,9.424067497253418,7.3340840339660645,-1.3626545667648315,7.399383544921875,8.775474548339844,6.654554843902588,-3.1204452514648438,7.226648807525635,123.046875,486,D#maj,0.5925925925925926,105.32407407407408,0.8724279835390947,0,afterglow,ON YOUR MARK,https://youtu.be/09B-WljIiTo,09B-WljIiTo,Amaj,11B,123.04688,-0.2597525174453358,0.28223,-0.976506210142352,0.5337098548585665,123.0,0.822,neutral,True,0.250383,0.12054,0.7258,1.22611,-0.66669,-0.03037,0.07349,afterglow,ON YOUR MARK,241.63,2508.4803295645056,2967.761706815352,5034.080933356155,6524.560546875,2439.7368966747845,2847.1400185419234,0.0402570143342018,0.0478680841624736,21.56192798699801,24.13833133902905,0.1307201676906169,0.17236328125,0.2927252650260925,0.6391918659210205,0.7352646589279175,1.1801785230636597,2.242302417755127,4.014346806456064,0.1920792758464813,0.2729217112064361,12.62,,afterglow,ON YOUR MARK,241.6,0.62773,2605.57641,5395.97848,0.02875,21.64183,1.24574,0.12456,0.31677,123.04688,0.28223,Amaj,0.29928,-0.976506210142352,0.5337098548585665,-0.2597525174453358
success,afterglow__001,afterglow,That Is How I Roll!,-10.910740287417264,8.688885688781738,79.81565856933594,55.29380798339844,18.81692123413086,-11.619315147399902,14.853723526000977,41.87077331542969,13.658931732177734,8.946244239807129,9.250463485717773,11.70838451385498,8.832961082458496,1.5571285486221313,7.685005187988281,4.849676609039307,7.337613105773926,1.941291332244873,7.816197872161865,7.365904331207275,6.787558555603027,-4.983301639556885,6.784101963043213,3.069843053817749,6.334646224975586,-3.0494298934936523,6.705165386199951,117.45383522727273,459,A#maj,0.5294117647058824,99.79737633689841,0.8017429193899782,1,afterglow,That Is How I Roll!,https://youtu.be/_lfuqSepLNw,_lfuqSepLNw,Dmaj,10B,117.45384,-0.5358330246461609,0.07978,-1.525891931047746,-0.8247750650786677,117.5,0.396,bright,True,0.934916,0.49796,0.8253,1.91718,-0.58242,0.85529,0.81895,afterglow,That Is How I Roll!,239.6,2960.2565597613834,3556.543416880746,5848.930475261048,7138.2568359375,2585.382703523353,2903.3508827900746,0.05540107563138,0.0838743969798088,21.78949261007269,24.300699520897748,0.1616687436403721,0.21533203125,0.2839956283569336,0.623387336730957,0.7138131856918335,1.2310270071029663,2.5012755393981934,3.0091819699499167,0.1591063141822815,0.207963228225708,12.4,,afterglow,That Is How I Roll!,239.6,0.67244,2890.74679,5680.16565,0.04254,21.90067,1.27923,0.15562,0.27143,117.45384,0.07978,Dmaj,0.51445,-1.525891931047746,-0.8247750650786677,-0.5358330246461609
success,afterglow__002,afterglow,SENSENFUKOKU,-11.899956554166279,-8.572299003601074,74.71277618408203,75.822509765625,21.811161041259766,-15.39239501953125,17.436193466186523,28.4888858795166,13.856359481811523,8.222902297973633,9.424101829528809,6.518036842346191,10.718954086303711,3.1290438175201416,8.442408561706543,6.654735565185547,8.371209144592285,3.753324270248413,7.829514503479004,9.415850639343262,7.76776123046875,-1.6888262033462524,6.559792518615723,7.223937034606934,6.32854700088501,-3.2849137783050537,7.216230392456055,135.99917763157896,542,Gmaj,0.5701107011070111,117.18010323606526,0.6660516605166051,2,afterglow,SENSENFUKOKU,https://youtu.be/RDZUbagvt0E,RDZUbagvt0E,Fmaj,7B,135.99918,-1.4635193061511385,0.02075,-0.6840287975734768,0.2275030480687916,136.0,0.159,neutral,True,0.73124,0.09921,0.80883,1.4,-0.88091,0.01079,0.19293,afterglow,SENSENFUKOKU,246.53,2621.0119823691875,3284.739695700511,5374.080522443463,7116.7236328125,2523.903119935529,2945.198947509485,0.040892481803894,0.0621448457241058,21.47183931327387,24.12817653795991,0.1344422961745385,0.1827636718750005,0.2874015271663666,0.6326900124549866,0.7334094047546387,1.215626835823059,2.262432098388672,2.50676041103299,0.1470577716827392,0.2060385942459106,12.9,,afterglow,SENSENFUKOKU,246.5,0.65763,2654.32859,5583.74957,0.03037,21.57486,1.27906,0.12697,0.24946,135.99918,0.02075,Fmaj,0.34778,-0.6840287975734768,0.2275030480687916,-1.4635193061511385
success,afterglow__003,afterglow,I knew it!,-10.25035085803574,22.0479793548584,77.4473876953125,79.78377532958984,19.047639846801758,-25.581626892089844,14.271539688110352,32.50761795043945,13.049209594726562,3.9417903423309326,8.557694435119629,6.991774082183838,7.9371562004089355,2.350977897644043,7.609457015991211,2.4317896366119385,6.620329856872559,7.358062267303467,6.7038493156433105,7.645992755889893,6.099380016326904,-2.8328914642333984,5.935297966003418,6.2979278564453125,5.527777194976807,-1.7755450010299683,6.1073689460754395,99.38401442307692,479,D#maj,0.5970772442588727,74.07117567648949,0.9102296450939458,3,afterglow,I knew it!,https://youtu.be/q-TEDPBUv7M,q-TEDPBUv7M,Amaj,11B,99.38401,-2.724910580120537,0.28963,0.2496776684344876,-1.717383690726882,99.4,0.7,acoustic,True,0.437213,0.02736,0.69909,1.04592,-0.79392,0.50725,0.00448,afterglow,I knew it!,291.3,2519.143448437525,2914.6317214163105,4868.052045036765,5835.498046875,2352.755064994264,2675.3604726429253,0.0386340953409671,0.0520909577608108,21.15560391793476,23.36277407034289,0.1400819204078989,0.1728515625,0.2605964839458465,0.5406403541564941,0.6278060078620911,1.1115062236785889,2.0249361991882324,1.1259869550291794,0.1761297732591629,0.2207485735416412,15.04,,afterglow,I knew it!,291.3,0.72281,2467.6521,4791.71547,0.03049,21.14698,1.10984,0.13296,0.28898,99.38401,0.28963,Amaj,0.65583,0.2496776684344876,-1.717383690726882,-2.724910580120537
success,afterglow__004,afterglow,ツナグ、ソラモヨウ,-10.670589941197452,-2.455106258392334,92.70603942871094,79.76103210449219,23.27434539794922,-17.00116539001465,20.706815719604492,26.577383041381836,18.364137649536133,-4.6773681640625,12.201265335083008,9.251112937927246,11.054381370544434,2.694938898086548,9.27735710144043,5.024236679077148,8.363167762756348,5.862273216247559,8.059252738952637,7.729677677154541,7.441843032836914,-2.0533792972564697,6.731433391571045,4.957330703735352,7.375520706176758,-1.1543855667114258,7.119340419769287,95.703125,388,G#maj,0.5283505154639175,83.12359052835052,0.9201030927835051,4,afterglow,ツナグ、ソラモヨウ,https://youtu.be/BnWyq8p7NzI,BnWyq8p7NzI,Emaj,12B,129.19922,-1.0497401528767318,0.2626,-0.2204182331186344,-0.1373565676916433,95.7,0.449,shimmer,True,0.45559,0.00049,0.79964,1.23416,-1.15989,-1.05496,0.34473,afterglow,ツナグ、ソラモヨウ,248.93,2523.4815888074786,2992.005863262292,5088.280232083207,6190.7958984375,2390.4986243428484,2757.121013021813,0.036466795951128,0.049737025052309,21.711678880842797,24.31605154799268,0.1310809483869275,0.17236328125,0.2661613225936889,0.6161721348762512,0.7199861407279968,1.2006229162216189,2.389904022216797,3.535083020889127,0.1659525632858276,0.2262774258852005,13.22,,afterglow,ツナグ、ソラモヨウ,248.9,0.67873,2568.00732,5260.94041,0.02855,21.43214,1.27643,0.12428,0.28048,129.19922,0.2626,Emaj,0.40557,-0.2204182331186344,-0.1373565676916433,-1.0497401528767318
success,afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),-10.545790516575947,7.322697639465332,102.89881896972656,60.86952209472656,22.460163116455078,-8.428491592407227,17.067161560058594,31.416812896728516,15.988020896911621,5.901351451873779,9.370153427124023,9.363624572753906,9.549230575561523,-2.124967098236084,7.445300579071045,7.298549175262451,6.91808557510376,2.7353713512420654,7.578670978546143,7.500899791717529,7.504052639007568,1.6766222715377808,7.056615352630615,2.848738670349121,6.24193000793457,-3.6151511669158936,6.527463436126709,161.4990234375,598,A#maj,0.5702341137123745,139.0836071409908,0.6538461538461539,5,afterglow,Hey-day狂騒曲(カプリチオ),https://youtu.be/czHlLBls4oo,czHlLBls4oo,Dmin,7A,151.99908,-1.3281863389777713,-0.07085,-2.314427747350394,-0.3067489104992653,161.5,0.367,bright,True,0.933384,0.58697,0.95695,2.17963,-0.7553,-0.00205,0.82116,afterglow,Hey-day狂騒曲(カプリチオ),233.7,2977.458562434351,3609.070224154051,6101.6764638249815,7482.7880859375,2659.956740610646,3028.1872330426004,0.0616362951695919,0.0941825062036514,21.15371786035826,23.58389752305519,0.1540309763878539,0.21044921875,0.2891518175601959,0.6267925500869751,0.7272065281867981,1.266972541809082,2.5358383655548096,1.9982686271039616,0.1633490175008773,0.2200384140014648,11.76,,afterglow,Hey-day狂騒曲(カプリチオ),233.7,0.6841,3054.31926,6300.57301,0.05357,21.1258,1.27334,0.15857,0.2897,151.99908,-0.07085,Dmin,0.4324,-2.314427747350394,-0.3067489104992653,-1.3281863389777713
success,afterglow__006,afterglow,"Easy come, Easy go!",-10.75712954228968,10.645471572875977,80.5752182006836,81.64468383789062,22.515487670898438,-19.830158233642578,18.163026809692383,25.919235229492188,12.928424835205078,-2.7642323970794678,11.412049293518066,8.377824783325195,9.114276885986328,6.390642166137695,6.681881904602051,13.52314281463623,7.812857151031494,8.172224998474121,7.570188045501709,4.029099941253662,6.578614234924316,-0.7374895215034485,5.93866491317749,7.8604960441589355,6.241311550140381,-0.3505469858646393,6.01616096496582,135.99917763157896,534,A#maj,0.5318352059925093,114.09668835008871,0.7509363295880149,6,afterglow,"Easy come, Easy go!",https://youtu.be/erY4I7Irk0E,erY4I7Irk0E,Dmaj,10B,135.99918,-1.7418432966245931,0.38069,-0.0965573335155848,1.081030846211259,136.0,0.636,neutral,True,0.326953,0.00525,0.79209,1.19049,-0.94155,0.00678,0.30842,afterglow,"Easy come, Easy go!",243.4,2489.275910167515,2998.823523605048,5080.30768193146,6438.427734375,2410.8580478328604,2821.8384869756865,0.038921058177948,0.0507310479879379,21.339721302000022,23.702961359309267,0.1262242663717447,0.166015625,0.2592956125736236,0.5710852146148682,0.680213451385498,1.1453382968902588,2.053304672241211,1.705012325390304,0.1743977963924408,0.2353994101285934,12.9,,afterglow,"Easy come, Easy go!",243.4,0.69627,2548.78515,5239.27943,0.03005,21.42082,1.16165,0.12858,0.29572,135.99918,0.38069,Dmaj,0.21259,-0.0965573335155848,1.081030846211259,-1.7418432966245931
success,afterglow__007,afterglow,Sasanqua,-11.04919251521469,-5.122371673583984,86.87056732177734,82.18895721435547,21.30286407470703,-19.612384796142578,15.732491493225098,27.261533737182617,13.76519775390625,9.184678077697754,9.317193984985352,2.0382094383239746,10.842720985412598,1.3205745220184326,8.423020362854004,5.1460113525390625,8.236405372619629,3.4987387657165527,8.571813583374023,7.04175329208374,7.440606117248535,-0.5686378479003906,6.898488521575928,5.975667476654053,6.443655014038086,-2.7168447971343994,6.767541885375977,99.38401442307692,380,Bmaj,0.5421052631578948,80.55335905870446,0.6131578947368421,7,afterglow,Sasanqua,https://youtu.be/zB2aqNpT8ak,zB2aqNpT8ak,C#maj,3B,99.38401,-0.5839458840559861,0.37115,1.3922353238902436,-1.4828355902683223,99.4,0.413,acoustic,True,0.331547,-0.07625,0.79608,1.15622,-1.0753,-0.33508,0.54732,afterglow,Sasanqua,236.8,2434.181398229508,2967.474588295133,4923.825846130748,6503.02734375,2416.1227377503787,2814.955809523411,0.03863475471735,0.0493720062077045,22.047820963199776,24.78464262982994,0.1200284743755515,0.16064453125,0.2287809550762176,0.5544202923774719,0.6586379408836365,1.1357852220535278,2.188504457473755,2.7237909631559263,0.1621902585029602,0.2148745357990265,12.02,,afterglow,Sasanqua,236.8,0.76064,2441.06308,4944.20344,0.02364,22.23766,1.22646,0.11668,0.2676,99.38401,0.37115,C#maj,0.61868,1.3922353238902436,-1.4828355902683223,-0.5839458840559861
success,afterglow__008,afterglow,RED RED RED,-11.533181340230914,-7.954387187957764,82.29008483886719,78.9325180053711,23.704532623291016,-22.14295768737793,19.033241271972656,21.851722717285156,11.91337776184082,8.752997398376465,9.684076309204102,2.994762897491455,10.32873249053955,-1.2241010665893555,7.750442028045654,9.240979194641113,8.736729621887207,8.197941780090332,7.9249043464660645,2.5156071186065674,8.880773544311523,-7.718544006347656,7.243002891540527,6.743147373199463,6.5961480140686035,-1.3721369504928589,7.521088123321533,123.046875,449,Bmaj,0.6057906458797327,96.19031876391983,0.6770601336302895,8,afterglow,RED RED RED,https://youtu.be/PEUtqZ_lQ4w,PEUtqZ_lQ4w,C#maj,3B,123.04688,-3.1189114978122303,0.09156,0.0817117791584852,-1.5219164177740692,123.0,0.184,neutral,True,0.593415,0.00616,0.82488,1.15589,-1.1078,-0.71584,0.12569,afterglow,RED RED RED,224.37,2558.52987061295,3118.0215585139267,5175.790497176731,6804.4921875,2448.994249231697,2866.0083291533488,0.0398263819515705,0.0573676079511642,22.12935037363456,25.54065623757959,0.1362328942389785,0.17578125,0.2358369082212448,0.5469505190849304,0.6413029432296753,1.1169381141662598,1.964903712272644,2.232952013073837,0.148793876171112,0.1918342262506485,8.4,,afterglow,RED RED RED,224.4,0.74699,2731.07628,5699.34887,0.03646,21.57782,1.08406,0.13931,0.25066,123.04688,0.09156,C#maj,0.62487,0.0817117791584852,-1.5219164177740692,-3.1189114978122303
success,afterglow__009,afterglow,ONE OF US,-12.461449275111457,-17.16459083557129,87.18836975097656,68.63145446777344,20.329391479492188,-20.67865753173828,19.7004337310791,32.993797302246094,13.524809837341309,2.5508949756622314,11.825228691101074,5.760509490966797,10.923639297485352,-0.5981810092926025,9.487189292907715,2.5923383235931396,9.115087509155273,6.385740280151367,9.782902717590332,7.328680992126465,9.2473726272583,-4.0011796951293945,8.61660099029541,4.065487384796143,8.147388458251953,-3.7625083923339844,7.648715972900391,103.359375,484,Fmin,0.5268595041322314,88.83780991735537,0.5950413223140496,9,afterglow,ONE OF US,https://youtu.be/fwT9BgeiPNU,fwT9BgeiPNU,Gmin,6A,103.35938,-2.223051965220373,-0.30065,-2.1434765834387246,0.8334137129680638,103.4,0.058,neutral,True,0.945636,0.14195,0.78777,1.399,-0.96957,0.0703,0.37255,afterglow,ONE OF US,282.3,2712.0122638737184,3260.564143898204,5305.060937965871,6782.958984375,2454.5075914524846,2849.7549469400874,0.0447651669383049,0.0719228461384773,21.45837281572336,24.155591773004243,0.1494641034966688,0.19580078125,0.3520939648151397,0.7085531949996948,0.7806676030158997,1.240428805351257,2.3604118824005127,3.0534891958908963,0.1322751939296722,0.1897474527359008,11.93,,afterglow,ONE OF US,282.3,0.60008,2730.98451,5467.19472,0.03758,21.51021,1.25456,0.14222,0.22753,103.35938,-0.30065,Gmin,0.25181,-2.1434765834387246,0.8334137129680638,-2.223051965220373
