idx,band,song,url,video_id,key,camelot,tempo_excerpt,energy_proxy,mode_score,acousticness_proxy,instrumentalness_proxy,bpm,energy,shape,eligible_band,energy_full,i_mean,i_std,i_max,i_min,i_start,i_end,m3-mode,m4-lufs_integrated,m4-lra,m5-arousal_median,m6-valence_median,m7-danceability_norm,m8-acoustic_median,m9-instr_stem_ratio,m11-speech_median,display_band
14,afterglow,SWITCH ON NOW,https://youtu.be/jsPk4RqO3N8,jsPk4RqO3N8,G#min,1A,135.99918,-1.26664593673893,-0.02717,-0.3420674004597462,-0.8834278740493279,136.0,0.768,bright,True,0.501531,0.36943,0.76030,1.62131,-0.58411,0.54921,0.41821,minor,-9.82112338185104,2.3815603256225586,7.222578525543213,6.19,0.1945,0.00015304374392144382,0.69744,0.0663212239742279,
15,afterglow,ランブリングメモリー,https://youtu.be/vRHfyDdge6s,vRHfyDdge6s,Emaj,12B,123.04688,-0.4547958039409864,0.26601,-0.0429497595393018,-0.4827073374112453,123.0,0.232,bright,True,0.374426,-0.01961,0.80991,1.21343,-0.97133,-0.29132,-0.11948,major,-10.84272592111089,3.829249382019043,7.179149150848389,5.8561,0.7675,0.008927768096327782,0.674616,0.0561996586620807,
16,afterglow,COMIC PANIC!!!,https://youtu.be/LhpHCRJAAKw,LhpHCRJAAKw,Fmaj,7B,103.35938,-0.2507040439354883,0.22186,-3.3574625528683373,1.103822734304271,103.4,0.697,neutral,True,0.797090,0.39949,0.79278,1.69515,-0.73116,0.26349,0.48234,major,-9.711785426460896,4.092350006103516,7.407463073730469,6.5549,0.8617,5.756457903771661e-05,0.711485,0.1218415200710296,
17,afterglow,Trouble Joyful!!,https://youtu.be/RepUyAXXlD8,RepUyAXXlD8,Cmaj,8B,129.19922,0.05481848238880571,0.11171,0.46711837386751576,-0.9192256595028957,95.7,0.618,neutral,True,0.498469,0.19483,0.77152,1.39024,-0.79162,0.35147,0.20585,major,-10.325828795197097,2.5055999755859375,7.075883865356445,6.043,0.617,0.003559567965567112,0.6573,0.0854946672916412,
18,afterglow,Jamboree!Journey!,https://youtu.be/UEBaKDkey40,UEBaKDkey40,F#maj,2B,151.99908,-1.522683873252919,0.23804,-1.469896988211201,-0.7889141442010198,152.0,0.282,neutral,True,0.512251,0.05627,0.83655,1.44668,-1.08653,-0.62307,0.05746,major,-11.205538538178534,2.809952735900879,7.314810752868652,6.3438,0.5821,0.0009532247204333544,0.734698,0.0821775943040847,
19,afterglow,カナユメ,https://youtu.be/ZFXt0Ul0YA8,ZFXt0Ul0YA8,Dmaj,10B,123.04688,-0.13455568924953298,0.19974,1.8650934873043108,-2.0920292972197734,123.0,0.552,acoustic,True,0.091118,-0.34091,0.76650,0.83431,-1.30041,-0.49254,-0.23128,major,-10.747677623134377,3.2256174087524414,6.886216640472412,5.8623,0.3571,0.006351344287395477,0.719142,0.0613674819469451,
20,afterglow,独創収差,https://youtu.be/8rQjShGMPYs,8rQjShGMPYs,Dmaj,10B,129.19922,-0.35269232580865856,0.31901,1.1485164099855536,-0.8052030836137544,123.0,0.733,acoustic,True,0.112557,-0.03635,0.87721,1.16924,-1.46198,-0.40857,-0.64061,major,-8.709624522292605,10.931985855102539,6.745689392089844,4.423,0.0182,1.7479574125900399e-06,0.799104,0.0588974021375179,
21,afterglow,極彩色,https://youtu.be/YvpL2A3FZk4,YvpL2A3FZk4,Dmaj,10B,123.04688,-0.8372771777601745,0.32316,-0.8347026040486344,-0.03640302458713811,123.0,0.382,neutral,True,0.620980,0.21249,0.86162,1.53061,-1.25801,-0.75097,0.29542,major,-10.871496597906875,2.1602306365966797,7.00611686706543,6.0006,0.5608,0.0004907699185423553,0.757314,0.0617326349020004,
22,afterglow,サクラゼンセン,https://youtu.be/RJ98HN9hl6I,RJ98HN9hl6I,F#min,11A,135.99918,0.13912336801615682,-0.35032,1.5525541546326922,-1.137484820548721,143.6,0.514,neutral,True,0.213629,-0.11113,0.75004,0.98088,-1.15750,-0.48913,0.04219,minor,-11.060568329293986,3.1908740997314453,7.159527778625488,5.8706,0.8967,0.004119201563298702,0.71639,0.0766149759292602,
23,afterglow,True color,https://youtu.be/zOTQpZkq_vk,zOTQpZkq_vk,Dmaj,10B,107.66602,0.540160444570788,0.07143,1.4608089543610339,-2.0040816514758237,107.7,0.757,acoustic,True,0.274885,0.09152,0.80333,1.39984,-0.97534,-0.16571,-0.03784,minor,-9.980813018341072,2.603649139404297,7.05737829208374,6.383,0.2462,0.0014594474341720343,0.772762,0.0563845187425613,
