idx,band,song,duration_sec,cen_mean,cen_p90,roll_mean,roll_p90,bw_mean,bw_p90,flat_mean,flat_p90,contrast_mean,contrast_p90,zcr_mean,zcr_p90,perc_mean,perc_p90,perc_p95,onset_mean,onset_p90,onset_rate,rms_mean,rms_p90,extract_sec,error
155,hello_happy_world,はいよろこんで (Cover),160.23,2322.7868379980237,3052.4604222099238,4831.403630644562,6718.359375,2398.521203673407,2927.293022762934,0.035683032125234604,0.050493642687797546,22.270878219543402,25.312019522517467,0.1062011364974279,0.158203125,0.3235700726509094,0.7201034426689148,0.8005524277687073,1.6929014921188354,4.302502155303955,4.150197628458498,0.1510639190673828,0.22007234394550323,7.16,
278,mygo,処救生,217.49,2257.088151695783,2773.8649740920896,4852.6154844842595,6205.869140624996,2459.676913029223,2867.583083315762,0.022177433595061302,0.03304845094680786,21.61759158391398,24.070141537453985,0.08710302583204334,0.123046875,0.17932440340518951,0.3887791037559509,0.48584872484207153,1.1443595886230469,1.981636881828308,1.3655590975968612,0.26673224568367004,0.33012837171554565,9.49,
512,raise_a_suilen,灼熱 Bonfire!,224.8,2678.790848401842,3265.8852156179623,5667.766137488542,7310.5224609375,2640.4771284021094,3066.148290710265,0.03987736999988556,0.060667119920253754,21.586671169337848,24.02007608764541,0.1250274853626575,0.16748046875,0.24890825152397156,0.547038197517395,0.6581055521965027,1.2968086004257202,2.339586019515991,1.5969750889679715,0.2021479606628418,0.26257771253585815,9.64,
272,mygo,栞,266.41,1965.776952222752,2775.68984094259,4170.777260851981,6093.896484375,2315.171096586906,2858.334652440534,0.015181003138422966,0.027460597455501556,23.42285065633951,26.14897297161531,0.07190522288162367,0.115234375,0.11322478204965591,0.29681023955345154,0.41181787848472595,1.1974273920059204,2.6158878803253174,3.0366348030629093,0.20900949835777283,0.2799730598926544,11.06,
584,roselia,FIRE BIRD,360.33,2445.0820744406765,2919.937892518546,4971.700104131428,6061.5966796875,2428.9637700552144,2765.640234812299,0.024203097447752953,0.04450433328747749,22.480101020021852,26.496513762621156,0.11803263967757266,0.15673828125,0.2177906036376953,0.4594503343105316,0.5517752170562744,1.113242506980896,2.062544822692871,3.4107878991851326,0.07325884699821472,0.10406941920518875,11.01,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.7,2977.458562434351,3609.070224154051,6101.6764638249815,7482.7880859375,2659.9567406106466,3028.1872330426004,0.061636295169591904,0.09418250620365143,21.15371786035826,23.58389752305519,0.15403097638785396,0.21044921875,0.2891518175601959,0.6267925500869751,0.7272065281867981,1.266972541809082,2.5358383655548096,1.9982686271039616,0.16334901750087738,0.22003841400146484,11.76,
7,afterglow,Sasanqua,236.8,2434.181398229508,2967.474588295133,4923.825846130748,6503.02734375,2416.1227377503787,2814.955809523411,0.038634754717350006,0.049372006207704544,22.047820963199776,24.78464262982994,0.12002847437555153,0.16064453125,0.22878095507621765,0.5544202923774719,0.6586379408836365,1.1357852220535278,2.188504457473755,2.7237909631559263,0.1621902585029602,0.2148745357990265,12.02,
1,afterglow,That Is How I Roll!,239.6,2960.2565597613834,3556.543416880746,5848.930475261048,7138.2568359375,2585.3827035233535,2903.3508827900746,0.05540107563138008,0.08387439697980881,21.789492610072692,24.300699520897748,0.16166874364037212,0.21533203125,0.2839956283569336,0.623387336730957,0.7138131856918335,1.2310270071029663,2.5012755393981934,3.0091819699499167,0.1591063141822815,0.207963228225708,12.4,
0,afterglow,ON YOUR MARK,241.63,2508.4803295645056,2967.7617068153518,5034.080933356155,6524.560546875,2439.7368966747845,2847.1400185419234,0.04025701433420181,0.04786808416247368,21.56192798699801,24.138331339029055,0.1307201676906169,0.17236328125,0.29272526502609253,0.6391918659210205,0.7352646589279175,1.1801785230636597,2.242302417755127,4.0143468064560635,0.19207927584648132,0.27292171120643616,12.62,
2,afterglow,SENSENFUKOKU,246.53,2621.0119823691875,3284.739695700511,5374.0805224434625,7116.7236328125,2523.9031199355295,2945.198947509485,0.04089248180389404,0.062144845724105835,21.47183931327387,24.12817653795991,0.1344422961745385,0.18276367187500053,0.2874015271663666,0.6326900124549866,0.7334094047546387,1.215626835823059,2.262432098388672,2.5067604110329906,0.14705777168273926,0.20603859424591064,12.9,
