idx,band,song,i_mean,i_std,i_max,i_min,i_start,i_end
268,mygo,詩超絆,-0.24257,0.94483,1.02124,-2.33362,-2.02486,-0.30427
269,mygo,迷路日々,0.02779,0.78853,1.30790,-1.08479,-0.12329,0.25605
270,mygo,無路矢,0.05708,0.61310,0.95084,-0.89897,0.20523,-0.17098
271,mygo,名無声,-0.16399,0.77780,0.77297,-1.12849,-0.17321,-0.08106
272,mygo,栞,-0.47933,0.99907,1.39220,-1.72483,-0.51756,-1.34359
273,mygo,歩拾道,0.12125,0.80620,1.53317,-0.99078,0.01116,-0.54638
274,mygo,明弦音,0.32727,0.74915,1.30357,-0.68603,0.19159,0.47948
275,mygo,孤壊牢,0.06173,0.75226,0.93499,-0.94558,-0.18273,0.23111
276,mygo,霧周途,0.24780,0.67710,1.10642,-0.74868,0.47739,-0.23861
277,mygo,端程山,0.00176,0.76059,1.02872,-1.04651,-0.05131,-0.83033
278,mygo,処救生,-0.03973,0.67023,0.94350,-0.96171,-0.19435,-0.24360
279,mygo,輪符雨,-0.01766,0.72367,1.01353,-1.00329,-0.33945,-0.31014
280,mygo,夜隠染,0.02302,0.93449,1.41628,-1.25341,-0.56404,-0.23410
281,mygo,過惰幻,-0.56260,0.90730,0.92948,-1.75042,-0.93808,-0.62106
282,mygo,回層浮,-0.08268,0.68325,1.02211,-1.03400,0.08753,-0.36587
283,mygo,砂寸奏,0.10162,0.84732,1.28607,-1.20293,-0.17845,-0.36093
284,mygo,焚音打,0.04607,0.72915,0.99102,-0.90433,-0.21741,-1.03956
285,mygo,残痕字,0.36929,0.84257,1.56137,-0.82131,-0.24161,0.61351
286,mygo,掌心正銘,0.50041,0.90711,1.69240,-0.92025,-0.40818,0.74025
287,mygo,証命讃歌,0.68668,0.79045,1.98576,-0.29711,0.62822,1.03729
288,mygo,エガクミライ,-0.33444,0.94273,1.18815,-1.70410,-1.33979,-0.75944
289,mygo,静降想,0.28741,1.03778,1.60302,-1.76662,-0.63483,-0.56212
290,mygo,聿日箋秋,0.03253,0.71745,1.04700,-0.84253,-0.04117,0.21364
291,mygo,往欄印,0.74580,0.91591,2.08941,-0.34690,1.00415,-0.17403
292,mygo,だれかの心臓になれたなら (Cover),0.14703,1.12787,1.65065,-2.16833,0.67796,-1.02257
293,mygo,遥か彼方 (Cover),0.21872,0.84234,1.47581,-1.17969,-0.58414,0.46182
294,mygo,雑踏、僕らの街 (Cover),0.12051,0.83312,1.49156,-0.91751,0.22962,0.21111
295,mygo,過去を喰らう (Cover),0.30768,0.72939,1.45428,-0.82245,0.25417,-0.50679
296,mygo,君の神様になりたい。 (Cover),0.07420,0.78243,1.24124,-1.00314,0.32969,-0.56529
297,mygo,ノンブレス・オブリージュ (Cover),-0.01843,0.94842,1.50259,-1.58935,-0.82251,-0.29837
298,mygo,swim (Cover),0.27745,0.83492,1.35106,-1.00258,0.48892,-0.61596
299,mygo,猛独が襲う (Cover),0.42934,0.86870,1.80632,-0.90852,0.56112,0.98175
300,mygo,春日影,-1.06353,1.00023,0.57255,-2.34247,-1.29275,-0.54163
301,pastel_palettes,TITLE IDOL,0.23726,0.83400,1.66764,-0.95511,0.20204,0.39782
302,pastel_palettes,ワクワクmeetsトリップ,0.52592,0.93479,2.14080,-0.81564,0.53721,0.58246
303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,0.86240,0.92510,2.52199,-0.42608,0.74884,1.18112
304,pastel_palettes,もういちど ルミナス,0.03106,0.75770,1.26963,-0.89731,0.19774,0.39623
305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,0.72256,0.94233,2.31231,-0.67923,0.44340,0.39752
306,pastel_palettes,天下トーイツ A to Z☆,0.46291,0.80714,1.80136,-0.67185,0.42801,0.73066
307,pastel_palettes,しゅわりん☆どり〜みん,0.51223,0.72752,1.63512,-0.56014,0.53504,-0.20943
308,pastel_palettes,Power of LOVE!!!,0.30714,0.78326,1.59835,-0.84770,0.22892,0.01834
309,pastel_palettes,きゅ～まい＊flower,0.62195,0.77245,1.80066,-0.55310,0.63781,0.73458
310,pastel_palettes,Winking☆Cheer,-0.34478,0.74707,0.94886,-1.33927,-0.30652,-0.55460
311,pastel_palettes,ゆめゆめグラデーション,0.33703,0.80700,1.70078,-0.78808,0.56236,0.23393
312,pastel_palettes,はなまる◎アンダンテ,0.27468,0.87354,1.61970,-1.09880,0.22905,-0.43387
313,pastel_palettes,パスパレボリューションず☆,0.25778,0.84605,1.49348,-1.05782,-0.17273,-0.00157
314,pastel_palettes,SURVIVOR ねばーぎぶあっぷ!,0.35657,0.97332,1.99307,-1.03639,0.26109,0.07152
315,pastel_palettes,Wonderland Girl,0.49294,0.81885,1.91122,-0.67478,0.44453,0.49016
316,pastel_palettes,ゼッタイ宣言～Recital～,0.18842,0.86871,1.58932,-1.20178,0.01563,0.50765
317,pastel_palettes,ぎゅっDAYS♪,0.74229,0.93725,2.43756,-0.59542,0.45075,1.15793
318,pastel_palettes,Wonderful Sweet!,0.81157,0.85444,2.26425,-0.54802,0.90912,1.05509
319,pastel_palettes,るんっ♪てぃてぃー！,0.62608,0.83398,2.13085,-0.56092,0.30800,0.79654
320,pastel_palettes,パッパレ☆人生！バーン万歳！,0.58428,0.98615,2.22576,-0.86965,1.06820,0.10694
321,pastel_palettes,Brand new Pastel Road!,0.24081,0.83464,1.61705,-0.94620,0.19117,-0.16241
322,pastel_palettes,あこがれacross,0.01666,0.80105,1.23517,-1.22384,-0.22329,-0.01147
323,pastel_palettes,ハレハレ☆フォーチュン,0.26527,0.87807,1.77798,-0.92909,0.07106,-0.66730
324,pastel_palettes,ハナヒバナ,-0.07238,1.00422,1.56282,-1.73214,-0.73461,-0.36472
325,pastel_palettes,そばかす,0.47348,0.78405,1.83554,-0.71178,0.06017,0.76214
326,pastel_palettes,気まぐれロマンティック,-0.10634,0.87618,1.24579,-1.41477,0.17677,0.35401
327,pastel_palettes,ドリームパレード,0.53794,0.73211,1.65975,-0.56980,0.50458,0.45941
328,pastel_palettes,ラムのラブソング,0.20515,1.18486,2.58759,-1.30187,0.49644,0.52945
329,pastel_palettes,DANCE! おジャ魔女,0.21713,0.71561,1.32190,-0.70166,0.21469,0.42121
330,pastel_palettes,DISCOTHEQUE,0.39054,0.86230,1.88803,-0.90079,0.62836,0.06879
331,pastel_palettes,ゆりゆららららゆるゆり大事件,0.85893,0.95858,2.33496,-0.87881,0.78236,0.55813
332,pastel_palettes,SAKURAスキップ,0.37185,0.70921,1.59520,-0.54729,0.36694,0.50879
333,pastel_palettes,Stay Alive,-0.17818,0.89081,1.04374,-1.79291,-1.28378,0.22390
334,pastel_palettes,秘密の扉から会いにきて,0.74716,0.73717,1.97376,-0.24843,0.87244,0.82709
335,pastel_palettes,トリドリ＊パレット,0.17716,0.67107,1.30705,-0.63412,-0.03455,0.48226
336,pastel_palettes,ドラマチック！アライブ,0.59519,0.89072,2.11898,-0.62060,1.05047,0.61620
337,pastel_palettes,Radiate Warriors,0.28678,0.80386,1.64431,-0.71027,0.67953,0.61876
338,pastel_palettes,ReReReエボリューションず☆,0.28289,0.80560,1.65654,-0.85133,0.00120,0.21896
339,pastel_palettes,everyday flower,0.08116,0.78091,1.44404,-0.91116,0.26461,0.11428
340,pastel_palettes,With〜きみとわたしたちの物語〜,0.64111,0.84996,1.94190,-0.70337,-0.10078,1.00942
341,pastel_palettes,フレっとパレットFight Song!!,0.66697,0.80838,2.07645,-0.35821,0.89107,1.25153
342,pastel_palettes,デイオフ・ラフ・ラブ・サンクス,0.52585,0.98409,2.06834,-0.91404,-0.17656,0.02003
343,pastel_palettes,ホワイト ノスタルジア,-0.09575,0.79578,1.02002,-1.31181,-0.52618,-0.53890
344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),0.60583,0.72187,1.71440,-0.45928,1.04965,1.02536
345,pastel_palettes,奏（かなで） (Cover),-0.18132,1.30589,2.26259,-2.39551,-1.61673,-0.66762
346,pastel_palettes,Sparkling Daydream (Cover),0.43754,0.79934,1.61603,-0.90441,0.49774,0.62845
347,pastel_palettes,春を告げる (Cover),-0.09544,1.14250,1.76007,-2.12154,0.35788,-1.22409
348,pastel_palettes,だから、ひとりじゃない (Cover),0.27383,0.87627,1.79914,-1.00011,0.25517,0.73513
349,pastel_palettes,サインはB (Cover),0.62369,0.74474,1.94699,-0.37273,0.67338,0.93864
350,pastel_palettes,愛包ダンスホール (Cover),1.06939,0.90877,2.62976,-0.21588,1.02469,1.29204
351,pastel_palettes,最上級にかわいいの！ (Cover),0.06211,0.85351,1.40005,-1.10527,-0.03437,0.23388
352,pastel_palettes,♡桃色片想い♡ (Cover),0.53479,0.84759,1.90013,-0.53103,0.73505,0.75219
353,pastel_palettes,金曜日のおはよう (Cover),0.58714,0.84054,2.09552,-0.44201,1.18685,0.56679
354,pastel_palettes,魔法少女とチョコレゐト (Cover),0.58082,1.16883,3.00075,-0.79518,0.75266,0.71648
355,pastel_palettes,可愛くてごめん (Cover),0.21874,1.04422,2.05771,-1.21002,0.10031,0.84080
356,pastel_palettes,からくりピエロ (Cover),0.41902,1.11699,2.32759,-1.27927,-0.09032,-0.35945
357,pastel_palettes,みくみくにしてあげる♪【してやんよ】 (Cover),0.68064,0.95818,2.35063,-0.65944,0.72495,0.63714
358,pastel_palettes,ルカルカ★ナイトフィーバー (Cover),0.68939,0.80987,1.80831,-0.48890,0.98632,0.30716
359,pastel_palettes,アイドル (Cover),0.79106,1.05736,2.80260,-0.70900,1.01726,0.51296
360,pastel_palettes,secret base ～君がくれたもの～ (Cover),-0.57260,1.08257,0.94207,-2.42872,-1.49600,-1.00378
361,pastel_palettes,ふわふわ時間 (Cover),0.46250,0.94745,2.21567,-0.86978,0.35264,0.28674
362,pastel_palettes,Fantastic future (Cover),0.66334,0.94984,2.39797,-0.62208,0.96137,0.98283
363,pastel_palettes,Baby Sweet Berry Love (Cover),0.37681,0.82478,1.70231,-0.81247,0.42057,1.15314
364,pastel_palettes,Q＆A　リサイタル！ (Cover),0.66528,0.90131,2.29468,-0.74595,1.02237,1.07700
365,pastel_palettes,ヒトリゴト (Cover),0.39572,0.82244,1.79852,-0.81874,0.53398,0.46327
366,pastel_palettes,惑星ループ (Cover),0.28063,0.87337,1.78125,-0.88065,0.38761,0.43521
367,pastel_palettes,世界は恋に落ちている (Cover),0.75188,0.92381,2.43026,-0.67586,0.76324,1.22742
368,pastel_palettes,ハッピーシンセサイザ (Cover),0.99160,0.95814,2.66656,-0.32784,1.23494,1.39053
369,pastel_palettes,春擬き (Cover),0.13986,0.72278,1.41699,-0.72090,0.25022,0.19600
370,pastel_palettes,Make it! (Cover),0.64656,0.84500,2.05088,-0.58758,1.06586,0.82456
371,pastel_palettes,花ハ踊レヤいろはにほ (Cover),0.39292,0.85705,1.86136,-0.93640,-0.14800,0.55370
372,pastel_palettes,夜に駆ける (Cover),0.03196,0.86581,1.44145,-1.07857,-0.44781,0.03367
373,pastel_palettes,徒花ネクロマンシー (Cover),0.66048,0.74311,1.80352,-0.54925,0.39378,1.01987
374,pastel_palettes,ノスタルジックレインフォール (Cover),-0.06475,0.83741,1.28440,-1.29882,-0.27072,0.43680
375,poppin_party,Yes! BanG_Dream!,0.25500,0.90983,1.79311,-0.96883,0.57070,0.61981
376,poppin_party,STAR BEAT!～ホシノコドウ～,0.17530,0.91811,1.69937,-1.05197,-0.16734,-0.18378
377,poppin_party,走り始めたばかりのキミに,0.14190,1.02103,1.72522,-1.33004,0.01364,-0.32311
378,poppin_party,ティアドロップス,0.32724,0.91509,1.92401,-0.92814,-0.04851,0.53165
379,poppin_party,ときめきエクスペリエンス！,0.23064,0.89604,1.88230,-0.92371,0.31195,0.44563
380,poppin_party,キラキラだとか夢だとか ～Sing Girls～,0.03681,0.83889,1.46341,-1.12067,0.04053,-0.07972
381,poppin_party,私の心はチョココロネ,-0.21068,0.97534,1.51108,-1.57424,-0.95114,0.25276
382,poppin_party,前へススメ！,0.33397,0.94523,1.88360,-1.19016,-0.05499,0.30045
383,poppin_party,夢みるSunflower,0.17861,1.03215,1.72339,-1.37200,-0.46966,0.12564
384,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,-0.36894,1.24073,1.92298,-2.10854,-0.19182,-0.19429
385,poppin_party,走り始めたばかりのキミに ～Popipa Acoustic Ver.～,-0.30125,1.29498,2.41027,-2.03601,0.01419,-0.56078
386,poppin_party,Time Lapse,0.61794,1.01745,2.59191,-0.81842,0.90303,1.33688
387,poppin_party,八月のif,-0.00419,0.99756,1.72201,-1.36630,0.09675,-0.71801
388,poppin_party,クリスマスのうた,0.16747,0.90484,1.74647,-1.07501,0.08083,0.47524
389,poppin_party,B.O.F,0.27673,0.80521,1.60857,-0.66662,0.52324,1.03215
390,poppin_party,CiRCLING,0.19573,0.83603,1.58419,-0.97082,-0.59400,0.47278
391,poppin_party,二重の虹(ダブル レインボウ),0.09979,0.90366,1.54303,-1.39163,0.09570,0.28832
392,poppin_party,最高(さあ行こう)！,0.66475,0.83730,2.18949,-0.50301,0.75167,1.35088
393,poppin_party,ガールズコード,0.01272,0.85709,1.36444,-1.18135,0.32015,0.02738
394,poppin_party,Yes! BanG_Dream! ～Popipa Acoustic Ver.～,-0.18201,1.34163,2.55724,-1.87730,0.13770,-0.26676
395,poppin_party,夏空 SUN! SUN! SEVEN! ～Popipa Acoustic Ver.～,-0.06591,1.28267,2.48846,-1.52065,0.34108,0.85373
396,poppin_party,STAR BEAT!～ホシノコドウ～ ～Popipa Acoustic Ver.～,-0.30948,1.10514,1.98664,-1.62240,-0.43476,0.31453
397,poppin_party,Breakthrough!,0.20332,0.87109,1.59719,-0.90331,-0.80516,0.94286
398,poppin_party,NO GIRL NO CRY/Poppin'Party Ver.,0.25881,0.84781,1.59081,-0.85615,0.07025,-0.29742
399,poppin_party,イニシャル,0.15042,0.92586,1.89277,-1.06435,0.47377,0.53544
400,poppin_party,Hello! Wink!,0.44876,0.84482,1.75471,-0.78739,0.73957,0.68636
401,poppin_party,Step×Step!,-0.01473,1.05793,1.75200,-1.93352,-1.10187,-0.52573
402,poppin_party,Jumpin',-0.01223,0.89326,1.44207,-1.12978,-0.45805,0.18948
403,poppin_party,White Afternoon,-0.16034,1.01896,1.56725,-1.62578,-0.95829,-0.27386
404,poppin_party,キラキラスター！,0.01750,0.91661,1.53392,-1.23153,-0.25624,0.11401
405,poppin_party,Returns,-0.36491,0.94533,1.08497,-1.82056,-0.97690,-0.81484
406,poppin_party,Dreamers Go!,-0.01578,0.90626,1.54304,-1.28672,0.21137,-0.10020
407,poppin_party,キズナミュージック♪,-0.20974,0.83794,1.05535,-1.45503,-0.48151,-0.81624
408,poppin_party,ミライトレイン,-0.12278,0.90733,1.44558,-1.20483,-0.25223,0.31273
409,poppin_party,夢を撃ち抜く瞬間に！,0.00371,0.80419,1.34215,-1.06782,-0.34378,0.10101
410,poppin_party,ぽっぴん'しゃっふる,0.17299,0.84727,1.52959,-0.88554,0.60414,0.46071
411,poppin_party,夏空 SUN! SUN! SEVEN!,0.28390,0.89676,1.94587,-0.88410,0.47865,0.72904
412,poppin_party,1000回潤んだ空,-0.26327,1.02941,1.52415,-1.66777,-0.69423,0.06611
413,poppin_party,HAPPY HAPPY PARTY!,0.04375,0.90506,1.56145,-1.32736,-0.16124,-0.13115
414,poppin_party,夏のドーン！,0.71637,0.95871,2.35994,-0.59628,0.54419,1.21440
415,poppin_party,キミにもらったもの,-0.67126,1.24665,1.51141,-2.70520,-1.79642,-1.00751
416,poppin_party,Light Delight,-0.16155,1.00839,1.36102,-2.33476,-1.38839,-1.29424
417,poppin_party,切ないSandglass,-0.02462,1.08796,2.03968,-1.56190,-0.39253,-0.40424
418,poppin_party,Home Street,0.22749,1.05725,2.40493,-1.08591,0.56129,0.26105
419,poppin_party,What's the POPIPA!?,0.51391,0.90421,2.18245,-0.71691,0.32563,0.67719
420,poppin_party,SAKURA MEMORIES,0.01685,0.95083,1.60901,-1.29399,-0.36200,-0.19263
421,poppin_party,アニバーサリー,0.13741,0.83822,1.47670,-0.90183,0.23201,-0.18640
422,poppin_party,Tomorrow's Door,0.12036,0.89437,1.42045,-1.37176,-0.39242,-0.71145
423,poppin_party,イントロダクション,0.17949,0.92492,1.87457,-1.02766,0.33379,0.09501
424,poppin_party,TARINAI,0.43266,0.99452,2.27480,-0.83547,0.33753,0.53438
425,poppin_party,DOKI DOKI SCARY,0.41260,0.88096,1.91368,-0.82974,0.57052,0.32920
426,poppin_party,Photograph,0.05898,0.93600,1.49261,-1.33846,-0.71780,-0.14506
427,poppin_party,夏に閉じこめて,-0.17313,0.88573,1.33876,-1.21130,-0.36929,-0.26357
428,poppin_party,ぽっぴん'どりーむ！,0.22511,0.84977,1.66600,-0.92000,0.12985,0.42275
429,poppin_party,星の約束,0.07452,1.00340,1.72700,-1.44127,-0.08943,-1.45178
430,poppin_party,新しい季節に,0.00039,0.93909,1.80140,-1.12534,0.25362,0.21114
431,poppin_party,トレモロアイズ,0.31035,1.01728,2.13501,-1.20155,-0.69107,-0.26406
432,poppin_party,雨上がり、キミと,0.49579,0.91592,2.05518,-0.71717,0.30103,-0.15158
433,poppin_party,花咲く未来に,0.49408,0.83138,1.93810,-0.54239,0.52713,-0.00660
434,poppin_party,Live Beyond!!,0.17226,0.78031,1.41815,-0.82864,0.30910,0.25735
435,poppin_party,Sweets BAN!,0.22015,0.89749,1.86981,-0.92014,-0.07172,0.63104
436,poppin_party,キミが始まる！,0.13929,0.82856,1.59940,-0.85803,0.09992,0.49738
437,poppin_party,Moonlight Walk,0.21446,0.79206,1.54668,-0.79097,0.60435,0.49067
438,poppin_party,ここから先は歌にならない,0.22510,0.84551,1.64479,-0.95772,0.21751,0.50043
439,poppin_party,青春 To Be Continued,0.36264,0.91310,1.92907,-0.81523,0.37659,0.38994
440,poppin_party,Future Place,0.50361,0.89591,1.97928,-0.82924,0.23677,-0.16541
441,poppin_party,大好き！,0.02609,0.96607,1.47195,-2.13295,-1.39927,-0.55171
442,poppin_party,Five Letters,-0.11105,1.08598,1.74541,-1.89129,-0.63657,-0.87191
443,poppin_party,最強☆ソング,0.26461,0.99391,1.94713,-1.31705,0.17324,-0.23070
444,poppin_party,RiNG A BELL,0.32200,0.96224,2.04414,-0.99045,0.08979,-0.31864
445,poppin_party,Drive Your Heart,0.28360,0.79575,1.47550,-0.81914,0.12339,-0.20309
446,poppin_party,とっておきAnswer,0.16262,0.82839,1.55085,-0.87076,0.11375,0.29388
447,poppin_party,START!! True dreams,0.30407,0.96752,1.87335,-1.19321,0.46549,-0.89546
448,poppin_party,どきどきデエト,0.24191,0.88698,1.78041,-0.92796,0.23394,0.25744
449,poppin_party,チョコレイトの低音レシピ,0.16720,1.03991,1.98414,-1.23674,0.07346,0.89960
450,poppin_party,Chu Chueen!,0.49738,0.86470,1.96415,-0.51831,0.77787,0.84986
451,poppin_party,どきどきSING OUT!,-0.16464,0.79600,1.22569,-1.20741,-0.20172,-0.18712
452,poppin_party,Freedom,0.05864,0.92250,1.50214,-1.36823,0.19474,-0.86511
453,poppin_party,Game Changer,0.74079,0.94741,2.53072,-0.46476,0.90083,0.82141
454,poppin_party,花園電気ギター！！！,0.44611,0.94221,1.95717,-1.06329,0.17603,-0.01602
455,poppin_party,す、好きなんかじゃない！,-0.00515,0.74751,1.24908,-1.12796,-0.15490,-0.66427
456,poppin_party,遠い音楽 ～ハートビート～,0.07933,0.77997,1.33285,-1.01692,0.13180,-0.63225
457,poppin_party,ほな！,0.43923,0.98522,2.24191,-0.82326,0.42003,0.57257
458,poppin_party,世界中の青空をあつめて,0.59989,0.84932,2.01352,-0.45983,0.83012,0.37900
459,poppin_party,勇気Limit！,0.36517,0.93272,2.06173,-0.81762,0.35989,0.72467
460,poppin_party,開けたらDream!,0.24373,0.79176,1.56185,-0.78812,0.49686,0.68722
461,poppin_party,絆色のアンサンブル,0.32211,0.73990,1.56204,-0.66903,0.23006,0.09794
462,poppin_party,NO GIRL NO CRY (Poppin'Party Ver.),0.25881,0.84781,1.59081,-0.85615,0.07025,-0.29742
463,poppin_party,ちゅ、多様性。 (Cover),0.38105,0.84524,1.74228,-0.79182,0.30378,1.02690
464,poppin_party,フィクション (Cover),0.38656,0.94235,2.26633,-0.88146,0.29510,0.45259
465,poppin_party,幾億光年 (Cover),0.09826,0.88480,1.76320,-0.96080,0.34757,0.44373
466,poppin_party,心絵 (Cover),-0.21036,0.81974,1.07531,-1.31020,-0.29849,-0.87919
467,poppin_party,じょいふる (Cover),0.43014,0.89286,1.69723,-0.65371,0.45344,0.58502
468,poppin_party,MATSURI BAYASHI (Cover),0.34016,0.80608,1.61040,-0.75747,0.41137,0.57391
469,poppin_party,私は最強 (Cover),0.00919,0.74378,1.21803,-0.93938,-0.27955,0.27422
470,poppin_party,トウキョウ・シャンディ・ランデヴ (Cover),0.31170,1.00844,1.98708,-1.09752,0.13372,0.35015
471,poppin_party,夜行性ハイズ (Cover),-0.08577,1.03077,1.82058,-1.51057,-0.18726,0.48537
472,poppin_party,メランコリック (Cover),0.45368,0.84478,1.85115,-0.71961,0.79093,0.82329
473,poppin_party,怪獣の花唄 (Cover),0.22875,0.76324,1.38370,-0.96702,0.03834,0.52959
474,poppin_party,光るなら (Cover),0.02887,0.86474,1.37201,-1.26455,0.04391,-0.19997
475,poppin_party,ミュージック・アワー (Cover),0.22987,0.91935,1.76968,-1.07882,0.22940,-0.41073
476,poppin_party,only my railgun (Cover),0.57152,0.96513,2.20783,-0.77205,0.15242,0.48941
477,poppin_party,ロミオとシンデレラ (Cover),0.03901,0.86160,1.50159,-1.15830,-0.02155,0.60292
478,poppin_party,Daydream café (Cover),0.21970,1.00779,2.26290,-1.05328,0.38447,0.17567
479,poppin_party,君じゃなきゃダメみたい (Cover),0.68711,0.88795,2.23468,-0.63030,0.55565,0.70862
480,poppin_party,＊〜アスタリスク〜 (Cover),0.19660,0.93144,1.80969,-1.18877,0.06298,-0.17075
481,poppin_party,DAYS of DASH (Cover),-0.03328,0.74198,1.14383,-1.01262,0.08553,0.24551
482,poppin_party,檄！帝国華撃団 (Cover),0.49620,0.87330,2.04513,-0.62382,0.36920,1.23112
483,poppin_party,DAYS (Cover),0.03324,0.91234,1.39893,-1.21791,-0.74939,0.31040
484,poppin_party,ディスカバリー！ (Cover),0.26136,0.97148,1.90573,-1.35517,-0.02205,-0.32067
485,poppin_party,チェリボム (Cover),0.14785,0.81895,1.47927,-0.97430,-0.04679,0.16670
486,poppin_party,ヴァンパイア (Cover),0.17275,0.90606,1.74211,-1.04311,0.01849,0.50625
487,poppin_party,怪物 (Cover),-0.22805,0.95087,1.49292,-1.47944,-0.07657,-0.19304
488,poppin_party,大河よ共に泣いてくれ (Cover),0.30621,0.78910,1.57671,-0.80353,0.29526,0.60025
489,poppin_party,空色デイズ (Cover),0.37559,0.77566,1.60421,-0.74305,0.88288,0.13207
490,raise_a_suilen,Invincible Fighter,0.79770,0.85127,2.42483,-0.32864,0.88475,1.06086
491,raise_a_suilen,A DECLARATION OF ×××,1.17162,0.80331,2.54387,-0.01375,1.02130,1.39360
492,raise_a_suilen,SOUL SOLDIER,0.24743,0.85546,1.63556,-1.10362,-0.77522,0.64079
493,raise_a_suilen,UNSTOPPABLE,0.55414,0.75696,1.94355,-0.38827,0.94280,0.59745
494,raise_a_suilen,HELL! or HELL?,0.66647,0.79048,1.84876,-0.56661,0.73887,1.20368
495,raise_a_suilen,Beautiful Birthday,0.80143,0.84037,2.26603,-0.51860,0.33778,0.92184
496,raise_a_suilen,Takin’ my Heart,0.54458,0.99021,1.91308,-1.36454,-0.95467,-0.08474
497,raise_a_suilen,DRIVE US CRAZY,0.34835,0.85814,2.12665,-0.56916,0.25298,0.44336
498,raise_a_suilen,!NVADE SHOW!,0.55710,0.79996,2.05582,-0.34949,0.60962,1.02616
499,raise_a_suilen,REIGNING,0.23122,0.89007,1.54020,-1.19161,-0.08650,-0.11548
500,raise_a_suilen,EXPOSE ‘Burn out!!!’,0.82262,0.75875,2.13194,-0.09010,0.63100,0.99850
501,raise_a_suilen,R・I・O・T,0.67317,0.82198,1.92492,-0.43784,-0.00605,1.00084
502,raise_a_suilen,V.I.P MONSTER,0.41903,0.89125,1.63459,-0.55627,0.06109,0.41799
503,raise_a_suilen,mind of Prominence,0.58565,0.73913,1.81495,-0.31438,0.64217,0.81086
504,raise_a_suilen,Ray of hope,0.18670,1.08310,1.59752,-2.38402,-1.88728,0.75937
505,raise_a_suilen,EXIST,-0.09401,0.81822,1.06449,-1.46587,-0.79721,-0.58260
506,raise_a_suilen,Sacred world,0.62682,0.85467,1.96683,-0.69329,0.94575,0.41124
507,raise_a_suilen,-N-E-M-E-S-I-S-,0.28071,0.72847,1.44003,-0.81075,-0.33508,0.33106
508,raise_a_suilen,DANCING DARING,0.53826,0.73052,1.73955,-0.29983,0.86346,0.37896
509,raise_a_suilen,BATTLE CRY,0.37445,0.66135,1.39543,-0.42795,0.11239,0.58715
510,raise_a_suilen,Domination to world,0.55851,0.73393,1.73341,-0.48535,0.23974,0.77472
511,raise_a_suilen,THE WAY OF LIFE,0.52639,0.74907,1.48235,-0.68013,-0.23444,0.74746
512,raise_a_suilen,灼熱 Bonfire!,0.33412,0.78425,1.71391,-0.59014,0.43585,0.38927
513,raise_a_suilen,Repaint,0.06776,0.78751,1.31815,-0.96179,-0.21514,0.78378
514,raise_a_suilen,Life on the Lotus,0.36708,0.98076,1.81522,-1.45030,-0.53267,-0.76242
515,raise_a_suilen,CORUSCATE -DNA-,0.46700,0.66683,1.48748,-0.39462,0.61322,0.58531
516,raise_a_suilen,That Is How I Roll!,0.43524,0.69146,1.43562,-0.57053,0.43481,0.16297
517,raise_a_suilen,しゅわりん☆どり～みん,0.07170,0.73685,1.22999,-1.18814,-0.46885,-0.21829
518,raise_a_suilen,パスパレボリューションず☆,0.19603,0.72848,1.26980,-1.05196,-0.19736,-0.01672
519,raise_a_suilen,えがおのオーケストラっ！,-0.21148,0.88254,1.25805,-1.48888,-0.54672,-0.23448
520,raise_a_suilen,Don't be afraid!,0.31285,0.93043,1.75776,-1.29874,-0.62014,0.18860
521,raise_a_suilen,ゆら・ゆらRing-Dong-Dance,0.28692,0.82708,1.44251,-1.13350,-0.52231,0.52299
522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),0.32327,0.75138,1.47234,-0.89550,0.00585,-0.07323
523,raise_a_suilen,Scarlet Sky,0.44523,0.69757,1.51582,-0.62031,0.82271,0.04677
524,raise_a_suilen,ゴーカ！ごーかい！？ファントムシーフ！,0.24519,0.82039,1.55058,-1.09174,-0.39512,0.08678
525,raise_a_suilen,R・I・O・T,0.36493,0.89480,1.67669,-1.27121,-0.23643,-0.62730
526,raise_a_suilen,That Is How I Roll! (ライブ / アンコール),0.26382,0.81194,1.38174,-1.16391,-0.28164,-0.64615
527,raise_a_suilen,R･I･O･T (ライブ / アンコール),0.55114,0.92726,1.90648,-1.09621,-0.53706,0.67209
528,raise_a_suilen,Apocalypse,0.29564,0.87089,1.80296,-0.94956,0.58618,0.35119
529,raise_a_suilen,TWIN TALE,0.62151,0.65250,1.59922,-0.24912,0.57711,0.64379
530,raise_a_suilen,STRAY CERBERUS,0.64515,0.84746,2.03669,-0.65198,0.16484,0.34897
531,raise_a_suilen,BERSER-KEY,0.09105,0.77633,1.27947,-1.15217,-0.73940,0.22277
532,raise_a_suilen,POLARIS,0.28579,0.73777,1.56527,-0.70947,0.03637,-0.13567
533,raise_a_suilen,HOWLING AMBITION,0.88654,0.70887,2.18149,0.06254,1.13385,1.12697
534,raise_a_suilen,VIVID FIRST TIME,0.57353,0.65621,1.56461,-0.12937,0.59972,0.85322
