axis,n_variants,pairwise_min,pairwise_mean,pairwise_max,vs_full_min,vs_full_mean,stable
lyr_valence,10,0.9689,0.9882,0.9973,0.9889,0.9947,True
lyr_arousal,10,0.8998,0.9497,0.9745,0.9601,0.9771,False
