tag,idx,band,song,intensity,intensity_pct,brightness_pct,tempo_pct,shape
afterglow__000,0,afterglow,ON YOUR MARK,0.5840911742938696,0.5287443267776096,0.916036308623298,0.5052950075642966,neutral
afterglow__001,1,afterglow,That Is How I Roll!,0.86559966206394,0.916036308623298,0.6255673222390318,0.3668683812405446,bright
afterglow__002,2,afterglow,SENSENFUKOKU,0.5827579326754105,0.5242057488653555,0.5030257186081695,0.7708018154311649,neutral
afterglow__003,3,afterglow,I knew it!,0.4823064001999403,0.3698940998487141,0.9236006051437217,0.094553706505295,acoustic
afterglow__004,4,afterglow,ツナグ、ソラモヨウ,0.4402275443003447,0.3154311649016641,0.8948562783661119,0.046142208774583963,shimmer
afterglow__005,5,afterglow,Hey-day狂騒曲(カプリチオ),0.8748246770940797,0.9236006051437217,0.3260211800302572,0.9712556732223904,bright
afterglow__006,6,afterglow,"Easy come, Easy go!",0.4415141848278688,0.31694402420574885,0.9886535552193646,0.7708018154311649,neutral
afterglow__007,7,afterglow,Sasanqua,0.43852736720297775,0.3124054462934947,0.9856278366111951,0.094553706505295,acoustic
afterglow__008,8,afterglow,RED RED RED,0.43912126432696796,0.31391830559757944,0.6391830559757943,0.5052950075642966,neutral
afterglow__009,9,afterglow,ONE OF US,0.7236834827502384,0.7526475037821483,0.012859304084720122,0.14296520423600606,neutral
afterglow__010,10,afterglow,Y.O.L.O!!!!!,0.881081809688529,0.9311649016641452,0.41074130105900153,0.14296520423600606,bright
afterglow__011,11,afterglow,Scarlet Sky,0.6958473556022097,0.7148260211800302,0.8161875945537065,0.5052950075642966,neutral
afterglow__012,12,afterglow,Off we go.,0.1915954403692438,0.06429652042360061,0.7995461422087746,0.3668683812405446,shimmer
afterglow__013,13,afterglow,いつも通りのBrand new days,0.5785051980698274,0.5151285930408472,0.9205748865355522,0.6505295007564297,shimmer
afterglow__014,14,afterglow,SWITCH ON NOW,0.6674918463553386,0.6664145234493192,0.4092284417549168,0.7708018154311649,bright
afterglow__015,15,afterglow,ランブリングメモリー,0.39560064530511946,0.26248108925869895,0.8963691376701967,0.5052950075642966,bright
afterglow__016,16,afterglow,COMIC PANIC!!!,0.7967779609483001,0.8479576399394856,0.8479576399394856,0.14296520423600606,neutral
afterglow__017,17,afterglow,Trouble Joyful!!,0.5189610175532938,0.4198184568835098,0.6724659606656581,0.046142208774583963,neutral
afterglow__018,18,afterglow,Jamboree!Journey!,0.5367973055123548,0.45310136157337366,0.8691376701966718,0.9258698940998488,neutral
afterglow__019,19,afterglow,カナユメ,0.15560262668203204,0.038577912254160365,0.813161875945537,0.5052950075642966,acoustic
afterglow__020,20,afterglow,独創収差,0.1689263480670584,0.05219364599092285,0.9508320726172466,0.5052950075642966,acoustic
afterglow__021,21,afterglow,極彩色,0.5419995094508739,0.462178517397882,0.9568835098335855,0.5052950075642966,neutral
afterglow__022,22,afterglow,サクラゼンセン,0.24865414550340212,0.09757942511346444,0.0022692889561270802,0.8585476550680786,neutral
afterglow__023,23,afterglow,True color,0.3322741808924981,0.18078668683812404,0.613464447806354,0.1800302571860817,acoustic
afterglow__024,24,afterglow,Crow Song,0.7709511520871742,0.8101361573373677,0.516641452344932,0.3668683812405446,bright
afterglow__025,25,afterglow,カサブタ,0.5359033522333885,0.451588502269289,0.6633888048411498,0.2503782148260212,acoustic
afterglow__026,26,afterglow,アイのシナリオ,0.547819643483057,0.47276853252647505,0.8857791225416036,0.3668683812405446,neutral
afterglow__027,27,afterglow,Northern lights,0.2888671941141155,0.13993948562783662,0.02042360060514372,0.7708018154311649,neutral
afterglow__028,28,afterglow,トーキョーワンダー。,0.30371357177236014,0.15658093797276854,0.4606656580937973,0.7708018154311649,shimmer
afterglow__029,29,afterglow,Reach Out To The Truth,0.7353101037299827,0.7723146747352496,0.2065052950075643,0.2503782148260212,bright
afterglow__030,30,afterglow,Listen!!,0.5567663060185634,0.4803328290468986,0.6966717095310136,0.3668683812405446,shimmer
afterglow__031,31,afterglow,青い栞,0.055021396719975794,0.014372163388804841,0.9372163388804842,0.6505295007564297,acoustic
afterglow__032,32,afterglow,イマジネーション,0.6119809410696542,0.5801815431164902,0.39334341906202724,0.7708018154311649,neutral
afterglow__033,33,afterglow,Butter-Fly,0.7911696956997756,0.8434190620272315,0.5741301059001512,0.2503782148260212,bright
afterglow__034,34,afterglow,燦々,0.639715914779253,0.624054462934947,0.6906202723146747,0.094553706505295,neutral
afterglow__035,35,afterglow,That's why I'm here.,0.44421491437541694,0.32299546142208774,0.5363086232980333,0.5052950075642966,shimmer
afterglow__036,36,afterglow,IGNITE GLOW,0.4737040785552224,0.35325264750378216,0.06278366111951589,0.6505295007564297,shimmer
afterglow__037,37,afterglow,ペトリコール・オベーション,0.4053925307334604,0.2670196671709531,0.5211800302571861,0.5052950075642966,shimmer
afterglow__038,38,afterglow,Made My Day,0.3672498786054041,0.2201210287443268,0.9977307110438729,0.6505295007564297,neutral
afterglow__039,39,afterglow,Glowing After,0.5265698669507128,0.43645990922844174,0.2231467473524962,0.094553706505295,shimmer
afterglow__040,40,afterglow,A Sunset So Bright,0.6224336517398539,0.5907715582450832,0.30030257186081694,0.6505295007564297,acoustic
afterglow__041,41,afterglow,Start as Usual,0.6396041106880891,0.6225416036308623,0.6497730711043873,0.3668683812405446,acoustic
afterglow__042,42,afterglow,“Say cheese!!!!!”,0.5910939305250863,0.537821482602118,0.7072617246596067,0.3668683812405446,acoustic
afterglow__043,43,afterglow,花笑みのデュオ,0.6781932999539,0.6815431164901664,0.4697428139183056,0.094553706505295,neutral
afterglow__044,44,afterglow,READY STEADY GO (Cover),0.7444235439847497,0.7844175491679274,0.93267776096823,0.8585476550680786,bright
afterglow__045,45,afterglow,abnormalize (Cover),0.3374010890431974,0.18683812405446293,0.0037821482602118004,0.3668683812405446,shimmer
