idx,band,song,duration_sec,speech_median,speech_p10,speech_p90,speech_std,n_frames,error,vad_speech_ratio,vad_n_frames,vad_error
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,,,,,,,no_stem,,,
81,ave_mujica,Choir ‘S’ Choir,,,,,,,no_stem,,,
82,ave_mujica,神さま、バカ,,,,,,,no_stem,,,
83,ave_mujica,Mas?uerade Rhapsody Re?uest,,,,,,,no_stem,,,
84,ave_mujica,Ave Mujica,,,,,,,no_stem,,,
85,ave_mujica,Symbol I : △,,,,,,,no_stem,,,
86,ave_mujica,Symbol II : Air,,,,,,,no_stem,,,
87,ave_mujica,Symbol III : ▽,,,,,,,no_stem,,,
88,ave_mujica,Symbol IV : Earth,,,,,,,no_stem,,,
89,ave_mujica,Ether,,,,,,,no_stem,,,
90,ave_mujica,The Whole Blue World,,,,,,,no_stem,,,
91,ave_mujica,in your blue eyes,,,,,,,no_stem,,,
92,ave_mujica,素晴らしき世界 でも どこにもない場所,,,,,,,no_stem,,,
93,ave_mujica,Angles,,,,,,,no_stem,,,
94,ave_mujica,DIVINE,,,,,,,no_stem,,,
95,ave_mujica,Sophie,,,,,,,no_stem,,,
96,ave_mujica,‘S/’ The Way,,,,,,,no_stem,,,
97,ave_mujica,碧い瞳の中に,,,,,,,no_stem,,,
98,ave_mujica,堕天 (Cover),,,,,,,no_stem,,,
99,ave_mujica,KINGS (Cover),,,,,,,no_stem,,,
100,ave_mujica,暗黒天国 (Cover),,,,,,,no_stem,,,
101,various_artists,Don't be afraid!,,,,,,,no_stem,,,
102,various_artists,Glee! Glee! Glee!,,,,,,,no_stem,,,
103,various_artists,"Be shine, shining!",,,,,,,no_stem,,,
104,various_artists,"Here, the world",,,,,,,no_stem,,,
105,various_artists,CiRCLE THANKS MUSiC♪,,,,,,,no_stem,,,
106,hello_happy_world,キミがいなくちゃっ！,243.76897959183674,0.08195338398218155,0.008379905484616756,0.27558445930480957,0.10681069642305374,486,,,,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.43333333333334,0.07374787330627441,0.009040170349180698,0.30192819237709045,0.1227165162563324,543,,,,
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.96666666666664,0.05547010898590088,0.006804137025028467,0.21256600320339203,0.08457771688699722,542,,,,
109,hello_happy_world,えがお･シング･あ･ソング,,,,,,,no_stem,,,
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,,,,,,,no_stem,,,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,,,,,,,no_stem,,,
112,hello_happy_world,ないすみちゅっ！,,,,,,,no_stem,,,
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,,,,,,,no_stem,,,
114,hello_happy_world,うぃーきゃん☆フレフレっ！,,,,,,,no_stem,,,
115,hello_happy_world,えがおのオーケストラっ！,,,,,,,no_stem,,,
116,hello_happy_world,にこにこねくと！,,,,,,,no_stem,,,
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,,,,,,,no_stem,,,
118,hello_happy_world,せかいのっびのびトレジャー！,,,,,,,no_stem,,,
119,hello_happy_world,きらっ☆と キミフェス！,,,,,,,no_stem,,,
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,,,,,,,no_stem,,,
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,,,,,,,no_stem,,,
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,,,,,,,no_stem,,,
123,hello_happy_world,Happy! Happier! Happiest!,,,,,,,no_stem,,,
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,,,,,,,no_stem,,,
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,,,,,,,no_stem,,,
126,hello_happy_world,おもいでイルミネーション,,,,,,,no_stem,,,
127,hello_happy_world,おもいやりハーモニー,,,,,,,no_stem,,,
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,,,,,,,no_stem,,,
129,hello_happy_world,えがお、あーゆーれでぃ???,,,,,,,no_stem,,,
130,hello_happy_world,ハッピーサマーウェディング,,,,,,,no_stem,,,
131,hello_happy_world,ひまわりの約束,,,,,,,no_stem,,,
132,hello_happy_world,ハッピー☆マテリアル,,,,,,,no_stem,,,
133,hello_happy_world,太陽曰く燃えよカオス,,,,,,,no_stem,,,
134,hello_happy_world,エクストラ・マジック・アワー,,,,,,,no_stem,,,
135,hello_happy_world,コレカラ,,,,,,,no_stem,,,
136,hello_happy_world,全力少年,,,,,,,no_stem,,,
137,hello_happy_world,オレンジ,,,,,,,no_stem,,,
138,hello_happy_world,Happy Girl,,,,,,,no_stem,,,
139,hello_happy_world,ン・パカマーチ,,,,,,,no_stem,,,
140,hello_happy_world,サンバロハッピ〜！,,,,,,,no_stem,,,
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,,,,,,,no_stem,,,
142,hello_happy_world,むすんでわらって,,,,,,,no_stem,,,
143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,,,,,,,no_stem,,,
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,,,,,,,no_stem,,,
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,,,,,,,no_stem,,,
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,,,,,,,no_stem,,,
147,hello_happy_world,とーくとぅみー・とーくとぅゆー,,,,,,,no_stem,,,
148,hello_happy_world,ハイタッチ／＼びりーばーず☆,,,,,,,no_stem,,,
149,hello_happy_world,Listen to Smile!,,,,,,,no_stem,,,
150,hello_happy_world,スマイリーキャロル,,,,,,,no_stem,,,
151,hello_happy_world,えがお、み〜っけた！,,,,,,,no_stem,,,
152,hello_happy_world,上海ハニー (Cover),,,,,,,no_stem,,,
153,hello_happy_world,シル・ヴ・プレジデント (Cover),,,,,,,no_stem,,,
154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),,,,,,,no_stem,,,
155,hello_happy_world,はいよろこんで (Cover),,,,,,,no_stem,,,
156,hello_happy_world,シカ色デイズ (Cover),,,,,,,no_stem,,,
157,hello_happy_world,強風オールバック (Cover),,,,,,,no_stem,,,
158,hello_happy_world,最高到達点 (Cover),,,,,,,no_stem,,,
159,hello_happy_world,許婚っきゅん (Cover),,,,,,,no_stem,,,
160,hello_happy_world,新宝島 (Cover),,,,,,,no_stem,,,
161,hello_happy_world,ドレミファロンド (Cover),,,,,,,no_stem,,,
162,hello_happy_world,きゅうくらりん (Cover),,,,,,,no_stem,,,
163,hello_happy_world,ロメオ (Cover),,,,,,,no_stem,,,
164,hello_happy_world,エイリアンエイリアン (Cover),,,,,,,no_stem,,,
165,hello_happy_world,いーあるふぁんくらぶ (Cover),,,,,,,no_stem,,,
166,hello_happy_world,回レ！雪月花 (Cover),,,,,,,no_stem,,,
167,hello_happy_world,恋愛裁判 (Cover),,,,,,,no_stem,,,
168,hello_happy_world,TOMORROW (Cover),,,,,,,no_stem,,,
169,hello_happy_world,GO! GO! MANIAC (Cover),,,,,,,no_stem,,,
170,hello_happy_world,Dragon Night (Cover),,,,,,,no_stem,,,
171,hello_happy_world,ようこそジャパリパークへ (Cover),,,,,,,no_stem,,,
172,hello_happy_world,ウィーアー！ (Cover),,,,,,,no_stem,,,
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),,,,,,,no_stem,,,
174,hello_happy_world,ダーリンダンス (Cover),,,,,,,no_stem,,,
175,hello_happy_world,ノーポイッ！ (Cover),,,,,,,no_stem,,,
176,hello_happy_world,SHINY DAYS (Cover),,,,,,,no_stem,,,
177,hello_happy_world,シルエット (Cover),,,,,,,no_stem,,,
178,ikka_dumb_rock,ホーミー・タイッ！！,,,,,,,no_stem,,,
179,millsage,起死開戦,,,,,,,no_stem,,,
180,morfonica,Daylight -デイライト-,357.2854875283447,0.05575266107916832,0.008881734684109688,0.2064274102449417,0.08758880943059921,713,,,,
181,morfonica,メランコリックララバイ,216.06666666666666,0.0850066989660263,0.01515203807502985,0.22788481414318085,0.08896097540855408,431,,,,
182,morfonica,flame of hope,252.9356462585034,0.05554480850696564,0.010186626575887203,0.19577793776988983,0.07401072978973389,504,,,,
183,morfonica,ブルームブルーム,,,,,,,no_stem,,,
184,morfonica,カラフルリバティー,,,,,,,no_stem,,,
185,morfonica,fly with the night,,,,,,,no_stem,,,
186,morfonica,金色へのプレリュード,,,,,,,no_stem,,,
187,morfonica,The Circle Of Butterflies,,,,,,,no_stem,,,
188,morfonica,ハーモニー・デイ,,,,,,,no_stem,,,
189,morfonica,Sweet Cheers!,,,,,,,no_stem,,,
190,morfonica,"寄る辺のSunny, Sunny",,,,,,,no_stem,,,
191,morfonica,誓いのWingbeat,,,,,,,no_stem,,,
192,morfonica,Ever Sky Blue,,,,,,,no_stem,,,
193,morfonica,Polyphonyscape,,,,,,,no_stem,,,
194,morfonica,Wreath of Brave,,,,,,,no_stem,,,
195,morfonica,Merry Merry Thanks!!,,,,,,,no_stem,,,
196,morfonica,Sonorous,,,,,,,no_stem,,,
197,morfonica,両翼のBrilliance,,,,,,,no_stem,,,
198,morfonica,Steer to Utopia,,,,,,,no_stem,,,
199,morfonica,Fateful...,,,,,,,no_stem,,,
200,morfonica,ティリカモニカリラ,,,,,,,no_stem,,,
201,morfonica,Secret Dawn,,,,,,,no_stem,,,
202,morfonica,Angel's Ladder,,,,,,,no_stem,,,
203,morfonica,One step at a time,,,,,,,no_stem,,,
204,morfonica,Tempest,,,,,,,no_stem,,,
205,morfonica,フレージング ミラージュ,,,,,,,no_stem,,,
206,morfonica,MUGEN Reverberate!,,,,,,,no_stem,,,
207,morfonica,わたしまちがいさがし,,,,,,,no_stem,,,
208,morfonica,esora no clover,,,,,,,no_stem,,,
209,morfonica,きょうもMerry go rounD,,,,,,,no_stem,,,
210,morfonica,Feathered Dreams,,,,,,,no_stem,,,
211,morfonica,Portray Empathy,,,,,,,no_stem,,,
212,morfonica,ビューティ・フォー,,,,,,,no_stem,,,
213,morfonica,胡蝶翔る星月夜,,,,,,,no_stem,,,
214,morfonica,Color of Us,,,,,,,no_stem,,,
215,morfonica,Resonant Strings,,,,,,,no_stem,,,
216,morfonica,Shining Leaves,,,,,,,no_stem,,,
217,morfonica,音がえしのセレナーデ,,,,,,,no_stem,,,
218,morfonica,蒼穹へのトレイル,,,,,,,no_stem,,,
219,morfonica,QUEEN (Cover),,,,,,,no_stem,,,
220,morfonica,again (Cover),,,,,,,no_stem,,,
221,morfonica,輪舞-revolution (Cover),,,,,,,no_stem,,,
222,morfonica,メロウ (Cover),,,,,,,no_stem,,,
