idx,band,song,m1-duration_sec,m1-bpm_madmom,m1-beat_count,expected_beat_count,diff_beat_count,abs_diff_beat_count
0,afterglow,ON YOUR MARK,241.35,187.49999999999568,745.0,754.2187499999826,-9.218749999982606,9.218749999982606
1,afterglow,That Is How I Roll!,239.31,181.8181818181749,720.0,725.1818181817906,-5.181818181790618,5.181818181790618
2,afterglow,SENSENFUKOKU,246.27,200.0000000000007,821.0,820.9000000000029,0.09999999999706688,0.09999999999706688
3,afterglow,I knew it!,291.03,199.99999999999952,970.0,970.0999999999975,-0.09999999999752163,0.09999999999752163
4,afterglow,ツナグ、ソラモヨウ,248.73,193.5483870967728,796.0,802.3548387096718,-6.354838709671753,6.354838709671753
5,afterglow,Hey-day狂騒曲(カプリチオ),233.42,157.89473684210716,616.0,614.2631578947442,1.736842105255846,1.736842105255846
6,afterglow,"Easy come, Easy go!",243.39,136.36363636363706,677.0,553.1590909090937,123.84090909090628,123.84090909090628
7,afterglow,Sasanqua,236.61,199.9999999999924,781.0,788.6999999999701,-7.699999999970146,7.699999999970146
8,afterglow,RED RED RED,224.08,187.500000000004,703.0,700.250000000015,2.7499999999849933,2.7499999999849933
9,afterglow,ONE OF US,282.0,206.8965517241436,986.0,972.4137931034749,13.586206896525141,13.586206896525141
10,afterglow,Y.O.L.O!!!!!,270.64,206.8965517241436,935.0,933.2413793103702,1.7586206896297654,1.7586206896297654
11,afterglow,Scarlet Sky,228.85,181.8181818181749,688.0,693.4848484848221,-5.484848484822123,5.484848484822123
12,afterglow,Off we go.,251.64,181.8181818181749,757.0,762.5454545454255,-5.545454545425514,5.545454545425514
13,afterglow,いつも通りのBrand new days,237.08,193.5483870967728,759.0,764.7741935483816,-5.774193548381618,5.774193548381618
14,afterglow,SWITCH ON NOW,207.03,200.0000000000007,688.0,690.1000000000024,-2.10000000000241,2.10000000000241
15,afterglow,ランブリングメモリー,324.56,125.0000000000008,682.0,676.1666666666711,5.833333333328937,5.833333333328937
16,afterglow,COMIC PANIC!!!,280.31,206.8965517241436,980.0,966.5862068965781,13.413793103421881,13.413793103421881
