idx,official_bpm,ratio,octave_class,m1-bpm_madmom,m1-tempo_category,official_category,category_flipped
435,156.0,1.0121457489878285,,157.89473684210125,medium,medium,False
437,190.0,0.986842105263179,,187.500000000004,fast,fast,False
438,190.0,0.986842105263179,,187.500000000004,fast,fast,False
439,134.0,1.4443909484833888,,193.5483870967741,fast,medium,True
440,183.0,0.9935419771485396,,181.81818181818275,fast,fast,False
441,165.0,1.0101010101009718,,166.66666666666035,fast,fast,False
442,128.0,0.9973404255319172,,127.6595744680854,medium,medium,False
443,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
444,182.0,0.999000999001004,,181.81818181818275,fast,fast,False
445,150.0,1.0256410256410615,,153.84615384615924,medium,medium,False
446,192.0,1.0080645161290251,,193.5483870967728,fast,fast,False
447,178.0,0.9914077990746968,,176.47058823529605,fast,fast,False
448,186.0,1.0080645161290314,,187.49999999999983,fast,fast,False
449,96.0,1.9531250000000415,double(2x),187.500000000004,fast,medium,True
450,210.0,0.9852216748768502,,206.89655172413853,fast,boost,True
451,194.0,0.9976720984369732,,193.5483870967728,fast,fast,False
452,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
453,198.0,1.010101010100996,,199.9999999999972,fast,fast,False
454,188.0,0.9973404255319362,,187.500000000004,fast,fast,False
455,166.0,1.0040160642570295,,166.66666666666694,fast,fast,False
456,168.0,0.9920634920634936,,166.66666666666694,fast,fast,False
457,186.0,1.0080645161290314,,187.49999999999983,fast,fast,False
458,194.0,0.9976720984369732,,193.5483870967728,fast,fast,False
459,224.0,0.9920634920634545,,222.2222222222138,boost,boost,False
460,140.0,0.9966777408637716,,139.534883720928,medium,medium,False
461,189.0,0.9920634920635132,,187.500000000004,fast,fast,False
462,190.0,0.986842105263179,,187.500000000004,fast,fast,False
463,153.0,1.0055304172951216,,153.8461538461536,medium,medium,False
464,246.0,0.4977600796416179,half(0.5x),122.448979591838,medium,boost,True
465,95.5,1.0133423408208,,96.7741935483864,medium,medium,False
466,190.0,0.501253132832081,half(0.5x),95.23809523809538,medium,fast,True
467,159.0,0.9930486593843216,,157.89473684210716,medium,medium,False
468,153.0,1.0055304172951216,,153.8461538461536,medium,medium,False
469,192.0,1.0080645161290251,,193.5483870967728,fast,fast,False
470,137.0,0.9953550099535552,,136.36363636363706,medium,medium,False
471,132.0,1.0101010101009718,,133.33333333332828,medium,medium,False
472,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
473,150.0,0.9999999999999858,,149.99999999999787,medium,medium,False
474,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
475,135.0,1.0101010101009502,,136.36363636362827,medium,medium,False
476,143.0,0.9990009990009948,,142.85714285714226,medium,medium,False
477,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
478,150.0,0.9999999999999858,,149.99999999999787,medium,medium,False
479,131.0,0.9956853634251568,,130.43478260869554,medium,medium,False
480,128.0,0.9973404255319172,,127.6595744680854,medium,medium,False
481,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
482,143.0,0.9990009990009948,,142.85714285714226,medium,medium,False
483,135.0,1.0101010101009826,,136.36363636363265,medium,medium,False
484,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
485,190.0,0.986842105263179,,187.500000000004,fast,fast,False
486,164.0,0.9887936717205268,,162.1621621621664,fast,fast,False
487,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
488,174.0,1.0141987829614505,,176.47058823529235,fast,fast,False
489,174.0,1.0141987829614505,,176.47058823529235,fast,fast,False
490,197.0,1.0152284263959006,,199.9999999999924,fast,fast,False
491,150.0,0.9999999999999858,,149.99999999999787,medium,medium,False
492,192.0,1.0080645161290251,,193.5483870967728,fast,fast,False
493,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
494,197.0,1.0152284263959006,,199.9999999999924,fast,fast,False
495,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
496,92.0,1.9762845849803323,double(2x),181.8181818181906,fast,medium,True
497,210.0,0.5012531328320801,half(0.5x),105.2631578947368,medium,boost,True
498,169.0,1.01437024513941,,171.4285714285603,fast,fast,False
499,182.0,0.999000999001004,,181.81818181818275,fast,fast,False
500,190.0,0.986842105263179,,187.500000000004,fast,fast,False
501,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
502,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
503,188.0,0.9973404255319362,,187.500000000004,fast,fast,False
504,127.0,1.005193499748704,,127.6595744680854,medium,medium,False
505,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
506,142.0,1.006036217303785,,142.85714285713743,medium,medium,False
507,145.0,1.009251471825054,,146.34146341463284,medium,medium,False
