variant,query_id,trial,category,parse_success,shape_match,peak_position_match,magnitude_sanity,query_score
candidate_B,A3,1,A,True,1.0,,1.0,1.0
candidate_B,A3,2,A,True,1.0,,1.0,1.0
candidate_B,A3,3,A,True,1.0,,1.0,1.0
candidate_B,A3,4,A,True,1.0,,1.0,1.0
candidate_B,B1,0,B,True,1.0,1.0,1.0,1.0
candidate_B,B1,1,B,True,1.0,1.0,1.0,1.0
candidate_B,B1,2,B,True,1.0,1.0,1.0,1.0
candidate_B,B1,3,B,True,1.0,1.0,1.0,1.0
candidate_B,B1,4,B,True,1.0,1.0,1.0,1.0
candidate_B,B2,0,B,True,1.0,0.5,1.0,0.8333333333333334
candidate_B,B2,1,B,True,1.0,0.5,1.0,0.8333333333333334
candidate_B,B2,2,B,True,1.0,1.0,1.0,1.0
candidate_B,B2,3,B,True,1.0,0.5,1.0,0.8333333333333334
candidate_B,B2,4,B,True,1.0,0.5,1.0,0.8333333333333334
candidate_B,B3,0,B,True,1.0,1.0,1.0,1.0
candidate_B,B3,1,B,True,1.0,1.0,1.0,1.0
candidate_B,B3,2,B,True,1.0,1.0,1.0,1.0
candidate_B,B3,3,B,True,1.0,1.0,1.0,1.0
candidate_B,B3,4,B,True,1.0,1.0,1.0,1.0
candidate_B,C1,0,C,True,1.0,,1.0,1.0
candidate_B,C1,1,C,True,1.0,,1.0,1.0
candidate_B,C1,2,C,True,1.0,,1.0,1.0
candidate_B,C1,3,C,True,1.0,,1.0,1.0
candidate_B,C1,4,C,True,1.0,,1.0,1.0
candidate_B,C2,0,C,True,0.0,,1.0,0.5
candidate_B,C2,1,C,True,0.0,,1.0,0.5
candidate_B,C2,2,C,True,0.0,,1.0,0.5
candidate_B,C2,3,C,True,0.0,,1.0,0.5
candidate_B,C2,4,C,True,0.0,,1.0,0.5
candidate_B,C3,0,C,True,1.0,,1.0,1.0
candidate_B,C3,1,C,True,1.0,,1.0,1.0
candidate_B,C3,2,C,True,1.0,,1.0,1.0
candidate_B,C3,3,C,True,1.0,,1.0,1.0
candidate_B,C3,4,C,True,1.0,,1.0,1.0
candidate_B,D1,0,D,True,0.0,,1.0,0.5
candidate_B,D1,1,D,True,0.0,,0.0,0.0
candidate_B,D1,2,D,True,1.0,,1.0,1.0
candidate_B,D1,3,D,True,0.0,,1.0,0.5
candidate_B,D1,4,D,True,1.0,,1.0,1.0
candidate_AB,A1,0,A,True,1.0,,1.0,1.0
candidate_AB,A1,1,A,True,1.0,,1.0,1.0
candidate_AB,A1,2,A,True,1.0,,1.0,1.0
candidate_AB,A1,3,A,True,1.0,,1.0,1.0
candidate_AB,A1,4,A,True,1.0,,1.0,1.0
candidate_AB,A2,0,A,True,1.0,,1.0,1.0
candidate_AB,A2,1,A,True,1.0,,1.0,1.0
candidate_AB,A2,2,A,True,1.0,,1.0,1.0
candidate_AB,A2,3,A,True,1.0,,1.0,1.0
candidate_AB,A2,4,A,True,1.0,,1.0,1.0
candidate_AB,A3,0,A,True,1.0,,1.0,1.0
candidate_AB,A3,1,A,True,1.0,,1.0,1.0
candidate_AB,A3,2,A,True,1.0,,1.0,1.0
candidate_AB,A3,3,A,True,1.0,,1.0,1.0
candidate_AB,A3,4,A,True,1.0,,1.0,1.0
candidate_AB,B1,0,B,True,1.0,1.0,1.0,1.0
candidate_AB,B1,1,B,True,1.0,1.0,1.0,1.0
candidate_AB,B1,2,B,True,1.0,1.0,1.0,1.0
candidate_AB,B1,3,B,True,1.0,0.5,1.0,0.8333333333333334
candidate_AB,B1,4,B,True,0.0,0.5,1.0,0.5
candidate_AB,B2,0,B,True,0.0,0.0,1.0,0.3333333333333333
candidate_AB,B2,1,B,True,0.0,0.0,1.0,0.3333333333333333
candidate_AB,B2,2,B,True,0.0,0.0,1.0,0.3333333333333333
candidate_AB,B2,3,B,True,0.0,0.0,1.0,0.3333333333333333
candidate_AB,B2,4,B,True,0.0,0.0,0.0,0.0
candidate_AB,B3,0,B,True,1.0,1.0,1.0,1.0
candidate_AB,B3,1,B,True,1.0,1.0,1.0,1.0
candidate_AB,B3,2,B,True,0.0,0.0,0.0,0.0
candidate_AB,B3,3,B,True,1.0,1.0,1.0,1.0
candidate_AB,B3,4,B,True,1.0,1.0,1.0,1.0
candidate_AB,C1,0,C,True,1.0,,1.0,1.0
candidate_AB,C1,1,C,True,1.0,,1.0,1.0
candidate_AB,C1,2,C,True,1.0,,1.0,1.0
candidate_AB,C1,3,C,True,1.0,,1.0,1.0
candidate_AB,C1,4,C,True,1.0,,1.0,1.0
candidate_AB,C2,0,C,True,0.0,,1.0,0.5
candidate_AB,C2,1,C,True,0.0,,1.0,0.5
candidate_AB,C2,2,C,True,0.0,,1.0,0.5
candidate_AB,C2,3,C,True,0.0,,1.0,0.5
candidate_AB,C2,4,C,True,1.0,,1.0,1.0
candidate_AB,C3,0,C,True,1.0,,1.0,1.0
candidate_AB,C3,1,C,True,1.0,,1.0,1.0
candidate_AB,C3,2,C,True,1.0,,1.0,1.0
candidate_AB,C3,3,C,True,1.0,,1.0,1.0
candidate_AB,C3,4,C,True,1.0,,1.0,1.0
candidate_AB,D1,0,D,True,1.0,,1.0,1.0
candidate_AB,D1,1,D,True,1.0,,1.0,1.0
candidate_AB,D1,2,D,True,0.0,,1.0,0.5
candidate_AB,D1,3,D,True,1.0,,1.0,1.0
candidate_AB,D1,4,D,True,0.0,,1.0,0.5
baseline,E1,0,E,True,1.0,,1.0,1.0
baseline,E1,1,E,True,1.0,,1.0,1.0
baseline,E1,2,E,True,1.0,,1.0,1.0
baseline,E1,3,E,True,1.0,,1.0,1.0
baseline,E1,4,E,True,1.0,,1.0,1.0
baseline,E2,0,E,True,1.0,,1.0,1.0
baseline,E2,1,E,True,1.0,,1.0,1.0
baseline,E2,2,E,True,1.0,,1.0,1.0
baseline,E2,3,E,True,1.0,,1.0,1.0
baseline,E2,4,E,True,1.0,,1.0,1.0
baseline,F1,0,F,True,1.0,,0.0,0.5
baseline,F1,1,F,True,1.0,,0.0,0.5
baseline,F1,2,F,True,1.0,,0.0,0.5
baseline,F1,3,F,True,1.0,,0.0,0.5
baseline,F1,4,F,True,1.0,,0.0,0.5
baseline,F2,0,F,True,0.0,,0.0,0.0
baseline,F2,1,F,True,0.0,,0.0,0.0
baseline,F2,2,F,True,0.0,,0.0,0.0
baseline,F2,3,F,True,0.0,,0.0,0.0
baseline,F2,4,F,True,0.0,,0.0,0.0
candidate_A,E1,0,E,True,1.0,,0.0,0.5
candidate_A,E1,1,E,True,1.0,,1.0,1.0
candidate_A,E1,2,E,True,1.0,,1.0,1.0
candidate_A,E1,3,E,True,1.0,,1.0,1.0
candidate_A,E1,4,E,True,1.0,,1.0,1.0
candidate_A,E2,0,E,True,1.0,,1.0,1.0
candidate_A,E2,1,E,True,1.0,,1.0,1.0
candidate_A,E2,2,E,True,1.0,,1.0,1.0
candidate_A,E2,3,E,True,1.0,,1.0,1.0
candidate_A,E2,4,E,True,1.0,,1.0,1.0
candidate_A,F1,0,F,True,1.0,,0.0,0.5
candidate_A,F1,1,F,True,1.0,,0.0,0.5
candidate_A,F1,2,F,True,1.0,,0.0,0.5
candidate_A,F1,3,F,True,1.0,,0.0,0.5
candidate_A,F1,4,F,True,1.0,,0.0,0.5
candidate_A,F2,0,F,True,0.0,,0.0,0.0
candidate_A,F2,1,F,True,1.0,,0.0,0.5
candidate_A,F2,2,F,True,0.0,,0.0,0.0
candidate_A,F2,3,F,True,0.0,,0.0,0.0
candidate_A,F2,4,F,True,0.0,,0.0,0.0
candidate_B,E1,0,E,True,1.0,,1.0,1.0
candidate_B,E1,1,E,False,0.0,0.0,0.0,0.0
candidate_B,E1,2,E,True,1.0,,1.0,1.0
candidate_B,E1,3,E,True,1.0,,1.0,1.0
candidate_B,E1,4,E,True,1.0,,1.0,1.0
candidate_B,E2,0,E,True,1.0,,0.0,0.5
candidate_B,E2,1,E,True,1.0,,1.0,1.0
candidate_B,E2,2,E,True,1.0,,0.0,0.5
candidate_B,E2,3,E,True,1.0,,1.0,1.0
candidate_B,E2,4,E,True,1.0,,1.0,1.0
candidate_B,F1,0,F,True,1.0,,0.0,0.5
candidate_B,F1,1,F,True,1.0,,1.0,1.0
candidate_B,F1,2,F,True,1.0,,0.0,0.5
candidate_B,F1,3,F,True,1.0,,0.0,0.5
candidate_B,F1,4,F,True,1.0,,0.0,0.5
candidate_B,F2,0,F,True,0.0,,0.0,0.0
candidate_B,F2,1,F,True,0.0,,0.0,0.0
candidate_B,F2,2,F,True,0.0,,0.0,0.0
candidate_B,F2,3,F,True,1.0,,0.0,0.5
candidate_B,F2,4,F,True,0.0,,0.0,0.0
candidate_AB,E1,0,E,True,1.0,,1.0,1.0
candidate_AB,E1,1,E,True,1.0,,1.0,1.0
candidate_AB,E1,2,E,True,1.0,,1.0,1.0
candidate_AB,E1,3,E,True,1.0,,1.0,1.0
candidate_AB,E1,4,E,True,1.0,,1.0,1.0
candidate_AB,E2,0,E,True,1.0,,1.0,1.0
candidate_AB,E2,1,E,True,1.0,,1.0,1.0
candidate_AB,E2,2,E,True,1.0,,1.0,1.0
