idx,tag,band,song,selected_bpm_m2,selected_bpm_m5,switched
79,ave_mujica__079,ave_mujica,黒のバースデイ,198.8,198.8,False
80,ave_mujica__080,ave_mujica,ふたつの月 ~Deep Into The Forest~,120.2,120.2,False
81,ave_mujica__081,ave_mujica,Choir ‘S’ Choir,147.7,147.7,False
82,ave_mujica__082,ave_mujica,神さま、バカ,120.2,120.2,False
83,ave_mujica__083,ave_mujica,Mas?uerade Rhapsody Re?uest,191.4,191.4,False
84,ave_mujica__084,ave_mujica,Ave Mujica,112.3,112.3,False
85,ave_mujica__085,ave_mujica,Symbol I : △,117.5,117.5,False
86,ave_mujica__086,ave_mujica,Symbol II : Air,198.8,198.8,False
87,ave_mujica__087,ave_mujica,Symbol III : ▽,166.7,166.7,False
88,ave_mujica__088,ave_mujica,Symbol IV : Earth,147.7,147.7,False
89,ave_mujica__089,ave_mujica,Ether,126.0,126.0,False
90,ave_mujica__090,ave_mujica,The Whole Blue World,198.8,198.8,False
91,ave_mujica__091,ave_mujica,in your blue eyes,191.4,191.4,False
92,ave_mujica__092,ave_mujica,素晴らしき世界 でも どこにもない場所,132.5,132.5,False
93,ave_mujica__093,ave_mujica,Angles,129.2,129.2,False
94,ave_mujica__094,ave_mujica,DIVINE,117.5,117.5,False
95,ave_mujica__095,ave_mujica,Sophie,198.8,198.8,False
96,ave_mujica__096,ave_mujica,‘S/’ The Way,156.6,156.6,False
97,ave_mujica__097,ave_mujica,碧い瞳の中に,191.4,191.4,False
98,ave_mujica__098,ave_mujica,堕天 (Cover),206.8,206.8,False
99,ave_mujica__099,ave_mujica,KINGS (Cover),175.2,58.39999999999999,True
100,ave_mujica__100,ave_mujica,暗黒天国 (Cover),191.4,191.4,False
101,various_artists__101,various_artists,Don't be afraid!,181.4,181.4,False
102,various_artists__102,various_artists,Glee! Glee! Glee!,181.4,181.4,False
103,various_artists__103,various_artists,"Be shine, shining!",117.5,117.5,False
104,various_artists__104,various_artists,"Here, the world",123.0,123.0,False
105,various_artists__105,various_artists,CiRCLE THANKS MUSiC♪,123.0,123.0,False
106,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,123.0,123.0,False
107,hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,198.8,198.8,False
108,hello_happy_world__108,hello_happy_world,スマイルブーケで た〜まや〜！,152.0,152.0,False
109,hello_happy_world__109,hello_happy_world,えがお･シング･あ･ソング,152.0,152.0,False
110,hello_happy_world__110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,172.2,172.2,False
111,hello_happy_world__111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,191.4,191.4,False
112,hello_happy_world__112,hello_happy_world,ないすみちゅっ！,175.2,175.2,False
113,hello_happy_world__113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,215.4,215.4,False
114,hello_happy_world__114,hello_happy_world,うぃーきゃん☆フレフレっ！,181.4,181.4,False
115,hello_happy_world__115,hello_happy_world,えがおのオーケストラっ！,139.7,139.7,False
116,hello_happy_world__116,hello_happy_world,にこにこねくと！,166.8,166.8,False
117,hello_happy_world__117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,126.0,126.0,False
118,hello_happy_world__118,hello_happy_world,せかいのっびのびトレジャー！,169.4,56.46666666666667,True
119,hello_happy_world__119,hello_happy_world,きらっ☆と キミフェス！,129.2,129.2,False
120,hello_happy_world__120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,195.0,195.0,False
121,hello_happy_world__121,hello_happy_world,はれやか すこやか ぴかりんりん♪,114.8,114.8,False
122,hello_happy_world__122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,129.2,129.2,False
123,hello_happy_world__123,hello_happy_world,Happy! Happier! Happiest!,172.2,172.2,False
124,hello_happy_world__124,hello_happy_world,現るっ！大怪盗ハロハッピー！,184.6,184.6,False
125,hello_happy_world__125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,161.5,161.5,False
126,hello_happy_world__126,hello_happy_world,おもいでイルミネーション,166.7,166.7,False
127,hello_happy_world__127,hello_happy_world,おもいやりハーモニー,136.0,136.0,False
128,hello_happy_world__128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,184.6,184.6,False
129,hello_happy_world__129,hello_happy_world,えがお、あーゆーれでぃ???,139.7,139.7,False
130,hello_happy_world__130,hello_happy_world,ハッピーサマーウェディング,129.2,129.2,False
131,hello_happy_world__131,hello_happy_world,ひまわりの約束,159.0,53.0,True
132,hello_happy_world__132,hello_happy_world,ハッピー☆マテリアル,164.0,164.0,False
133,hello_happy_world__133,hello_happy_world,太陽曰く燃えよカオス,143.6,143.6,False
134,hello_happy_world__134,hello_happy_world,エクストラ・マジック・アワー,181.4,181.4,False
135,hello_happy_world__135,hello_happy_world,コレカラ,161.5,161.5,False
136,hello_happy_world__136,hello_happy_world,全力少年,132.5,132.5,False
137,hello_happy_world__137,hello_happy_world,オレンジ,139.7,139.7,False
138,hello_happy_world__138,hello_happy_world,Happy Girl,143.6,143.6,False
139,hello_happy_world__139,hello_happy_world,ン・パカマーチ,117.5,78.33333333333333,True
140,hello_happy_world__140,hello_happy_world,サンバロハッピ〜！,129.2,129.2,False
141,hello_happy_world__141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,178.2,178.2,False
142,hello_happy_world__142,hello_happy_world,むすんでわらって,129.2,129.2,False
143,hello_happy_world__143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,156.6,156.6,False
144,hello_happy_world__144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,139.7,139.7,False
145,hello_happy_world__145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,149.8,149.8,False
146,hello_happy_world__146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,156.6,156.6,False
147,hello_happy_world__147,hello_happy_world,とーくとぅみー・とーくとぅゆー,136.0,136.0,False
148,hello_happy_world__148,hello_happy_world,ハイタッチ／＼びりーばーず☆,166.7,166.7,False
149,hello_happy_world__149,hello_happy_world,Listen to Smile!,126.0,126.0,False
150,hello_happy_world__150,hello_happy_world,スマイリーキャロル,220.0,220.0,False
151,hello_happy_world__151,hello_happy_world,えがお、み〜っけた！,143.6,143.6,False
152,hello_happy_world__152,hello_happy_world,上海ハニー (Cover),129.2,129.2,False
153,hello_happy_world__153,hello_happy_world,シル・ヴ・プレジデント (Cover),175.2,175.2,False
154,hello_happy_world__154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),198.8,198.8,False
155,hello_happy_world__155,hello_happy_world,はいよろこんで (Cover),147.7,147.7,False
156,hello_happy_world__156,hello_happy_world,シカ色デイズ (Cover),184.6,184.6,False
157,hello_happy_world__157,hello_happy_world,強風オールバック (Cover),136.0,136.0,False
