idx,tag,threshold,selected_bpm_m4,switched
22,afterglow__022,0.01,93.13333333333333,True
22,afterglow__022,0.02,93.13333333333333,True
22,afterglow__022,0.05,93.13333333333333,True
22,afterglow__022,0.08,93.13333333333333,True
22,afterglow__022,0.1,93.13333333333333,True
22,afterglow__022,0.15,93.13333333333333,True
22,afterglow__022,0.2,93.13333333333333,True
23,afterglow__023,0.01,79.5,False
23,afterglow__023,0.02,53.0,True
23,afterglow__023,0.05,53.0,True
23,afterglow__023,0.08,53.0,True
23,afterglow__023,0.1,53.0,True
23,afterglow__023,0.15,53.0,True
23,afterglow__023,0.2,53.0,True
24,afterglow__024,0.01,87.6,False
24,afterglow__024,0.02,87.6,False
24,afterglow__024,0.05,87.6,False
24,afterglow__024,0.08,58.39999999999999,True
24,afterglow__024,0.1,58.39999999999999,True
24,afterglow__024,0.15,58.39999999999999,True
24,afterglow__024,0.2,58.39999999999999,True
25,afterglow__025,0.01,57.39999999999999,True
25,afterglow__025,0.02,57.39999999999999,True
25,afterglow__025,0.05,57.39999999999999,True
25,afterglow__025,0.08,57.39999999999999,True
25,afterglow__025,0.1,57.39999999999999,True
25,afterglow__025,0.15,57.39999999999999,True
25,afterglow__025,0.2,57.39999999999999,True
26,afterglow__026,0.01,90.7,False
26,afterglow__026,0.02,90.7,False
26,afterglow__026,0.05,60.46666666666667,True
26,afterglow__026,0.08,60.46666666666667,True
26,afterglow__026,0.1,60.46666666666667,True
26,afterglow__026,0.15,60.46666666666667,True
26,afterglow__026,0.2,60.46666666666667,True
27,afterglow__027,0.01,90.66666666666666,True
27,afterglow__027,0.02,90.66666666666666,True
27,afterglow__027,0.05,90.66666666666666,True
27,afterglow__027,0.08,90.66666666666666,True
27,afterglow__027,0.1,90.66666666666666,True
27,afterglow__027,0.15,90.66666666666666,True
27,afterglow__027,0.2,90.66666666666666,True
28,afterglow__028,0.01,136.0,False
28,afterglow__028,0.02,136.0,False
28,afterglow__028,0.05,136.0,False
28,afterglow__028,0.08,90.66666666666666,True
28,afterglow__028,0.1,90.66666666666666,True
28,afterglow__028,0.15,90.66666666666666,True
28,afterglow__028,0.2,90.66666666666666,True
29,afterglow__029,0.01,84.7,False
29,afterglow__029,0.02,84.7,False
29,afterglow__029,0.05,56.46666666666667,True
29,afterglow__029,0.08,56.46666666666667,True
29,afterglow__029,0.1,56.46666666666667,True
29,afterglow__029,0.15,56.46666666666667,True
29,afterglow__029,0.2,56.46666666666667,True
30,afterglow__030,0.01,43.8,False
30,afterglow__030,0.02,43.8,False
30,afterglow__030,0.05,58.39999999999999,True
30,afterglow__030,0.08,58.39999999999999,True
30,afterglow__030,0.1,58.39999999999999,True
30,afterglow__030,0.15,58.39999999999999,True
30,afterglow__030,0.2,58.39999999999999,True
31,afterglow__031,0.01,66.25,False
31,afterglow__031,0.02,66.25,False
31,afterglow__031,0.05,88.33333333333333,True
31,afterglow__031,0.08,88.33333333333333,True
31,afterglow__031,0.1,88.33333333333333,True
31,afterglow__031,0.15,88.33333333333333,True
31,afterglow__031,0.2,88.33333333333333,True
32,afterglow__032,0.01,101.3,False
32,afterglow__032,0.02,101.3,False
32,afterglow__032,0.05,101.3,False
32,afterglow__032,0.08,101.3,False
32,afterglow__032,0.1,101.3,False
32,afterglow__032,0.15,67.53333333333333,True
32,afterglow__032,0.2,67.53333333333333,True
33,afterglow__033,0.01,86.1,False
33,afterglow__033,0.02,86.1,False
33,afterglow__033,0.05,86.1,False
33,afterglow__033,0.08,57.39999999999999,True
33,afterglow__033,0.1,57.39999999999999,True
33,afterglow__033,0.15,57.39999999999999,True
33,afterglow__033,0.2,57.39999999999999,True
34,afterglow__034,0.01,97.5,False
34,afterglow__034,0.02,97.5,False
34,afterglow__034,0.05,97.5,False
34,afterglow__034,0.08,65.0,True
34,afterglow__034,0.1,65.0,True
34,afterglow__034,0.15,65.0,True
34,afterglow__034,0.2,65.0,True
35,afterglow__035,0.01,61.53333333333333,True
35,afterglow__035,0.02,61.53333333333333,True
35,afterglow__035,0.05,61.53333333333333,True
35,afterglow__035,0.08,61.53333333333333,True
35,afterglow__035,0.1,61.53333333333333,True
35,afterglow__035,0.15,61.53333333333333,True
35,afterglow__035,0.2,61.53333333333333,True
36,afterglow__036,0.01,132.5,False
36,afterglow__036,0.02,132.5,False
36,afterglow__036,0.05,88.33333333333333,True
36,afterglow__036,0.08,88.33333333333333,True
36,afterglow__036,0.1,88.33333333333333,True
36,afterglow__036,0.15,88.33333333333333,True
36,afterglow__036,0.2,88.33333333333333,True
37,afterglow__037,0.01,92.3,False
37,afterglow__037,0.02,61.53333333333333,True
37,afterglow__037,0.05,61.53333333333333,True
37,afterglow__037,0.08,61.53333333333333,True
37,afterglow__037,0.1,61.53333333333333,True
37,afterglow__037,0.15,61.53333333333333,True
37,afterglow__037,0.2,61.53333333333333,True
38,afterglow__038,0.01,95.7,False
38,afterglow__038,0.02,95.7,False
38,afterglow__038,0.05,95.7,False
38,afterglow__038,0.08,95.7,False
38,afterglow__038,0.1,63.8,True
38,afterglow__038,0.15,63.8,True
38,afterglow__038,0.2,63.8,True
39,afterglow__039,0.01,66.26666666666667,True
39,afterglow__039,0.02,66.26666666666667,True
39,afterglow__039,0.05,66.26666666666667,True
39,afterglow__039,0.08,66.26666666666667,True
39,afterglow__039,0.1,66.26666666666667,True
39,afterglow__039,0.15,66.26666666666667,True
39,afterglow__039,0.2,66.26666666666667,True
40,afterglow__040,0.01,126.0,False
40,afterglow__040,0.02,126.0,False
40,afterglow__040,0.05,126.0,False
40,afterglow__040,0.08,126.0,False
40,afterglow__040,0.1,126.0,False
40,afterglow__040,0.15,189.0,True
40,afterglow__040,0.2,189.0,True
41,afterglow__041,0.01,90.7,False
41,afterglow__041,0.02,90.7,False
41,afterglow__041,0.05,90.7,False
41,afterglow__041,0.08,90.7,False
41,afterglow__041,0.1,90.7,False
41,afterglow__041,0.15,60.46666666666667,True
41,afterglow__041,0.2,60.46666666666667,True
42,afterglow__042,0.01,30.05,False
42,afterglow__042,0.02,30.05,False
42,afterglow__042,0.05,30.05,False
42,afterglow__042,0.08,30.05,False
42,afterglow__042,0.1,30.05,False
42,afterglow__042,0.15,80.13333333333333,True
42,afterglow__042,0.2,80.13333333333333,True
43,afterglow__043,0.01,99.4,False
43,afterglow__043,0.02,99.4,False
43,afterglow__043,0.05,99.4,False
43,afterglow__043,0.08,66.26666666666667,True
43,afterglow__043,0.1,66.26666666666667,True
43,afterglow__043,0.15,66.26666666666667,True
43,afterglow__043,0.2,66.26666666666667,True
44,afterglow__044,0.01,143.6,False
44,afterglow__044,0.02,143.6,False
44,afterglow__044,0.05,143.6,False
44,afterglow__044,0.08,95.73333333333332,True
44,afterglow__044,0.1,95.73333333333332,True
44,afterglow__044,0.15,95.73333333333332,True
44,afterglow__044,0.2,95.73333333333332,True
45,afterglow__045,0.01,58.39999999999999,True
45,afterglow__045,0.02,58.39999999999999,True
45,afterglow__045,0.05,58.39999999999999,True
45,afterglow__045,0.08,58.39999999999999,True
45,afterglow__045,0.1,58.39999999999999,True
45,afterglow__045,0.15,58.39999999999999,True
45,afterglow__045,0.2,58.39999999999999,True
46,afterglow__046,0.01,94.0,False
46,afterglow__046,0.02,94.0,False
46,afterglow__046,0.05,62.66666666666666,True
46,afterglow__046,0.08,62.66666666666666,True
46,afterglow__046,0.1,62.66666666666666,True
46,afterglow__046,0.15,62.66666666666666,True
46,afterglow__046,0.2,62.66666666666666,True
47,afterglow__047,0.01,39.75,False
47,afterglow__047,0.02,39.75,False
47,afterglow__047,0.05,39.75,False
47,afterglow__047,0.08,39.75,False
47,afterglow__047,0.1,39.75,False
47,afterglow__047,0.15,39.75,False
47,afterglow__047,0.2,53.0,True
48,afterglow__048,0.01,24.85,False
48,afterglow__048,0.02,24.85,False
48,afterglow__048,0.05,66.26666666666667,True
48,afterglow__048,0.08,66.26666666666667,True
48,afterglow__048,0.1,66.26666666666667,True
48,afterglow__048,0.15,66.26666666666667,True
48,afterglow__048,0.2,66.26666666666667,True
49,afterglow__049,0.01,99.4,False
49,afterglow__049,0.02,99.4,False
49,afterglow__049,0.05,99.4,False
49,afterglow__049,0.08,66.26666666666667,True
49,afterglow__049,0.1,66.26666666666667,True
49,afterglow__049,0.15,66.26666666666667,True
49,afterglow__049,0.2,66.26666666666667,True
50,afterglow__050,0.01,95.7,False
50,afterglow__050,0.02,95.7,False
50,afterglow__050,0.05,95.7,False
50,afterglow__050,0.08,95.7,False
50,afterglow__050,0.1,95.7,False
50,afterglow__050,0.15,63.8,True
50,afterglow__050,0.2,63.8,True
51,afterglow__051,0.01,147.7,False
51,afterglow__051,0.02,147.7,False
51,afterglow__051,0.05,147.7,False
51,afterglow__051,0.08,147.7,False
51,afterglow__051,0.1,147.7,False
51,afterglow__051,0.15,98.46666666666664,True
51,afterglow__051,0.2,98.46666666666664,True
52,afterglow__052,0.01,73.85,False
52,afterglow__052,0.02,73.85,False
52,afterglow__052,0.05,98.46666666666664,True
52,afterglow__052,0.08,98.46666666666664,True
52,afterglow__052,0.1,98.46666666666664,True
52,afterglow__052,0.15,98.46666666666664,True
52,afterglow__052,0.2,98.46666666666664,True
53,afterglow__053,0.01,51.7,False
53,afterglow__053,0.02,51.7,False
53,afterglow__053,0.05,51.7,False
53,afterglow__053,0.08,68.93333333333334,True
53,afterglow__053,0.1,68.93333333333334,True
53,afterglow__053,0.15,68.93333333333334,True
53,afterglow__053,0.2,68.93333333333334,True
54,afterglow__054,0.01,38.0,False
54,afterglow__054,0.02,101.33333333333331,True
54,afterglow__054,0.05,101.33333333333331,True
54,afterglow__054,0.08,101.33333333333331,True
54,afterglow__054,0.1,101.33333333333331,True
54,afterglow__054,0.15,101.33333333333331,True
54,afterglow__054,0.2,101.33333333333331,True
55,afterglow__055,0.01,66.25,False
55,afterglow__055,0.02,66.25,False
55,afterglow__055,0.05,88.33333333333333,True
55,afterglow__055,0.08,88.33333333333333,True
55,afterglow__055,0.1,88.33333333333333,True
55,afterglow__055,0.15,88.33333333333333,True
55,afterglow__055,0.2,88.33333333333333,True
56,afterglow__056,0.01,99.4,False
56,afterglow__056,0.02,99.4,False
56,afterglow__056,0.05,66.26666666666667,True
56,afterglow__056,0.08,66.26666666666667,True
56,afterglow__056,0.1,66.26666666666667,True
56,afterglow__056,0.15,66.26666666666667,True
56,afterglow__056,0.2,66.26666666666667,True
57,afterglow__057,0.01,92.3,False
57,afterglow__057,0.02,92.3,False
57,afterglow__057,0.05,61.53333333333333,True
57,afterglow__057,0.08,61.53333333333333,True
57,afterglow__057,0.1,61.53333333333333,True
57,afterglow__057,0.15,61.53333333333333,True
57,afterglow__057,0.2,61.53333333333333,True
58,afterglow__058,0.01,84.7,False
58,afterglow__058,0.02,84.7,False
58,afterglow__058,0.05,84.7,False
58,afterglow__058,0.08,56.46666666666667,True
58,afterglow__058,0.1,56.46666666666667,True
58,afterglow__058,0.15,56.46666666666667,True
58,afterglow__058,0.2,56.46666666666667,True
59,afterglow__059,0.01,92.3,False
59,afterglow__059,0.02,92.3,False
59,afterglow__059,0.05,92.3,False
59,afterglow__059,0.08,61.53333333333333,True
59,afterglow__059,0.1,61.53333333333333,True
59,afterglow__059,0.15,61.53333333333333,True
59,afterglow__059,0.2,61.53333333333333,True
60,afterglow__060,0.01,198.8,False
60,afterglow__060,0.02,198.8,False
60,afterglow__060,0.05,66.26666666666667,True
60,afterglow__060,0.08,66.26666666666667,True
60,afterglow__060,0.1,66.26666666666667,True
60,afterglow__060,0.15,66.26666666666667,True
60,afterglow__060,0.2,66.26666666666667,True
61,afterglow__061,0.01,63.8,True
61,afterglow__061,0.02,63.8,True
61,afterglow__061,0.05,63.8,True
61,afterglow__061,0.08,63.8,True
61,afterglow__061,0.1,63.8,True
61,afterglow__061,0.15,63.8,True
61,afterglow__061,0.2,63.8,True
62,afterglow__062,0.01,61.53333333333333,True
