idx,band,song,duration_sec,crowd_median,crowd_p10,crowd_p90,crowd_std,noise_floor_db,rt60_est_sec,n_patches,extract_sec,error
50,afterglow,DAY×DAY (Cover),219.07,0.0010377323487773538,0.0004741059965454042,0.002563623944297433,0.001641203765757382,-18.22,5.0,110,0.96,
51,afterglow,ロキ (Cover),,,,,,-19.23,5.0,,1.08,
52,afterglow,CHAINSAW BLOOD (Cover),203.12,0.0009367763996124268,0.0006368487956933677,0.0014787600375711918,0.00034086802043020725,-19.26,5.0,102,0.98,
53,afterglow,チルドレンレコード (Re:boot) (Cover),189.71,0.0009240891668014228,0.0005120894056744874,0.001981960842385888,0.0008750200504437089,-19.69,5.0,95,0.81,
54,afterglow,青のすみか (Cover),197.4,0.0008539172704331577,0.00045795197365805507,0.0018270679283887148,0.0005896175862289965,-22.15,5.0,99,0.83,
55,afterglow,GO!!! (Cover),239.67,0.0010871798731386662,0.0005207335343584418,0.003232775954529643,0.0020997822284698486,-17.89,5.0,120,1.09,
56,afterglow,天ノ弱 (Cover),187.77,0.0013349078362807631,0.0006057669525034726,0.004505004733800888,0.004390173126012087,-18.5,5.0,94,0.95,
57,afterglow,アスノヨゾラ哨戒班 (Cover),,,,,,-18.78,5.0,,0.83,
58,afterglow,瞬間センチメンタル (Cover),230.93,0.0008260434260591865,0.00038125328137539327,0.001584433251991868,0.00048659532330930233,-18.83,5.0,116,1.01,
59,afterglow,プライド革命 (Cover),238.53,0.0009846215834841132,0.0005999197019264102,0.0016033585416153073,0.0006878767162561417,-22.31,5.0,120,1.09,
60,afterglow,命に嫌われている。 (Cover),,,,,,-29.02,5.0,,1.22,
61,afterglow,Redo (Cover),261.57,0.0009855730459094048,0.000510645390022546,0.0019004339119419456,0.0006930998642928898,-21.75,5.0,131,1.2,
62,afterglow,インフェルノ (Cover),,,,,,-18.52,5.0,,0.91,
63,afterglow,ドラマツルギー (Cover),238.6,0.001201432547532022,0.0005394634790718555,0.0027939423453062773,0.0009560894686728716,-17.92,5.0,120,1.07,
64,afterglow,COLORS (Cover),218.8,0.0009312041802331805,0.0004250396159477532,0.0016079902416095138,0.0006009777425788343,-19.52,5.0,110,0.98,
65,afterglow,午夜の待ち合わせ (Cover),171.53,0.0013809649972245097,0.000707449740730226,0.002530596684664488,0.00201682117767632,-20.11,5.0,86,0.87,
