window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D,minor,0.5445
7.48,22.43,D,minor,0.5507
14.95,29.91,A,major,0.6743
22.43,37.38,A,major,0.7051
29.91,44.86,F#,minor,0.6218
37.38,52.34,A,major,0.6075
44.86,59.81,E,minor,0.6956
52.34,67.29,E,major,0.7329
59.81,74.77,C#,minor,0.6628
67.29,82.25,C#,minor,0.642
74.77,89.72,A,major,0.6174
82.25,97.2,A,major,0.5511
89.72,104.68,E,minor,0.5685
97.2,112.15,A,major,0.5317
104.68,119.63,F#,minor,0.5867
112.15,127.11,F#,minor,0.685
119.63,134.58,A,major,0.6335
127.11,142.06,E,minor,0.7118
134.58,149.54,C#,minor,0.7298
142.06,157.01,C#,minor,0.7313
149.54,164.49,A,major,0.6873
157.01,171.97,C,major,0.6102
164.49,179.44,C,major,0.6942
171.97,186.92,C,major,0.6454
179.44,194.4,D,major,0.6399
186.92,201.87,A,major,0.6519
194.4,209.35,E,major,0.7274
201.87,216.83,C#,minor,0.5784
209.35,224.3,A,major,0.6031
216.83,231.78,A,major,0.6555
224.3,239.26,D,minor,0.5431
231.78,246.74,A,major,0.7832
239.26,247.46,A,major,0.653
