window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,major,0.9337
7.48,22.43,C#,major,0.8566
14.95,29.91,C#,major,0.6189
22.43,37.38,C#,major,0.4599
29.91,44.86,C#,major,0.4807
37.38,52.34,C#,major,0.4332
44.86,59.81,C#,major,0.6192
52.34,67.29,C#,minor,0.6471
59.81,74.77,C#,major,0.7889
67.29,82.25,C#,major,0.501
74.77,89.72,C#,major,0.4742
82.25,97.2,C#,major,0.5514
89.72,104.68,G#,major,0.5674
97.2,112.15,C#,major,0.8127
104.68,119.63,G#,major,0.7966
112.15,127.11,G#,major,0.6785
119.63,134.58,G#,major,0.6542
127.11,142.06,G#,major,0.7617
134.58,149.54,C#,minor,0.6092
142.06,157.01,C,major,0.6006
149.54,164.49,G,major,0.628
157.01,171.97,G,minor,0.3206
164.49,179.44,C#,major,0.4505
171.97,186.92,C#,major,0.6712
179.44,194.4,C#,major,0.6889
186.92,196.0,C#,major,0.6248
