window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F#,minor,0.4573
7.48,22.43,F#,minor,0.4962
14.95,29.91,F#,minor,0.5359
22.43,37.38,F#,minor,0.4549
29.91,44.86,F#,minor,0.4077
37.38,52.34,F#,minor,0.479
44.86,59.81,F#,minor,0.4986
52.34,67.29,E,minor,0.53
59.81,74.77,E,minor,0.5858
67.29,82.25,E,minor,0.5356
74.77,89.72,E,minor,0.573
82.25,97.2,F#,minor,0.4563
89.72,104.68,F#,minor,0.5477
97.2,112.15,F#,minor,0.5241
104.68,119.63,B,major,0.4897
112.15,127.11,F#,minor,0.5051
119.63,134.58,F#,minor,0.6341
127.11,142.06,F#,minor,0.441
134.58,149.54,E,minor,0.5223
142.06,157.01,F#,minor,0.4166
149.54,164.49,F#,minor,0.4579
157.01,171.97,B,major,0.4859
164.49,179.44,E,minor,0.5442
171.97,186.92,E,minor,0.627
179.44,194.4,E,minor,0.5971
186.92,201.87,E,minor,0.5498
194.4,209.35,E,minor,0.5676
201.87,216.83,E,minor,0.595
209.35,224.3,B,major,0.5052
216.83,231.78,F#,minor,0.462
224.3,239.26,F#,minor,0.5763
231.78,242.16,F#,minor,0.5952
