window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,minor,0.7609
7.48,22.43,E,minor,0.7291
14.95,29.91,E,minor,0.8307
22.43,37.38,E,minor,0.8228
29.91,44.86,E,minor,0.7155
37.38,52.34,E,minor,0.6861
44.86,59.81,C,major,0.6812
52.34,67.29,E,minor,0.7567
59.81,74.77,E,minor,0.7353
67.29,82.25,E,minor,0.5993
74.77,89.72,E,minor,0.6981
82.25,97.2,E,minor,0.8335
89.72,104.68,E,minor,0.8231
97.2,112.15,E,major,0.7252
104.68,119.63,E,minor,0.7048
112.15,127.11,E,minor,0.7468
119.63,134.58,E,minor,0.8233
127.11,142.06,E,minor,0.7822
134.58,149.54,C,major,0.7271
142.06,157.01,E,minor,0.7245
149.54,164.49,E,minor,0.7717
157.01,171.97,E,minor,0.8639
164.49,179.44,E,minor,0.7826
171.97,186.92,E,minor,0.8566
179.44,188.22,A,minor,0.5592
