window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F,major,0.932
7.48,22.43,F,major,0.8693
14.95,29.91,F,major,0.7884
22.43,37.38,F,major,0.7844
29.91,44.86,F,major,0.8527
37.38,52.34,A,minor,0.6147
44.86,59.81,E,minor,0.7319
52.34,67.29,G,major,0.7713
59.81,74.77,E,minor,0.695
67.29,82.25,G,major,0.6824
74.77,89.72,G,major,0.7302
82.25,97.2,F,major,0.922
89.72,104.68,F,major,0.8028
97.2,112.15,F,major,0.8259
104.68,119.63,F,major,0.8039
112.15,127.11,E,minor,0.6588
119.63,134.58,E,minor,0.6871
127.11,142.06,G,major,0.8053
134.58,149.54,E,minor,0.7438
142.06,157.01,G,major,0.6582
149.54,164.49,G,major,0.779
157.01,171.97,G,major,0.8249
164.49,179.44,G,major,0.8302
171.97,186.92,G,major,0.7058
179.44,194.4,D,minor,0.7608
186.92,201.87,A#,major,0.6891
194.4,209.35,A#,major,0.5028
201.87,216.83,E,minor,0.6265
209.35,224.3,B,minor,0.7157
216.83,231.78,G,major,0.7424
224.3,239.26,G,major,0.7909
231.78,246.74,G,major,0.7399
239.26,254.21,G,major,0.8369
246.74,258.53,C,major,0.7308
