window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F#,minor,0.9207
7.48,22.43,F#,minor,0.7382
14.95,29.91,C,major,0.564
22.43,37.38,A,minor,0.4961
29.91,44.86,C#,minor,0.6785
37.38,52.34,C#,minor,0.7717
44.86,59.81,A,major,0.6583
52.34,67.29,E,minor,0.6741
59.81,74.77,A,minor,0.5893
67.29,82.25,E,minor,0.4393
74.77,89.72,C,major,0.5799
82.25,97.2,C,major,0.6181
89.72,104.68,E,minor,0.5525
97.2,112.15,A,major,0.7043
104.68,119.63,C#,minor,0.755
112.15,127.11,F#,minor,0.5578
119.63,134.58,E,minor,0.3598
127.11,142.06,E,minor,0.5604
134.58,149.54,E,minor,0.5316
142.06,157.01,E,minor,0.5794
149.54,164.49,E,minor,0.7803
157.01,171.97,E,minor,0.6814
164.49,179.44,E,minor,0.5965
171.97,186.92,A,major,0.585
179.44,194.4,E,major,0.6638
186.92,201.87,E,minor,0.7006
194.4,209.35,A,minor,0.7601
201.87,216.83,A,minor,0.5182
209.35,224.3,E,minor,0.5523
216.83,231.78,A,minor,0.841
224.3,235.75,A,minor,0.7401
