window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C,major,0.8889
7.48,22.43,C,major,0.8903
14.95,29.91,C,major,0.8836
22.43,37.38,C,major,0.8685
29.91,44.86,C,major,0.8363
37.38,52.34,F,major,0.8498
44.86,59.81,F,major,0.9262
52.34,67.29,F,major,0.618
59.81,74.77,C,major,0.6489
67.29,82.25,C,major,0.5788
74.77,89.72,C,major,0.5774
82.25,97.2,C,major,0.7923
89.72,104.68,F,major,0.567
97.2,112.15,A#,major,0.6997
104.68,119.63,A#,major,0.5962
112.15,127.11,C,major,0.8153
119.63,134.58,C,major,0.8259
127.11,142.06,C,major,0.7389
134.58,149.54,C,major,0.6212
142.06,157.01,C,major,0.6049
149.54,164.49,C,major,0.715
157.01,171.97,C,major,0.6093
164.49,179.44,C,major,0.7637
171.97,186.92,C,major,0.838
179.44,194.4,C,major,0.7737
186.92,201.87,C,major,0.8002
194.4,209.35,C,major,0.7701
201.87,216.83,C,major,0.7896
209.35,224.3,F,major,0.7739
216.83,231.78,F,major,0.7473
224.3,237.19,F,major,0.6707
