window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,minor,0.8086
7.48,22.43,C#,major,0.7496
14.95,29.91,C#,major,0.7455
22.43,37.38,C#,major,0.6952
29.91,44.86,C#,major,0.6406
37.38,52.34,C#,minor,0.6617
44.86,59.81,C#,minor,0.6064
52.34,67.29,A,major,0.3843
59.81,74.77,G#,minor,0.6695
67.29,82.25,E,major,0.6303
74.77,89.72,C#,minor,0.8926
82.25,97.2,C#,major,0.7637
89.72,104.68,C#,major,0.8158
97.2,112.15,F,minor,0.6086
104.68,119.63,C#,major,0.6093
112.15,127.11,C#,minor,0.7314
119.63,134.58,C#,major,0.6654
127.11,142.06,C#,minor,0.6013
134.58,149.54,C#,major,0.6276
142.06,157.01,C#,major,0.6612
149.54,164.49,C#,minor,0.7155
157.01,171.97,C#,minor,0.6608
164.49,179.44,C#,major,0.4741
171.97,186.92,C#,minor,0.521
179.44,194.4,E,major,0.5104
186.92,201.87,E,major,0.5234
194.4,209.35,E,major,0.6222
201.87,216.04,C#,minor,0.4939
