window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,minor,0.6038
7.48,22.43,E,minor,0.6887
14.95,29.91,G,major,0.4081
22.43,37.38,G,major,0.4317
29.91,44.86,G,major,0.5505
37.38,52.34,E,minor,0.5652
44.86,59.81,D,major,0.6615
52.34,67.29,D,major,0.6588
59.81,74.77,E,minor,0.616
67.29,82.25,E,minor,0.5677
74.77,89.72,G,major,0.5668
82.25,97.2,C,major,0.4971
89.72,104.68,E,minor,0.4921
97.2,112.15,G,major,0.6724
104.68,119.63,D,major,0.7583
112.15,127.11,F#,minor,0.6364
119.63,134.58,G,major,0.5125
127.11,142.06,E,minor,0.6177
134.58,149.54,E,minor,0.5047
142.06,157.01,F#,minor,0.4946
149.54,164.49,E,minor,0.522
157.01,171.97,E,minor,0.5678
164.49,179.44,D,major,0.6564
171.97,186.92,D,major,0.6935
179.44,194.4,E,minor,0.5429
186.92,201.87,E,minor,0.5784
194.4,209.35,E,minor,0.5384
201.87,216.83,E,minor,0.7001
209.35,224.3,E,minor,0.868
216.83,231.69,E,minor,0.8165
