window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A,major,0.6349
7.48,22.43,A,major,0.7125
14.95,29.91,F#,minor,0.5461
22.43,37.38,F#,minor,0.6261
29.91,44.86,F#,minor,0.5923
37.38,52.34,C#,minor,0.5171
44.86,59.81,C#,minor,0.6139
52.34,67.29,A,major,0.5913
59.81,74.77,A,major,0.5513
67.29,82.25,F#,minor,0.5954
74.77,89.72,F#,minor,0.5851
82.25,97.2,F#,minor,0.702
89.72,104.68,F#,minor,0.7528
97.2,112.15,F#,minor,0.6155
104.68,119.63,C#,minor,0.5603
112.15,127.11,A,major,0.5578
119.63,134.58,A,major,0.6181
127.11,142.06,A,major,0.7205
134.58,149.54,A,major,0.578
142.06,157.01,A,major,0.7233
149.54,164.49,A,major,0.8185
157.01,171.97,A,major,0.6046
164.49,179.44,C#,minor,0.4235
171.97,186.92,C#,minor,0.5465
179.44,194.4,C#,minor,0.5778
186.92,201.87,F#,minor,0.6394
194.4,209.35,F#,minor,0.6425
201.87,216.83,A,major,0.6476
209.35,224.3,F#,minor,0.7385
216.83,230.92,F#,minor,0.661
