window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,major,0.7816
7.48,22.43,E,minor,0.797
14.95,29.91,E,minor,0.7949
22.43,37.38,E,major,0.798
29.91,44.86,E,major,0.7891
37.38,52.34,E,minor,0.7483
44.86,59.81,E,minor,0.6304
52.34,67.29,E,minor,0.6861
59.81,74.77,E,minor,0.6797
67.29,82.25,E,minor,0.6702
74.77,89.72,E,minor,0.5345
82.25,97.2,E,minor,0.442
89.72,104.68,E,minor,0.5569
97.2,112.15,E,minor,0.555
104.68,119.63,E,minor,0.5215
112.15,127.11,E,minor,0.8064
119.63,134.58,E,minor,0.8952
127.11,142.06,E,minor,0.784
134.58,149.54,E,minor,0.7062
142.06,157.01,E,minor,0.5612
149.54,164.49,E,minor,0.635
157.01,171.97,E,minor,0.6561
164.49,179.44,E,minor,0.5031
171.97,186.92,E,minor,0.4915
179.44,194.4,E,minor,0.5621
186.92,201.87,E,minor,0.6402
194.4,207.66,E,minor,0.7764
