window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F,minor,0.5225
7.48,22.43,F,minor,0.4663
14.95,29.91,F,minor,0.5552
22.43,37.38,F,minor,0.6295
29.91,44.86,F,major,0.5762
37.38,52.34,D,minor,0.6498
44.86,59.81,F,major,0.5355
52.34,67.29,F,minor,0.5722
59.81,74.77,A#,minor,0.6336
67.29,82.25,A#,major,0.6571
74.77,89.72,A#,major,0.4843
82.25,97.2,F,minor,0.5998
89.72,104.68,A#,minor,0.4392
97.2,112.15,D,minor,0.6127
104.68,119.63,C,major,0.457
112.15,127.11,F,major,0.4714
119.63,134.58,A#,minor,0.6354
127.11,142.06,A#,major,0.7387
134.58,149.54,A#,major,0.3698
142.06,157.01,D,minor,0.3662
149.54,164.49,C,minor,0.4047
157.01,171.97,A#,minor,0.3959
164.49,179.44,A#,minor,0.6178
171.97,186.92,A#,minor,0.5441
179.44,194.4,A#,major,0.5444
186.92,201.87,C#,major,0.3944
194.4,207.56,F,minor,0.4521
