window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,minor,0.6767
7.48,22.43,C#,minor,0.5314
14.95,29.91,C#,major,0.4815
22.43,37.38,C#,major,0.549
29.91,44.86,C#,major,0.4874
37.38,52.34,C#,major,0.4172
44.86,59.81,C#,major,0.4837
52.34,67.29,G#,minor,0.4387
59.81,74.77,G#,minor,0.412
67.29,82.25,C#,major,0.4549
74.77,89.72,C#,minor,0.5002
82.25,97.2,E,major,0.6963
89.72,104.68,E,major,0.6727
97.2,112.15,F#,minor,0.4553
104.68,119.63,F#,minor,0.4231
112.15,127.11,C#,major,0.5878
119.63,134.58,C#,minor,0.8595
127.11,142.06,C#,minor,0.7413
134.58,149.54,C#,minor,0.5066
142.06,157.01,C#,major,0.4419
149.54,164.49,C#,major,0.4687
157.01,171.97,C#,minor,0.4392
164.49,179.44,C#,major,0.5681
171.97,182.16,C#,major,0.6785
