window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D,major,0.7879
7.48,22.43,D,minor,0.4375
14.95,29.91,A#,major,0.4283
22.43,37.38,A#,major,0.3895
29.91,44.86,D,minor,0.4576
37.38,52.34,D,major,0.5149
44.86,59.81,D,minor,0.4211
52.34,67.29,D,minor,0.4086
59.81,74.77,D,minor,0.3954
67.29,82.25,A#,major,0.3932
74.77,89.72,D,minor,0.3042
82.25,97.2,D,major,0.5865
89.72,104.68,D,major,0.5851
97.2,112.15,D,major,0.4162
104.68,119.63,D,major,0.4794
112.15,127.11,D,major,0.6748
119.63,134.58,D,major,0.6239
127.11,142.06,G,minor,0.4467
134.58,149.54,D,minor,0.4841
142.06,157.01,D,major,0.6132
149.54,164.49,D,minor,0.5017
157.01,171.97,D,minor,0.4211
164.49,177.01,D,minor,0.4459
