window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,minor,0.7476
7.48,22.43,A,major,0.6452
14.95,29.91,F#,minor,0.3829
22.43,37.38,A,minor,0.4203
29.91,44.86,E,minor,0.5762
37.38,52.34,A,minor,0.2967
44.86,59.81,E,major,0.5013
52.34,67.29,E,major,0.6353
59.81,74.77,D,major,0.4076
67.29,82.25,D,major,0.3505
74.77,89.72,F#,minor,0.404
82.25,97.2,F#,minor,0.3797
89.72,104.68,F#,minor,0.2287
97.2,112.15,A,minor,0.3137
104.68,119.63,A,minor,0.3939
112.15,127.11,A,minor,0.4382
119.63,134.58,E,major,0.5766
127.11,142.06,E,major,0.6738
134.58,149.54,G#,minor,0.5189
142.06,157.01,G#,minor,0.3229
149.54,164.49,F#,major,0.3747
157.01,171.97,A#,minor,0.5288
164.49,179.44,D#,minor,0.4656
171.97,186.92,D#,major,0.4089
179.44,189.54,D#,major,0.5856
