window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,major,0.9239
7.48,22.43,G,major,0.6912
14.95,29.91,B,minor,0.4096
22.43,37.38,B,minor,0.4328
29.91,44.86,B,minor,0.4644
37.38,52.34,B,minor,0.4362
44.86,59.81,B,minor,0.4904
52.34,67.29,B,minor,0.4701
59.81,74.77,B,minor,0.4556
67.29,82.25,B,minor,0.5127
74.77,89.72,B,minor,0.4748
82.25,97.2,B,minor,0.4772
89.72,104.68,B,minor,0.4227
97.2,112.15,B,minor,0.3826
104.68,119.63,B,minor,0.4185
112.15,127.11,B,minor,0.5064
119.63,134.58,B,minor,0.5599
127.11,142.06,B,minor,0.4654
134.58,149.54,B,minor,0.4529
142.06,157.01,B,minor,0.5116
149.54,164.49,B,minor,0.488
157.01,171.97,B,minor,0.4091
164.49,179.44,B,minor,0.4451
171.97,186.92,B,minor,0.4774
179.44,194.4,B,minor,0.3724
186.92,201.87,B,minor,0.46
194.4,209.35,B,minor,0.5124
201.87,216.83,B,minor,0.4729
209.35,224.3,B,minor,0.5055
216.83,231.78,B,minor,0.5489
224.3,232.71,B,minor,0.4566
