window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,major,0.6551
7.48,22.43,C#,major,0.6159
14.95,29.91,C#,major,0.6354
22.43,37.38,C#,major,0.6272
29.91,44.86,C#,major,0.5477
37.38,52.34,A#,minor,0.7098
44.86,59.81,A#,minor,0.6528
52.34,67.29,A#,minor,0.5293
59.81,74.77,A#,minor,0.4192
67.29,82.25,A#,minor,0.4884
74.77,89.72,A#,minor,0.5964
82.25,97.2,C#,major,0.5971
89.72,104.68,C#,major,0.6206
97.2,112.15,F,minor,0.6388
104.68,119.63,A#,minor,0.5269
112.15,127.11,A#,minor,0.5196
119.63,134.58,A#,minor,0.5576
127.11,142.06,A#,minor,0.5847
134.58,149.54,C,minor,0.4601
142.06,157.01,A#,minor,0.5647
149.54,164.49,A#,minor,0.4796
157.01,171.97,C#,minor,0.2586
164.49,179.44,A#,minor,0.3767
171.97,186.92,A#,minor,0.5714
179.44,194.4,A#,minor,0.6688
186.92,201.87,A#,minor,0.5813
194.4,209.35,F,minor,0.5975
201.87,209.44,F,minor,0.4988
