window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G#,major,0.6842
7.48,22.43,C,minor,0.6634
14.95,29.91,C,minor,0.6479
22.43,37.38,C,minor,0.5474
29.91,44.86,C,minor,0.5328
37.38,52.34,G#,major,0.5649
44.86,59.81,G#,major,0.5593
52.34,67.29,G#,major,0.4382
59.81,74.77,G#,major,0.52
67.29,82.25,G#,major,0.5873
74.77,89.72,G#,major,0.6728
82.25,97.2,G#,major,0.7075
89.72,104.68,C,minor,0.7004
97.2,112.15,C,minor,0.6044
104.68,119.63,G#,major,0.5016
112.15,127.11,C,minor,0.5361
119.63,134.58,C,minor,0.6611
127.11,142.06,C,minor,0.6259
134.58,149.54,G#,major,0.6268
142.06,157.01,G#,major,0.5745
149.54,164.49,G#,major,0.4244
157.01,171.97,C#,minor,0.5042
164.49,179.44,A,major,0.717
171.97,186.92,A,major,0.7638
179.44,194.4,A,major,0.7103
186.92,201.87,A,major,0.7065
194.4,209.35,F#,minor,0.7636
201.87,216.83,F#,minor,0.8553
209.35,224.3,F#,minor,0.8583
216.83,231.78,A,major,0.7983
224.3,236.36,G,major,0.372
