window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D#,major,0.5552
7.48,22.43,D#,major,0.6395
14.95,29.91,D#,major,0.6341
22.43,37.38,D#,major,0.6164
29.91,44.86,D#,major,0.7054
37.38,52.34,D#,major,0.5656
44.86,59.81,G,minor,0.5675
52.34,67.29,G,minor,0.5757
59.81,74.77,D#,major,0.6498
67.29,82.25,F#,major,0.5343
74.77,89.72,F#,major,0.5242
82.25,97.2,D#,minor,0.726
89.72,104.68,D#,minor,0.6371
97.2,112.15,D#,major,0.6596
104.68,119.63,D#,major,0.6358
112.15,127.11,D#,minor,0.3769
119.63,134.58,D#,major,0.4968
127.11,139.41,G,minor,0.4948
