window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,minor,0.7074
7.48,22.43,E,minor,0.87
14.95,29.91,G,major,0.7102
22.43,37.38,G,major,0.5879
29.91,44.86,E,minor,0.7039
37.38,52.34,E,minor,0.8039
44.86,59.81,E,minor,0.7704
52.34,67.29,E,minor,0.7256
59.81,74.77,E,minor,0.7785
67.29,82.25,G,major,0.7658
74.77,89.72,G,major,0.727
82.25,97.2,G,major,0.7343
89.72,104.68,E,minor,0.6921
97.2,112.15,E,minor,0.6994
104.68,119.63,E,minor,0.762
112.15,127.11,E,minor,0.8484
119.63,134.58,E,minor,0.7298
127.11,142.06,E,minor,0.6165
134.58,149.54,E,minor,0.716
142.06,157.01,G,major,0.7661
149.54,164.49,G,major,0.6725
157.01,171.97,G,major,0.8054
164.49,179.44,G,major,0.8725
171.97,186.92,G,major,0.8539
179.44,194.4,G,major,0.7574
186.92,201.87,G,major,0.645
194.4,209.35,E,minor,0.6938
201.87,216.83,E,minor,0.6563
209.35,224.3,G,major,0.773
216.83,231.78,G,major,0.8451
224.3,239.26,G,major,0.7791
231.78,246.74,G,major,0.7142
239.26,254.21,G,major,0.7531
246.74,261.69,G,major,0.659
254.21,269.05,E,minor,0.7789
