window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F,major,0.7172
7.48,22.43,D,minor,0.7126
14.95,29.91,D,minor,0.6529
22.43,37.38,C,major,0.6805
29.91,44.86,C,major,0.7766
37.38,52.34,C,major,0.9152
44.86,59.81,C,major,0.9417
52.34,67.29,C,major,0.8645
59.81,74.77,C,major,0.7413
67.29,82.25,A,minor,0.6922
74.77,89.72,A,minor,0.7201
82.25,97.2,C,major,0.7562
89.72,104.68,C,major,0.7992
97.2,112.15,C,major,0.8484
104.68,119.63,C,major,0.8214
112.15,127.11,C,major,0.7637
119.63,134.58,C,major,0.7065
127.11,142.06,C,major,0.6629
134.58,149.54,C,major,0.7166
142.06,157.01,C,major,0.8048
149.54,164.49,C,major,0.793
157.01,171.97,C,major,0.813
164.49,179.44,C,major,0.8215
171.97,186.92,C,major,0.8078
179.44,194.4,C,major,0.744
186.92,201.87,A,minor,0.7698
194.4,207.24,E,minor,0.8144
