window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,major,0.7144
7.48,22.43,C#,minor,0.5087
14.95,29.91,C#,minor,0.5805
22.43,37.38,C#,minor,0.6628
29.91,44.86,C#,minor,0.609
37.38,52.34,C#,minor,0.5546
44.86,59.81,C#,minor,0.5661
52.34,67.29,C#,minor,0.6253
59.81,74.77,C#,minor,0.6245
67.29,82.25,C#,minor,0.6037
74.77,89.72,C#,minor,0.5668
82.25,97.2,E,major,0.5622
89.72,104.68,C#,minor,0.4897
97.2,112.15,C#,minor,0.5263
104.68,119.63,C#,minor,0.5858
112.15,127.11,C#,minor,0.5552
119.63,134.58,C#,minor,0.5639
127.11,142.06,C#,minor,0.6771
134.58,149.54,C#,minor,0.5982
142.06,157.01,C#,minor,0.5168
149.54,164.49,E,major,0.5615
157.01,171.97,C#,minor,0.6203
164.49,179.44,C#,minor,0.6649
171.97,186.92,C#,minor,0.7228
179.44,194.4,C#,minor,0.6126
186.92,201.87,B,major,0.7849
194.4,209.35,B,major,0.9163
201.87,216.83,E,major,0.8881
209.35,224.3,E,major,0.8143
216.83,231.78,C#,minor,0.4791
224.3,239.26,C#,minor,0.5967
231.78,246.74,C#,minor,0.6136
239.26,254.21,E,major,0.6036
246.74,260.97,E,minor,0.7387
