window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,major,0.6764
7.48,22.43,G,major,0.9152
14.95,29.91,G,major,0.9222
22.43,37.38,G,major,0.9259
29.91,44.86,G,major,0.8817
37.38,52.34,G,major,0.7838
44.86,59.81,G,major,0.8389
52.34,67.29,G,major,0.886
59.81,74.77,G,major,0.7144
67.29,82.25,E,minor,0.831
74.77,89.72,G,major,0.8651
82.25,97.2,G,major,0.8702
89.72,104.68,G,major,0.8532
97.2,112.15,G,major,0.8411
104.68,119.63,G,major,0.8542
112.15,127.11,G,major,0.9415
119.63,134.58,G,major,0.9096
127.11,142.06,G,major,0.8462
134.58,149.54,G,major,0.7637
142.06,157.01,G,major,0.795
149.54,164.49,G,major,0.8535
157.01,171.97,G,major,0.772
164.49,179.44,G,major,0.8678
171.97,186.92,G,major,0.9144
179.44,194.4,G,major,0.941
186.92,201.87,G,major,0.9087
194.4,209.35,G,major,0.7741
201.87,216.83,G,major,0.7956
209.35,224.3,G,major,0.8486
216.83,231.78,G,major,0.8631
224.3,239.26,G,major,0.6986
231.78,246.74,G,major,0.7685
239.26,254.21,G,major,0.8928
246.74,261.69,G,major,0.9103
254.21,269.17,G,major,0.8263
261.69,274.18,G,major,0.7779
