window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D#,major,0.7714
7.48,22.43,D#,major,0.6049
14.95,29.91,G#,major,0.4022
22.43,37.38,G#,major,0.7449
29.91,44.86,G#,major,0.7317
37.38,52.34,G#,major,0.6528
44.86,59.81,F,minor,0.7206
52.34,67.29,F,minor,0.5617
59.81,74.77,F,minor,0.6779
67.29,82.25,G#,major,0.7676
74.77,89.72,C#,major,0.7281
82.25,97.2,C#,major,0.6905
89.72,104.68,G#,major,0.48
97.2,112.15,G#,major,0.5849
104.68,119.63,F,minor,0.4466
112.15,127.11,F,minor,0.5187
119.63,134.58,F,minor,0.6675
127.11,142.06,F,minor,0.7987
134.58,149.54,C#,major,0.7005
142.06,157.01,G#,major,0.7518
149.54,164.49,G#,major,0.6971
157.01,171.97,G#,major,0.7831
164.49,179.44,G#,major,0.7548
171.97,186.92,G#,major,0.6089
179.44,194.4,F#,minor,0.3095
186.92,201.87,F#,minor,0.5295
194.4,209.35,F#,minor,0.5878
201.87,216.83,A,major,0.5848
209.35,224.3,D,major,0.6179
216.83,231.78,D,major,0.6863
224.3,234.75,D,major,0.4963
