window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F#,major,0.6872
7.48,22.43,C#,major,0.7294
14.95,29.91,D#,minor,0.5886
22.43,37.38,D#,major,0.5794
29.91,44.86,D#,major,0.7621
37.38,52.34,D#,major,0.7262
44.86,59.81,C,minor,0.7084
52.34,67.29,D#,major,0.7532
59.81,74.77,A#,minor,0.598
67.29,82.25,F#,major,0.6795
74.77,89.72,F#,major,0.8622
82.25,97.2,F#,major,0.7901
89.72,104.68,C#,major,0.4438
97.2,112.15,D#,major,0.5992
104.68,119.63,D#,major,0.669
112.15,127.11,D#,major,0.7217
119.63,134.58,D#,major,0.7406
127.11,142.06,A#,major,0.7659
134.58,149.54,A#,minor,0.6881
142.06,157.01,F#,major,0.6669
149.54,164.49,C#,major,0.7342
157.01,171.97,F#,major,0.6103
164.49,179.44,C#,minor,0.6236
171.97,186.92,C#,major,0.7237
179.44,194.4,F#,major,0.7834
186.92,201.87,C#,major,0.7007
194.4,209.35,F#,major,0.8495
201.87,216.83,F#,major,0.8181
209.35,224.3,D#,minor,0.5919
216.83,224.86,D#,major,0.6891
