window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,major,0.7778
7.48,22.43,D,major,0.8443
14.95,29.91,D,major,0.8897
22.43,37.38,G,major,0.7978
29.91,44.86,G,major,0.8513
37.38,52.34,D,major,0.6982
44.86,59.81,D,major,0.871
52.34,67.29,D,major,0.9167
59.81,74.77,D,major,0.78
67.29,82.25,D,major,0.7856
74.77,89.72,D,major,0.7702
82.25,97.2,D,major,0.7394
89.72,104.68,D,major,0.872
97.2,112.15,D,major,0.8897
104.68,119.63,D,major,0.7955
112.15,127.11,G,major,0.7034
119.63,134.58,D,major,0.7689
127.11,142.06,A,major,0.8304
134.58,149.54,D,major,0.9262
142.06,157.01,D,major,0.7653
149.54,164.49,D,major,0.52
157.01,171.97,D,major,0.589
164.49,179.44,D,major,0.7759
171.97,186.92,A,major,0.8088
179.44,194.4,A,major,0.7841
186.92,201.87,D,major,0.8206
194.4,209.35,D,major,0.7989
201.87,216.83,D,major,0.7485
209.35,224.3,D,major,0.7067
216.83,231.78,D,major,0.6951
224.3,239.26,D,major,0.7369
231.78,246.74,D,major,0.8473
239.26,254.21,D,major,0.8793
246.74,261.69,D,major,0.8046
254.21,269.17,D,major,0.8889
261.69,276.64,D,major,0.8406
269.17,284.12,D,major,0.7838
276.64,289.83,D,major,0.7437
