window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D#,major,0.6104
7.48,22.43,C,minor,0.7178
14.95,29.91,C,minor,0.6938
22.43,37.38,C,minor,0.7032
29.91,44.86,C,minor,0.627
37.38,52.34,C,minor,0.5657
44.86,59.81,D#,major,0.4992
52.34,67.29,D#,major,0.6595
59.81,74.77,C,minor,0.6904
67.29,82.25,C,minor,0.621
74.77,89.72,C,minor,0.6935
82.25,97.2,C,minor,0.5998
89.72,104.68,C,minor,0.4629
97.2,112.15,D#,major,0.5716
104.68,119.63,D#,major,0.6185
112.15,127.11,D#,major,0.5626
119.63,134.58,D#,major,0.6224
127.11,142.06,D#,major,0.7144
134.58,149.54,D#,major,0.7387
142.06,157.01,D#,major,0.7026
149.54,164.49,D#,major,0.66
157.01,171.97,G,minor,0.7467
164.49,179.44,G,minor,0.6755
171.97,186.92,D#,major,0.4967
179.44,194.4,G#,major,0.5462
186.92,201.87,G#,major,0.5326
194.4,209.35,D#,major,0.6097
201.87,216.83,A#,major,0.671
209.35,224.3,D#,major,0.5704
216.83,231.78,D#,major,0.7177
224.3,239.26,D#,major,0.7759
231.78,246.74,C,minor,0.7735
239.26,254.21,D#,major,0.9284
246.74,261.69,D#,major,0.8489
254.21,269.17,D#,major,0.7423
261.69,276.64,D#,major,0.7845
269.17,284.12,D#,major,0.9192
276.64,291.6,D#,major,0.8464
284.12,298.14,D#,major,0.763
