window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A,minor,0.4588
7.48,22.43,A,minor,0.3113
14.95,29.91,A,minor,0.3636
22.43,37.38,A,minor,0.466
29.91,44.86,A,minor,0.4038
37.38,52.34,A,minor,0.4017
44.86,59.81,A,minor,0.4664
52.34,67.29,F,minor,0.3385
59.81,74.77,G#,major,0.4568
67.29,82.25,G#,major,0.5071
74.77,89.72,G#,major,0.3936
82.25,97.2,A,minor,0.4147
89.72,104.68,A,minor,0.4383
97.2,112.15,A,minor,0.3857
104.68,119.63,A,minor,0.4914
112.15,127.11,A,minor,0.4779
119.63,134.58,A,minor,0.4418
127.11,142.06,A,minor,0.4797
134.58,149.54,A,minor,0.4301
142.06,157.01,F,major,0.5021
149.54,164.49,A,minor,0.4798
157.01,168.72,A,minor,0.3289
