window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G#,major,0.5668
7.48,22.43,G#,major,0.2308
14.95,29.91,G#,major,0.534
22.43,37.38,G#,major,0.5852
29.91,44.86,G#,major,0.5966
37.38,52.34,G#,major,0.5314
44.86,59.81,G#,major,0.8523
52.34,67.29,F,minor,0.5857
59.81,74.77,G#,major,0.3332
67.29,82.25,G#,major,0.8246
74.77,89.72,G#,major,0.8393
82.25,97.2,G#,major,0.8037
89.72,104.68,F,minor,0.4994
97.2,112.15,F,minor,0.5893
104.68,119.63,F,minor,0.5082
112.15,127.11,D#,major,0.3892
119.63,134.58,C#,minor,0.5679
127.11,142.06,C#,minor,0.7365
134.58,149.54,E,major,0.5166
142.06,157.01,E,major,0.331
149.54,164.49,D#,major,0.5837
157.01,171.97,G#,major,0.715
164.49,179.44,G#,major,0.5945
171.97,186.92,F,minor,0.6314
179.44,194.4,G#,major,0.9065
186.92,201.87,G#,major,0.9045
194.4,207.77,G#,major,0.7988
