window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F,major,0.8701
7.48,22.43,F,major,0.54
14.95,29.91,F,major,0.5852
22.43,37.38,F,major,0.7175
29.91,44.86,C,major,0.6682
37.38,52.34,D,minor,0.6375
44.86,59.81,F,major,0.6965
52.34,67.29,C,major,0.7569
59.81,74.77,C,major,0.5336
67.29,82.25,F,minor,0.4926
74.77,89.72,F,major,0.4582
82.25,97.2,D,minor,0.6041
89.72,104.68,D,minor,0.7574
97.2,112.15,D,minor,0.6544
104.68,119.63,D,minor,0.6381
112.15,127.11,C,major,0.5751
119.63,134.58,F,major,0.625
127.11,142.06,F,major,0.5192
134.58,149.54,F,major,0.5127
142.06,157.01,F,minor,0.6827
149.54,164.49,G#,major,0.7206
157.01,171.97,G#,major,0.7662
164.49,179.44,F,minor,0.7433
171.97,186.92,F,major,0.6734
179.44,194.4,F,major,0.509
186.92,201.87,E,minor,0.4289
194.4,209.35,C,major,0.5855
201.87,216.83,C,major,0.695
209.35,224.3,F,major,0.5095
216.83,231.78,F,major,0.5866
224.3,239.26,C,major,0.5492
231.78,246.74,F,minor,0.5036
239.26,254.21,G,minor,0.4026
246.74,261.69,G,minor,0.516
254.21,269.17,F,major,0.5217
261.69,273.11,F,major,0.4913
