window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,minor,0.6325
7.48,22.43,G,minor,0.4993
14.95,29.91,G,minor,0.4936
22.43,37.38,G,minor,0.4975
29.91,44.86,G,minor,0.537
37.38,52.34,D#,major,0.6213
44.86,59.81,G,minor,0.5681
52.34,67.29,C,major,0.5012
59.81,74.77,C,major,0.4611
67.29,82.25,G,minor,0.5266
74.77,89.72,G,minor,0.5115
82.25,97.2,G,minor,0.4917
89.72,104.68,G,minor,0.5291
97.2,112.15,G,minor,0.4946
104.68,119.63,G,minor,0.4181
112.15,127.11,G#,major,0.442
119.63,134.58,G,minor,0.4961
127.11,142.06,G,minor,0.513
134.58,149.54,G,minor,0.5337
142.06,157.01,G,minor,0.5005
149.54,164.49,C,major,0.4879
157.01,171.97,G,minor,0.5454
164.49,179.44,G,minor,0.5223
171.97,186.92,C,major,0.4996
179.44,194.4,G,minor,0.535
186.92,201.87,G,minor,0.4984
194.4,209.35,G,minor,0.4279
201.87,216.83,G,major,0.4238
209.35,224.3,C,major,0.6406
216.83,231.78,C,major,0.5676
224.3,239.26,G,minor,0.4762
231.78,246.74,G,minor,0.5067
239.26,254.21,G,minor,0.527
246.74,261.69,C,major,0.5344
254.21,268.86,F,major,0.5378
