window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,major,0.5791
7.48,22.43,G,major,0.5541
14.95,29.91,G,major,0.5524
22.43,37.38,G,major,0.6214
29.91,44.86,E,minor,0.6992
37.38,52.34,E,minor,0.8258
44.86,59.81,B,minor,0.71
52.34,67.29,B,minor,0.5976
59.81,74.77,B,minor,0.574
67.29,82.25,G,major,0.5446
74.77,89.72,G,major,0.5359
82.25,97.2,G,major,0.5643
89.72,104.68,G,major,0.5316
97.2,112.15,E,minor,0.6195
104.68,119.63,B,minor,0.6384
112.15,127.11,B,minor,0.6898
119.63,134.58,E,minor,0.6752
127.11,142.06,B,minor,0.4529
134.58,149.54,B,minor,0.4337
142.06,157.01,E,minor,0.6262
149.54,164.49,E,minor,0.6749
157.01,171.97,B,minor,0.5417
164.49,179.44,B,minor,0.4658
171.97,186.92,B,minor,0.4405
179.44,194.4,G,major,0.4699
186.92,201.87,G,major,0.5304
194.4,209.35,B,minor,0.5259
201.87,216.83,G,major,0.5946
209.35,224.3,G,major,0.6622
216.83,230.48,E,minor,0.7896
