window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D,major,0.6568
7.48,22.43,F#,minor,0.668
14.95,29.91,F#,minor,0.6392
22.43,37.38,F#,minor,0.6279
29.91,44.86,F#,minor,0.689
37.38,52.34,D#,minor,0.4818
44.86,59.81,F#,minor,0.5575
52.34,67.29,F#,minor,0.7182
59.81,74.77,F#,minor,0.6005
67.29,82.25,B,major,0.5857
74.77,89.72,G#,minor,0.6367
82.25,97.2,G#,minor,0.6006
89.72,104.68,G#,minor,0.4291
97.2,112.15,F#,minor,0.4525
104.68,119.63,F#,minor,0.6334
112.15,127.11,F#,minor,0.6806
119.63,134.58,F#,minor,0.7567
127.11,142.06,F#,minor,0.5969
134.58,149.54,D#,minor,0.4971
142.06,157.01,F#,minor,0.5702
149.54,164.49,F#,minor,0.7288
157.01,171.97,G#,minor,0.5022
164.49,179.44,G#,minor,0.6171
171.97,186.92,G#,minor,0.6908
179.44,194.4,C#,major,0.7536
186.92,201.87,G#,minor,0.5896
194.4,209.35,G#,minor,0.5197
201.87,216.83,C#,major,0.4996
209.35,224.3,C#,major,0.7308
216.83,231.78,C#,major,0.601
224.3,239.26,F#,minor,0.5392
231.78,246.74,F#,minor,0.7301
239.26,254.21,F#,minor,0.5517
246.74,261.69,G#,minor,0.6049
254.21,269.17,G#,minor,0.6965
261.69,276.64,G#,minor,0.6741
269.17,284.12,G#,minor,0.5777
276.64,291.6,G#,minor,0.4923
284.12,299.07,E,major,0.7094
291.6,300.81,E,major,0.7776
