window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F,major,0.6968
7.48,22.43,A,minor,0.5616
14.95,29.91,A,minor,0.62
22.43,37.38,F,major,0.772
29.91,44.86,F,major,0.7279
37.38,52.34,C,major,0.7595
44.86,59.81,F,major,0.8203
52.34,67.29,A,minor,0.7646
59.81,74.77,A,minor,0.6428
67.29,82.25,A,minor,0.5591
74.77,89.72,A,minor,0.5163
82.25,97.2,A,minor,0.5442
89.72,104.68,A,minor,0.5963
97.2,112.15,A,minor,0.5673
104.68,119.63,C,major,0.7043
112.15,127.11,C,major,0.6845
119.63,134.58,A,minor,0.5185
127.11,142.06,F,major,0.5279
134.58,149.54,A,minor,0.5114
142.06,157.01,A,minor,0.5428
149.54,164.49,A,minor,0.5916
157.01,171.97,A,minor,0.5312
164.49,179.44,A,minor,0.5289
171.97,186.92,C,major,0.6705
179.44,192.19,A,minor,0.6507
