window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,major,0.8391
7.48,22.43,F#,major,0.8705
14.95,29.91,F#,major,0.7762
22.43,37.38,F#,major,0.8284
29.91,44.86,F#,major,0.8313
37.38,52.34,F#,major,0.8384
44.86,59.81,F#,major,0.8352
52.34,67.29,A#,minor,0.8383
59.81,74.77,A#,minor,0.7726
67.29,82.25,A#,minor,0.6164
74.77,89.72,F#,major,0.787
82.25,97.2,F#,major,0.8533
89.72,104.68,F#,major,0.8331
97.2,112.15,F#,major,0.8006
104.68,119.63,F#,major,0.6823
112.15,127.11,F#,major,0.6288
119.63,134.58,F#,major,0.5615
127.11,142.06,F#,major,0.7963
134.58,149.54,F#,major,0.8396
142.06,157.01,C#,major,0.6961
149.54,164.49,F#,major,0.7019
157.01,171.97,C#,major,0.6932
164.49,179.44,F#,major,0.8613
171.97,186.92,F#,major,0.9193
179.44,194.4,F#,major,0.8661
186.92,201.87,F#,major,0.8181
194.4,209.35,A#,minor,0.8425
201.87,216.83,F#,major,0.6584
209.35,224.3,F#,major,0.5449
216.83,231.78,F#,major,0.7459
224.3,239.26,F#,major,0.7787
231.78,246.74,F#,major,0.7726
239.26,251.43,F#,major,0.5906
