window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,major,0.7427
7.48,22.43,G,minor,0.8048
14.95,29.91,G,minor,0.7118
22.43,37.38,G,minor,0.6738
29.91,44.86,G,minor,0.677
37.38,52.34,G,minor,0.7413
44.86,59.81,G,major,0.7662
52.34,67.29,G,major,0.7693
59.81,74.77,G,minor,0.7301
67.29,82.25,G,minor,0.6591
74.77,89.72,F,major,0.6719
82.25,97.2,C,major,0.6058
89.72,104.68,G,minor,0.6964
97.2,112.15,G,minor,0.723
104.68,119.63,G,minor,0.7306
112.15,127.11,G,minor,0.7511
119.63,134.58,G,minor,0.6404
127.11,142.06,G,minor,0.7449
134.58,149.54,G,minor,0.7189
142.06,157.01,G,minor,0.7437
149.54,164.49,G,major,0.7591
157.01,171.97,G,minor,0.9101
164.49,179.44,F,major,0.7681
171.97,186.92,D,minor,0.5964
179.44,194.4,G,minor,0.7154
186.92,201.87,G,minor,0.7427
194.4,209.35,G,minor,0.8427
201.87,216.83,G,minor,0.7301
209.35,224.3,C,major,0.586
216.83,231.78,D,minor,0.565
224.3,239.26,G,minor,0.5734
231.78,246.74,G,minor,0.6316
239.26,254.21,G,minor,0.6548
246.74,261.69,G,minor,0.8404
254.21,269.17,G,minor,0.7877
261.69,276.64,G,minor,0.6094
269.17,284.12,G,minor,0.6612
276.64,291.6,G,minor,0.7968
284.12,299.07,G,major,0.7839
291.6,301.49,G,major,0.7866
