window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,major,0.5022
7.48,22.43,G,major,0.5
14.95,29.91,G,major,0.4408
22.43,37.38,G,major,0.419
29.91,44.86,G,major,0.4198
37.38,52.34,G,major,0.3861
44.86,59.81,E,minor,0.4773
52.34,67.29,G,major,0.4912
59.81,74.77,G,major,0.507
67.29,82.25,G,major,0.4921
74.77,89.72,G,major,0.4713
82.25,97.2,G,major,0.49
89.72,104.68,G,major,0.4439
97.2,112.15,G,major,0.4272
104.68,119.63,G,major,0.4551
112.15,127.11,E,minor,0.3865
119.63,134.58,E,minor,0.4291
127.11,142.06,G,major,0.5084
134.58,149.54,G,major,0.5026
142.06,157.01,G,major,0.4863
149.54,164.49,G,major,0.5377
157.01,171.97,G,major,0.4623
164.49,179.44,G,major,0.3735
171.97,186.92,G,major,0.4028
179.44,194.4,E,minor,0.5741
186.92,201.87,E,minor,0.5341
194.4,209.35,G,major,0.4313
201.87,216.83,G,major,0.4447
209.35,224.3,G,major,0.4593
216.83,231.78,G,major,0.481
224.3,239.26,G,major,0.4995
231.78,246.74,E,minor,0.9143
239.26,247.29,E,major,0.6616
