window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,major,0.6739
7.48,22.43,F#,minor,0.3789
14.95,29.91,C,major,0.364
22.43,37.38,C,major,0.4104
29.91,44.86,C,major,0.3616
37.38,52.34,F,minor,0.2994
44.86,59.81,F#,minor,0.3398
52.34,67.29,F#,minor,0.3804
59.81,74.77,C#,major,0.3634
67.29,82.25,C#,major,0.6761
74.77,89.72,C#,major,0.7276
82.25,97.2,C#,major,0.6632
89.72,104.68,F#,minor,0.4188
97.2,112.15,A,minor,0.4408
104.68,119.63,A,minor,0.4392
112.15,127.11,F#,minor,0.4099
119.63,134.58,F#,minor,0.4117
127.11,142.06,C#,major,0.5369
134.58,149.54,C#,major,0.4596
142.06,157.01,A,minor,0.3311
149.54,164.49,A,minor,0.3536
157.01,171.97,A,minor,0.3728
164.49,179.44,A,minor,0.3654
171.97,186.92,G#,minor,0.473
179.44,194.4,G#,minor,0.5298
186.92,201.87,F#,minor,0.4288
194.4,209.35,F#,minor,0.3586
201.87,216.83,C#,minor,0.3773
209.35,224.3,C#,minor,0.4753
216.83,231.78,F,minor,0.4414
224.3,237.05,C#,major,0.6245
