window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F#,major,0.6508
7.48,22.43,B,minor,0.627
14.95,29.91,B,minor,0.6477
22.43,37.38,B,minor,0.5544
29.91,44.86,B,minor,0.6466
37.38,52.34,B,minor,0.5752
44.86,59.81,C#,minor,0.5063
52.34,67.29,F#,major,0.4921
59.81,74.77,C#,major,0.5377
67.29,82.25,C#,major,0.537
74.77,89.72,B,minor,0.4808
82.25,97.2,B,minor,0.6337
89.72,104.68,B,minor,0.6255
97.2,112.15,B,minor,0.5731
104.68,119.63,B,minor,0.5293
112.15,127.11,F#,major,0.4402
119.63,134.58,C#,minor,0.4466
127.11,142.06,F#,major,0.4702
134.58,149.54,C#,major,0.5109
142.06,157.01,C#,major,0.5934
149.54,162.12,C#,major,0.5049
