window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D,minor,0.4402
7.48,22.43,D,minor,0.5947
14.95,29.91,G,major,0.5866
22.43,37.38,G,major,0.5454
29.91,44.86,D,minor,0.4821
37.38,52.34,G,minor,0.4267
44.86,59.81,D,minor,0.6112
52.34,67.29,A#,major,0.67
59.81,74.77,D,minor,0.5422
67.29,82.25,D,minor,0.4747
74.77,89.72,D,minor,0.5876
82.25,97.2,D,minor,0.5038
89.72,104.68,C,major,0.3829
97.2,112.15,D,minor,0.5183
104.68,119.63,D,minor,0.5867
112.15,127.11,D,minor,0.5941
119.63,134.58,D,minor,0.6446
127.11,142.06,D,minor,0.6053
134.58,149.54,F#,major,0.3539
142.06,157.01,F#,major,0.6364
149.54,164.49,C#,major,0.5886
157.01,171.97,F,minor,0.4688
164.49,177.59,D,minor,0.3439
