window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G#,major,0.5332
7.48,22.43,D#,major,0.7667
14.95,29.91,A#,major,0.732
22.43,37.38,A#,major,0.8383
29.91,44.86,A#,major,0.8986
37.38,52.34,G,minor,0.7042
44.86,59.81,G,minor,0.7574
52.34,67.29,A#,major,0.5646
59.81,74.77,F#,major,0.8403
67.29,82.25,C#,major,0.8536
74.77,89.72,C#,major,0.8955
82.25,97.2,F#,major,0.8233
89.72,104.68,D#,minor,0.8124
97.2,112.15,D#,major,0.7792
104.68,119.63,A#,major,0.8525
112.15,127.11,A#,major,0.8924
119.63,134.58,A#,major,0.8995
127.11,142.06,A#,major,0.7074
134.58,149.54,G,minor,0.7809
142.06,157.01,G,minor,0.7082
149.54,164.49,F#,major,0.7805
157.01,171.97,F#,major,0.8122
164.49,179.44,F#,major,0.8389
171.97,186.92,C#,major,0.796
179.44,194.4,D#,minor,0.768
186.92,201.87,D#,major,0.6998
194.4,209.35,A#,major,0.8227
201.87,216.83,A#,major,0.7506
209.35,224.3,F,major,0.6946
216.83,231.78,F,major,0.702
224.3,239.26,F,major,0.8115
231.78,246.74,A#,major,0.8718
239.26,254.21,A#,major,0.6533
246.74,261.69,F#,major,0.8472
254.21,269.17,C#,major,0.8196
261.69,276.64,F#,major,0.8612
269.17,284.12,C#,major,0.8517
276.64,291.6,C#,major,0.716
284.12,299.07,A#,major,0.7737
291.6,306.55,A#,major,0.9675
299.07,312.1,A#,minor,0.8071
