window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,minor,0.5344
7.48,22.43,C#,minor,0.5316
14.95,29.91,C#,minor,0.4544
22.43,37.38,F#,minor,0.5931
29.91,44.86,F#,minor,0.6557
37.38,52.34,C#,minor,0.7035
44.86,59.81,F#,minor,0.6618
52.34,67.29,F#,minor,0.7858
59.81,74.77,F#,minor,0.6252
67.29,82.25,E,major,0.726
74.77,89.72,E,major,0.7775
82.25,97.2,A,major,0.6091
89.72,104.68,F#,minor,0.6057
97.2,112.15,F#,minor,0.7579
104.68,119.63,F#,minor,0.7502
112.15,127.11,F#,minor,0.6758
119.63,134.58,F#,minor,0.6827
127.11,142.06,F#,minor,0.6576
134.58,149.54,F#,minor,0.786
142.06,157.01,F#,minor,0.6107
149.54,164.49,E,major,0.6446
157.01,171.97,F#,minor,0.7627
164.49,179.44,F#,minor,0.709
171.97,186.92,F#,minor,0.6263
179.44,194.4,F#,minor,0.7274
186.92,201.87,F#,minor,0.7256
194.4,209.35,F#,minor,0.7664
201.87,216.83,F#,minor,0.6568
209.35,224.3,F#,minor,0.7473
216.83,231.78,C#,minor,0.7531
224.3,239.26,A,major,0.6381
231.78,246.74,A,major,0.8294
239.26,249.31,A,major,0.7933
