window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A#,major,0.6547
7.48,22.43,A#,major,0.8485
14.95,29.91,D#,major,0.7421
22.43,37.38,D#,major,0.7792
29.91,44.86,D#,major,0.8777
37.38,52.34,D#,major,0.8895
44.86,59.81,D#,major,0.9033
52.34,67.29,D#,major,0.7328
59.81,74.77,A#,major,0.6918
67.29,82.25,A#,major,0.7233
74.77,89.72,A#,major,0.7131
82.25,97.2,D#,major,0.7177
89.72,104.68,A#,major,0.7666
97.2,112.15,A#,major,0.7424
104.68,119.63,D#,major,0.7924
112.15,127.11,D#,major,0.9025
119.63,134.58,D#,major,0.8235
127.11,142.06,G#,major,0.6929
134.58,149.54,D#,major,0.6801
142.06,157.01,D#,major,0.7794
149.54,164.49,D#,major,0.83
157.01,171.97,D#,major,0.6254
164.49,179.44,F,major,0.6427
171.97,186.92,A#,major,0.7065
179.44,194.4,A#,major,0.7586
186.92,201.87,D#,major,0.7463
194.4,209.35,D#,major,0.702
201.87,216.83,A#,major,0.6472
209.35,224.3,F,minor,0.7337
216.83,231.78,D#,major,0.6883
224.3,239.26,G#,major,0.65
231.78,240.47,G#,major,0.5617
