window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,major,0.8158
7.48,22.43,C#,major,0.8864
14.95,29.91,C#,major,0.6933
22.43,37.38,C#,major,0.8117
29.91,44.86,C#,major,0.9454
37.38,52.34,C#,major,0.9073
44.86,59.81,C#,major,0.7646
52.34,67.29,C#,major,0.8082
59.81,74.77,C#,major,0.7779
67.29,82.25,C#,major,0.606
74.77,89.72,C#,major,0.7484
82.25,97.2,C#,major,0.7299
89.72,104.68,C#,major,0.8251
97.2,112.15,C#,major,0.7455
104.68,119.63,C#,major,0.465
112.15,127.11,A#,minor,0.5121
119.63,134.58,F,minor,0.6327
127.11,142.06,C#,major,0.8421
134.58,149.54,A#,minor,0.8152
142.06,157.01,A#,minor,0.8022
149.54,164.49,C#,major,0.7471
157.01,171.97,C#,major,0.6609
164.49,179.44,C#,major,0.6725
171.97,186.92,A#,minor,0.7019
179.44,194.4,C#,major,0.6664
186.92,201.87,A#,minor,0.6282
194.4,209.35,A#,minor,0.6451
201.87,216.83,D#,minor,0.5579
209.35,218.78,F#,minor,0.3881
