window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C#,major,0.6652
7.48,22.43,G#,major,0.7791
14.95,29.91,G#,major,0.6542
22.43,37.38,C#,minor,0.3832
29.91,44.86,D#,minor,0.6035
37.38,52.34,G#,minor,0.6601
44.86,59.81,B,major,0.6311
52.34,67.29,B,major,0.6067
59.81,74.77,C#,major,0.6602
67.29,82.25,C#,major,0.6852
74.77,89.72,C#,major,0.6224
82.25,97.2,C#,minor,0.5954
89.72,104.68,C#,major,0.6117
97.2,112.15,C#,major,0.6124
104.68,119.63,C#,major,0.6023
112.15,127.11,C#,major,0.5765
119.63,134.58,G#,minor,0.7592
127.11,142.06,G#,minor,0.8542
134.58,149.54,D#,minor,0.701
142.06,157.01,C#,major,0.6615
149.54,164.49,C#,major,0.6642
157.01,171.97,E,major,0.6498
164.49,179.44,E,major,0.4699
171.97,186.92,D#,major,0.6902
179.44,194.4,D#,minor,0.7468
186.92,201.87,C#,major,0.719
194.4,209.35,C#,major,0.6649
201.87,216.83,C#,major,0.7665
209.35,224.3,C#,major,0.7024
216.83,231.78,C#,major,0.6437
224.3,239.26,C#,major,0.703
231.78,246.74,G#,minor,0.7237
239.26,254.21,G#,major,0.7961
246.74,261.22,G#,major,0.5663
